match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,stat_dispossessed,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_errorLeadToAShot,player_sofascoreId,stat_shotOffTarget,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox
13981493,home,Udinese,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197,2162,M,891656,EUR,935798400,G,40,40,False,39.0,20.0,31.0,12.0,0.0,9.0,10.0,11.0,29.0,1.0,1.0,8.0,1.0,2.0,1.0,90.0,44.0,6.5,19.0,0.00192835,0.272,0,-1.2015,0.16,-0.06,-0.17,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981493,home,Udinese,Saba Goglichidze,,,saba-goglichidze,S. Goglichidze,D,3,192,1618,M,1126175,EUR,1088121600,D,2,2,False,27.0,21.0,6.0,3.0,0.0,17.0,18.0,4.0,9.0,,4.0,3.0,,,,90.0,41.0,6.4,8.0,0.0019167,,0,,0.08,0.07,-0.28,,1.0,4.0,2.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981493,home,Udinese,Christian Kabasele,,,christian-kabasele,C. Kabasele,D,27,186,477,M,58351,EUR,667353600,D,27,27,False,29.0,23.0,8.0,3.0,0.0,20.0,21.0,3.0,8.0,4.0,5.0,3.0,,,,90.0,36.0,6.3,6.0,0.00076879,,0,,-0.05,0.05,-0.31,,1.0,4.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
13981493,home,Udinese,Oumar Solet,,,oumar-solet,O. Solet,D,28,192,1946,M,892979,EUR,949881600,D,28,28,False,37.0,33.0,8.0,4.0,0.0,27.0,31.0,6.0,6.0,,1.0,2.0,,,,60.0,45.0,6.6,4.0,0.0140665,,1,,0.25,0.34,-0.16,,2.0,3.0,,,,,,1.0,1.0,1.0,1.0,0.0471,-0.5,,,,,,,,,,,,,,,,,,
13981493,home,Udinese,Alessandro Zanoli,,,zanoli-alessandro,A. Zanoli,M,59,186,923,M,922928,EUR,970531200,M,59,59,False,20.0,15.0,2.0,1.0,0.0,8.0,11.0,7.0,9.0,1.0,5.0,2.0,,,,86.0,40.0,6.7,8.0,0.0728462,,0,,0.05,0.08,-0.07,,5.0,3.0,,3.0,3.0,,2.0,,,2.0,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
13981493,home,Udinese,Jürgen Ekkelenkamp,,,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1146,M,904887,EUR,954892800,M,32,32,False,20.0,16.0,1.0,1.0,0.0,8.0,8.0,8.0,12.0,1.0,7.0,5.0,,,,76.0,38.0,6.7,8.0,0.00427596,,0,,-0.11,0.18,-0.07,,6.0,1.0,,5.0,4.0,1.0,1.0,4.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
13981493,home,Udinese,Jesper Karlström,,,jesper-karlstrom,J. Karlström,M,8,179,729,M,227894,EUR,803692800,M,8,8,False,46.0,32.0,9.0,3.0,0.0,22.0,25.0,10.0,21.0,1.0,3.0,7.0,,,,90.0,61.0,7.8,18.0,0.0409218,,1,,0.17,0.14,-0.07,,1.0,2.0,1.0,1.0,1.0,3.0,,,2.0,,,0.033,0.53,,,1.0,,1.0,,1.0,True,1.0,1.0,0.0614,,,,,,,
13981493,home,Udinese,Arthur Atta,,,atta-arthur,A. Atta,M,14,189,2507,M,1444690,EUR,1042502400,M,14,14,False,32.0,29.0,2.0,2.0,2.0,9.0,9.0,20.0,23.0,,6.0,4.0,,,,90.0,67.0,7.4,17.0,0.213036,,0,,0.31,0.35,-0.02,,11.0,1.0,2.0,3.0,2.0,3.0,3.0,,,,,,,4.0,1.0,8.0,3.0,2.0,3.0,,,,,,2.0,,,,,,
13981493,home,Udinese,Hassane Kamara,,,hassane-kamara,H. Kamara,M,11,168,1023,M,351434,EUR,762825600,M,11,11,False,42.0,31.0,7.0,1.0,0.0,15.0,20.0,16.0,22.0,,8.0,6.0,,,,90.0,73.0,6.8,20.0,0.0769678,,0,,0.23,0.27,-0.3,,5.0,4.0,1.0,6.0,2.0,,,,2.0,3.0,,,,5.0,,2.0,,1.0,,,,,,,,1.0,,,,,
13981493,home,Udinese,Nicolò Zaniolo,,,nicolo-zaniolo,N. Zaniolo,F,10,189,9127,M,864898,EUR,930873600,F,10,10,False,16.0,11.0,4.0,3.0,0.0,4.0,6.0,7.0,10.0,1.0,9.0,5.0,,,,60.0,42.0,6.8,15.0,0.00822454,,1,,-0.08,0.16,-0.01,,7.0,,1.0,5.0,4.0,5.0,1.0,3.0,1.0,,,0.0879,-0.18,1.0,,5.0,2.0,1.0,1.0,,,,,,,,nicolozaniolo,1.0,1.0,,
