match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_wonTackle,stat_keyPass,captain,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_penaltyConceded,stat_lastManTackle,stat_hitWoodwork,stat_totalOffside
11352510,home,Sheffield United,Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,333,M,187861,EUR,663811200,G,18,18,False,32.0,20.0,18.0,6.0,0.0,17.0,18.0,3.0,14.0,1.0,4.0,1.0,1.0,1.0,1.0,90.0,36.0,6.0,12.0,0.00037453,0,-1.9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352510,home,Sheffield United,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1549,M,825899,EUR,922406400,D,15,15,False,60.0,43.0,13.0,3.0,0.0,28.0,32.0,15.0,28.0,1.0,6.0,,,,,90.0,71.0,5.8,19.0,0.00827029,0,,2.0,1.0,5.0,6.0,2.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11352510,home,Sheffield United,Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,817,M,822459,EUR,902880000,D,5,5,False,57.0,49.0,2.0,1.0,0.0,42.0,47.0,7.0,10.0,3.0,7.0,,,,,90.0,61.0,6.4,8.0,0.0029245,0,,3.0,4.0,4.0,5.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352510,home,Sheffield United,Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,148,M,98454,EUR,746841600,D,19,19,False,64.0,54.0,7.0,1.0,0.0,25.0,28.0,29.0,36.0,,4.0,,,,,90.0,80.0,6.4,14.0,0.03991,2,,1.0,3.0,4.0,5.0,,,1.0,,1.0,,,1.0,True,2.0,1.0,1.0,1.0,1.0,0.0719,,,,,,,,,,,,,,
11352510,home,Sheffield United,Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,805,M,929132,EUR,964656000,M,20,20,False,44.0,31.0,4.0,3.0,0.0,13.0,16.0,18.0,28.0,2.0,9.0,,,,,90.0,75.0,6.6,23.0,0.173493,3,,4.0,2.0,14.0,6.0,5.0,1.0,3.0,2.0,,2.0,3.0,1.0,,2.0,2.0,2.0,1.0,2.0,0.1939,,,,,,,,,,,,,,
11352510,home,Sheffield United,Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1011,M,837495,EUR,867110400,M,8,8,False,50.0,38.0,2.0,1.0,0.0,5.0,7.0,34.0,48.0,,4.0,,,,,90.0,72.0,7.6,20.0,0.15834,3,,1.0,,7.0,4.0,4.0,3.0,1.0,2.0,,2.0,1.0,5.0,,2.0,1.0,2.0,,1.0,0.1513,5.0,1.0,1.0,2.0,,,,,,,,,,
11352510,home,Sheffield United,Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180,217,M,1191153,EUR,1073520000,M,24,24,False,73.0,60.0,2.0,,0.0,25.0,28.0,35.0,45.0,,7.0,,,,,90.0,80.0,7.1,13.0,0.523178,0,,3.0,4.0,5.0,6.0,,,1.0,,1.0,,1.0,3.0,,2.0,,,,2.0,,,,,,1.0,,,,,,,,,
11352510,home,Sheffield United,Andre Brooks,,,andre-brooks,A. Brooks,M,11,180,245,M,1396445,EUR,1061337600,M,35,35,False,32.0,31.0,1.0,,0.0,15.0,15.0,16.0,17.0,,7.0,,,,,66.0,47.0,6.4,7.0,0.0146906,1,,1.0,,5.0,4.0,3.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,3.0,,1.0,,0.0401,,,,,,,,,,,,,,
11352510,home,Sheffield United,Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,72,M,282665,EUR,776044800,M,23,23,False,40.0,35.0,3.0,1.0,0.0,14.0,16.0,21.0,28.0,,6.0,,,,,90.0,51.0,6.5,11.0,0.017051,0,,2.0,,4.0,1.0,2.0,1.0,,,,,,1.0,,,1.0,,,,,4.0,,,1.0,,,,,,,,,,
11352510,home,Sheffield United,Cameron Archer,,,cameron-archer,C. Archer,F,19,181,984,M,993451,EUR,1007856000,F,10,10,False,13.0,9.0,,,0.0,2.0,3.0,7.0,11.0,,,,,,,74.0,27.0,6.2,9.0,0.0372602,3,,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,0.7744,1.0,,2.0,,,2.0,,,,,,,,
11352510,home,Sheffield United,Ben Brereton Díaz,,,ben-brereton-diaz,B. Brereton Díaz,M,25,188,6380,M,867583,EUR,924393600,F,11,11,False,33.0,28.0,,,0.0,7.0,7.0,21.0,27.0,,3.0,,,,,90.0,46.0,7.9,10.0,0.0468911,4,,1.0,,3.0,2.0,1.0,,,1.0,2.0,1.0,,1.0,,,,,2.0,,1.0594,1.0,,2.0,,1.0,,ben.brereton,1.0,1.0,,,,,
11352510,home,Sheffield United,James McAtee,,,james-mcatee,J. McAtee,M,24,180,10550,M,1003334,EUR,1034899200,M,28,28,True,9.0,6.0,1.0,,0.0,3.0,3.0,3.0,7.0,,,,,,,24.0,15.0,6.5,6.0,0.00503808,0,,,,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,jamesmcatee_,,,,,,,
11352510,home,Sheffield United,Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,21,21,True,12.0,9.0,2.0,,0.0,6.0,8.0,3.0,4.0,,1.0,,,,,16.0,14.0,6.5,3.0,0.00060847,1,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,0.0225,,,,,,,,,,,,,,
11352510,home,Sheffield United,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,13,13,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352510,home,Sheffield United,Yasser Larouci,Yasser,Larouci,larouci-yasser,Y. Larouci,D,76,175,3600,M,927360,EUR,978307200,D,27,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,larouci.yasseroff,,,,,,,
