match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,player_sofascoreId,stat_dispossessed,stat_keyPass,stat_shotOffTarget,captain,stat_accurateCross,stat_penaltyConceded,stat_goals,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside
12450956,home,Montpellier,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,40,40,False,19.0,14.0,6.0,1.0,0.0,14.0,16.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,25.0,6.3,5.0,8.101e-05,0,-1.5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450956,home,Montpellier,Falaye Sacko,falaye-sacko,F. Sacko,D,77,179,2233,M,796372,EUR,799286400,D,77,77,False,50.0,45.0,,,0.0,15.0,17.0,34.0,,3.0,,,,,,,90.0,72.0,6.4,8.0,0.0164014,0,,30.0,1.0,2.0,7.0,5.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12450956,home,Montpellier,Bećir Omeragić,becir-omeragic,B. Omeragić,D,27,187,462,M,940918,EUR,1011484800,D,27,27,False,70.0,66.0,5.0,3.0,0.0,42.0,43.0,28.0,1.0,4.0,,,,,,,90.0,75.0,6.4,5.0,0.0708279,0,,24.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
12450956,home,Montpellier,Modibo Sagnan,modibo-sagnan,M. Sagnan,D,27,187,581,M,904759,EUR,924048000,D,5,5,False,63.0,57.0,9.0,4.0,0.0,34.0,37.0,26.0,3.0,5.0,,,,,,,90.0,80.0,7.4,7.0,0.0167335,3,,23.0,,,2.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.1408,0.0118,,,,,,,,,,,,,,
12450956,home,Montpellier,Issiaga Sylla,issiaga-sylla,I. Sylla,D,4,180,3382,M,291695,EUR,757382400,D,3,3,False,9.0,9.0,,,0.0,6.0,6.0,4.0,,1.0,,,,,,,10.0,12.0,6.6,1.0,0.00092261,0,,3.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,Issiaga,Sylla,ISylla,,,,,,,,,,,
12450956,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,31.0,30.0,1.0,1.0,0.0,11.0,12.0,20.0,1.0,3.0,,,,,,,40.0,38.0,6.6,4.0,0.0113195,0,,19.0,1.0,1.0,3.0,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12450956,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,111.0,101.0,9.0,5.0,0.0,43.0,47.0,65.0,,9.0,,,,,,,90.0,124.0,7.1,13.0,0.0429882,1,,58.0,1.0,,4.0,2.0,,,,,,,2.0,,1.0,,,,3.0,0.0204,0.0358,,,,1.0,2.0,,,,,,,,,
12450956,home,Montpellier,Mousa Tamari,mousa-al-taamari,M. Tamari,F,11,175,5388,M,876600,EUR,865900800,M,9,9,False,19.0,17.0,,,0.0,7.0,7.0,13.0,,2.0,,,,,,,63.0,34.0,6.3,9.0,0.0253016,1,,10.0,1.0,1.0,6.0,4.0,,4.0,,,2.0,1.0,2.0,,,,,1.0,,0.0099,,,,,1.0,,1.0,,,,,,,,
12450956,home,Montpellier,Teji Savanier,teji-savanier,T. Savanier,M,11,171,790,M,156682,EUR,693360000,M,11,11,False,60.0,43.0,8.0,4.0,0.0,17.0,20.0,56.0,1.0,1.0,,,,,,,90.0,93.0,6.7,35.0,0.239691,2,,30.0,16.0,2.0,6.0,2.0,,2.0,,,1.0,1.0,,1.0,,,,1.0,,0.0784,,,,,2.0,2.0,2.0,True,4.0,,,,,,
12450956,home,Montpellier,Tanguy Coulibaly,tanguy-coulibaly,T. Coulibaly,M,70,180,478,M,954060,EUR,982454400,M,70,70,False,20.0,16.0,1.0,1.0,0.0,6.0,7.0,15.0,,2.0,,,,,,,63.0,35.0,6.6,9.0,0.0157764,1,,10.0,2.0,1.0,4.0,5.0,,4.0,3.0,,1.0,,,1.0,1.0,,,1.0,2.0,0.0431,0.1914,,,,1.0,1.0,,,,1.0,,,,,
