match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_wasFouled,stat_errorLeadToAGoal,stat_dispossessed,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_clearanceOffLine,player_sofascoreId,stat_punches,stat_hitWoodwork
12763975,home,Rangers,Jack Butland,,,jack-butland,J. Butland,G,1,196,717,M,98448,EUR,731721600,G,1,1,False,24.0,18.0,8.0,2.0,0.0,18.0,18.0,6.0,4.0,3.0,3.0,90.0,30.0,6.2,7.0,6.445e-05,0,-0.8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763975,home,Rangers,James Tavernier,,,james-tavernier,J. Tavernier,D,2,176,1674,M,126074,EUR,688867200,D,2,2,False,27.0,19.0,6.0,2.0,0.0,8.0,10.0,20.0,7.0,,,61.0,40.0,6.3,12.0,0.241759,1,,True,12.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3215,0.4099,2.0,,,,,,,,,,,,,,,,,
12763975,home,Rangers,John Souttar,,,john-souttar,J. Souttar,D,5,185,363,M,287563,EUR,843609600,D,5,5,False,61.0,51.0,12.0,8.0,0.0,36.0,42.0,19.0,7.0,,,90.0,71.0,6.8,10.0,0.0116122,1,,,15.0,,,,9.0,,9.0,,,,,,,,0.1049,,,1.0,5.0,2.0,,,,,,,,,,,,,,
12763975,home,Rangers,Robin Pröpper,,,robin-propper,R. Pröpper,D,3,190,266,M,196082,EUR,748742400,D,4,4,False,60.0,52.0,9.0,3.0,0.0,34.0,35.0,26.0,6.0,,,90.0,76.0,6.5,10.0,0.00831613,0,,,18.0,1.0,,1.0,,5.0,3.0,2.0,1.0,1.0,,,3.0,1.0,,,1.0,,6.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
12763975,home,Rangers,Jefté,Jefté,,jefte,Jefté,D,6,183,2361,M,1116665,EUR,1071964800,D,22,22,False,48.0,40.0,3.0,1.0,0.0,18.0,22.0,37.0,5.0,,,90.0,78.0,5.9,20.0,0.0636396,0,,,24.0,11.0,2.0,,1.0,8.0,5.0,4.0,4.0,1.0,,,1.0,,,,,,1.0,,3.0,2.0,1.0,,,,,,,,,,,
12763975,home,Rangers,Mohammed Diomande,,,mohammed-diomande,M. Diomande,M,10,183,1805,M,1018785,EUR,1004400000,M,10,10,False,39.0,30.0,2.0,1.0,0.0,11.0,15.0,25.0,7.0,,,90.0,64.0,6.3,21.0,0.0170429,3,,,19.0,1.0,,,2.0,6.0,5.0,1.0,6.0,2.0,,,,7.0,0.1507,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,
12763975,home,Rangers,Connor Barron,,,connor-barron,C. Barron,M,8,175,273,M,997419,EUR,1030579200,M,8,8,False,42.0,37.0,3.0,3.0,0.0,19.0,20.0,23.0,5.0,,,69.0,49.0,6.0,8.0,0.0315344,0,,,18.0,1.0,,,,3.0,2.0,2.0,,,,,1.0,2.0,,,,,1.0,,2.0,2.0,1.0,,,1.0,,,,,,,,
12763975,home,Rangers,Václav Černý,,,vaclav-cerny,V. Černý,M,18,182,3503,M,280631,EUR,877046400,M,18,18,False,20.0,13.0,1.0,,0.0,2.0,6.0,16.0,4.0,,,69.0,31.0,6.4,11.0,0.023803,4,,,11.0,2.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,0.3995,,1.0,1.0,,,,,,3.0,,,,,,,,,,
12763975,home,Rangers,Tom Lawrence,,,tom-lawrence,T. Lawrence,M,34,175,362,M,135246,EUR,758419200,M,11,11,False,6.0,5.0,1.0,,0.0,2.0,2.0,4.0,1.0,,,45.0,16.0,7.3,6.0,0.0235748,2,,,3.0,,,,,1.0,1.0,,,,,2.0,1.0,2.0,0.4879,0.6039,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,
12763975,home,Rangers,Nedim Bajrami,,,nedim-bajrami,N. Bajrami,M,14,179,1674,M,825861,EUR,920160000,M,14,14,False,36.0,30.0,3.0,3.0,0.0,8.0,9.0,29.0,7.0,,,81.0,51.0,7.4,11.0,0.0681544,1,,,22.0,2.0,,,1.0,3.0,8.0,2.0,7.0,7.0,,,,1.0,0.018,,3.0,,,,,,,1.0,,,1.0,,,,,,,
