match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_wonContest,stat_penaltyWon,stat_outfielderBlock,stat_errorLeadToAShot,stat_penaltyConceded,stat_challengeLost,stat_blockedScoringAttempt,stat_dispossessed,stat_totalOffside,stat_goals,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_bigChanceMissed,stat_hitWoodwork
11067525,home,Santos,João Paulo,joao-paulo,J. Paulo,G,34,188,1599,M,795177,EUR,804384000,G,34,34,False,True,22.0,14.0,12.0,5.0,9.0,11.0,5.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,90.0,29.0,5.8,8.0,0.0,0.0,0.00466346,0,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067525,home,Santos,João Lucas,joao-lucas,J. Lucas,D,2,181,682,M,981019,EUR,889401600,D,13,13,False,,24.0,15.0,2.0,1.0,8.0,11.0,8.0,17.0,2.0,12.0,3.0,8.0,,,,90.0,58.0,8.0,19.0,0.042,0.0537,0.173586,2,,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,4.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,
11067525,home,Santos,Joaquim,joaquim,Joaquim,D,28,187,860,M,1047740,EUR,914803200,D,28,28,False,,37.0,27.0,5.0,2.0,19.0,23.0,8.0,14.0,12.0,14.0,10.0,6.0,,,,90.0,54.0,7.3,11.0,0.0261,0.0,0.0155826,1,,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,
11067525,home,Santos,Messias,messias,Messias,D,4,192,220,M,839765,EUR,783820800,D,24,24,False,,28.0,17.0,2.0,,13.0,15.0,4.0,13.0,8.0,11.0,14.0,1.0,,,,90.0,51.0,7.3,11.0,0.1824,0.2644,0.00061788,3,,,,,1.0,,,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
11067525,home,Santos,Kevyson,kevyson,Kevyson,D,38,174,451,M,1389980,EUR,1080518400,D,38,38,False,,24.0,14.0,2.0,,6.0,11.0,8.0,17.0,3.0,12.0,1.0,3.0,,,,90.0,51.0,6.8,18.0,0.0,0.0,0.0454561,0,,,4.0,,3.0,5.0,,,,3.0,5.0,4.0,1.0,,2.0,1.0,Kevyson,,,4.0,,1.0,1.0,1.0,,,,,,,,,
11067525,home,Santos,Rodrigo Fernández,rodrigo-fernandez,R. Fernández,M,5,172,285,M,877599,EUR,820627200,M,14,14,False,,24.0,19.0,4.0,2.0,13.0,14.0,6.0,10.0,,4.0,2.0,5.0,,,,90.0,39.0,6.6,5.0,0.0367,0.0,0.0601181,2,,,,,5.0,,,1.0,,1.0,2.0,,,2.0,3.0,,,,1.0,,,,,,1.0,1.0,,,,,,,
11067525,home,Santos,Sandry,sandry,Sandry,M,8,173,517,M,973847,EUR,1030665600,M,6,6,False,,21.0,19.0,2.0,2.0,11.0,12.0,9.0,14.0,,3.0,,3.0,,,,70.0,36.0,7.0,7.0,0.0,0.0,0.050323,0,,,5.0,1.0,3.0,,,,,2.0,3.0,2.0,,,1.0,2.0,,,,,,2.0,,,1.0,,1.0,,,,,,
11067525,home,Santos,Lucas Braga,lucas-braga,L. Braga,M,22,184,437,M,934801,EUR,847584000,M,30,30,False,,6.0,5.0,,,1.0,1.0,4.0,5.0,,4.0,,2.0,,,,89.0,19.0,6.1,6.0,0.0334,0.0,0.00631897,1,,,,,7.0,3.0,,,,,1.0,1.0,3.0,2.0,,,,,3.0,1.0,,,,,2.0,1.0,,1.0,,,,,
11067525,home,Santos,Lucas Lima,lucas-lima,L. Lima,M,10,176,1742,M,244589,EUR,647481600,M,23,23,False,,28.0,23.0,1.0,,8.0,10.0,17.0,24.0,,5.0,,6.0,,,,66.0,43.0,7.2,11.0,0.0415,0.0,0.118329,1,,1.0,6.0,2.0,3.0,4.0,,,,,1.0,,,2.0,1.0,3.0,,,,2.0,,,,,,1.0,,,,,,,
11067525,home,Santos,Stiven Mendoza,steven-mendoza,S. Mendoza,M,7,171,1016,M,354510,EUR,709603200,M,20,20,False,,21.0,16.0,2.0,2.0,8.0,11.0,8.0,11.0,,9.0,,8.0,,,,89.0,40.0,8.0,10.0,1.3493,1.9726,0.0163401,2,,,1.0,,8.0,2.0,,,2.0,,,,2.0,7.0,,,,,6.0,2.0,,,,,,,2.0,,2.0,,,,
