match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,stat_shotValueNormalized,captain,stat_interceptionWon,stat_lastManTackle,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_challengeLost,stat_wasFouled,stat_outfielderBlock,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded
14109797,home,Fenerbahçe,Ederson,ederson,Ederson,G,31,188,48446,M,Ederson93,254491,EUR,745545600,G,31,31,False,33.0,26.0,9.0,2.0,0.0,26.0,29.0,4.0,1.0,1.0,3.0,7.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,90.0,45.0,6.1,7.0,5.907e-05,102.67617483375,16.0,44.879243726624,0.0,0.0549,0,0.0941,0.01,0.04,-0.32,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109797,home,Fenerbahçe,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7755,M,nelsonsemedo50,252821,EUR,753408000,D,27,27,False,32.0,27.0,5.0,2.0,0.0,17.0,17.0,15.0,2.0,4.0,2.0,9.0,,,,,,,,90.0,53.0,6.6,11.0,0.08796,89.135653213209,10.0,29.659173763889,1.0,,1,,0.04,0.26,-0.14,,10.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0151,8.9954867262637,10.226635859363,1.0,0.0,,,,,,,,,,,,,,,,,
14109797,home,Fenerbahçe,Çağlar Söyüncü,caglar-soyuncu,Ç. Söyüncü,D,4,187,4168,M,soyuncu_caglar,758608,EUR,832809600,D,4,4,False,55.0,49.0,3.0,1.0,0.0,38.0,39.0,16.0,3.0,4.0,4.0,2.0,,,,,,,,70.0,63.0,7.2,7.0,0.00580134,395.01827353993,38.0,223.2242116445,2.0,,0,,0.17,0.22,0.46,,11.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,25.097886464058,55.011987543625,,,True,1.0,1.0,,,,,,,,,,,,,,
14109797,home,Fenerbahçe,Jayden Oosterwolde,jayden-oosterwolde,J. Oosterwolde,D,24,189,3123,M,,1048324,EUR,988243200,D,24,24,False,79.0,68.0,2.0,1.0,0.0,58.0,64.0,15.0,3.0,4.0,4.0,2.0,,,,,,,,90.0,88.0,6.5,13.0,0.00907794,441.43509262588,49.0,185.68823164516,1.0,,1,,0.15,0.23,-0.24,,10.0,,,1.0,4.0,,1.0,,,1.0,1.0,1.0,2.0,0.0188,25.064835440795,36.134697023775,,0.01,,,,Jayden Oosterwolde,,1.0,0.1758,,,,,,,,,,
14109797,home,Fenerbahçe,Mert Müldür,mert-muldur,M. Müldür,D,18,184,2870,M,,836683,EUR,923097600,D,18,18,False,41.0,39.0,,,1.0,19.0,20.0,21.0,,7.0,3.0,4.0,,,,,,,,90.0,72.0,7.2,11.0,0.132812,141.10707644635,16.0,86.38495509112,1.0,,0,,0.3,0.06,-0.18,,20.0,1.0,,2.0,9.0,,5.0,2.0,,4.0,3.0,4.0,,,22.493270993883,24.076133431263,1.0,,,1.0,,,,,,4.0,1.0,,,,,,,,
14109797,home,Fenerbahçe,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169,44806,M,nglkante,234148,EUR,670204800,M,17,17,False,34.0,28.0,1.0,1.0,0.0,17.0,21.0,13.0,1.0,2.0,,2.0,,,,,,,,62.0,39.0,6.6,8.0,0.00570429,46.139349146292,8.0,20.103321410245,0.0,,1,,-0.03,0.07,-0.06,,11.0,1.0,,,,,,,1.0,1.0,,1.0,,0.0208,,,,-0.01,,1.0,,,,,,,,,,,,,,,
14109797,home,Fenerbahçe,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185,7161,M,MatteoGuendouzi,852404,EUR,924048000,M,6,6,False,55.0,51.0,1.0,1.0,0.0,30.0,30.0,25.0,1.0,4.0,3.0,7.0,,,,,,,,90.0,67.0,7.3,4.0,0.0205793,165.01389210159,21.0,69.350843031604,1.0,,0,,0.13,0.17,0.35,,21.0,,,,2.0,,1.0,1.0,,,,,1.0,,16.838906509612,16.866511939343,1.0,,,2.0,,,,,,1.0,2.0,2.0,,,,,,,
14109797,home,Fenerbahçe,Dorgeles Nene,nene-dorgeles,D. Nene,F,45,174,10361,M,d.nene10,1102788,EUR,1040601600,M,45,45,False,24.0,20.0,1.0,1.0,0.0,8.0,8.0,16.0,,4.0,1.0,3.0,,,,,,,,90.0,41.0,6.7,9.0,0.0247193,129.27712730518,12.0,77.439581899867,2.0,,1,,-0.08,0.3,-0.15,,12.0,1.0,,,6.0,1.0,1.0,,,3.0,3.0,1.0,1.0,0.0619,26.257422191985,40.851055632614,1.0,-0.29,,1.0,,Nene Dorgeles,,,,3.0,1.0,,1.0,,,,,,
14109797,home,Fenerbahçe,Marco Asensio,marco-asensio,M. Asensio,F,21,182,31813,M,marcoasensio10,361004,EUR,822182400,M,21,21,False,39.0,35.0,2.0,1.0,1.0,13.0,14.0,25.0,,1.0,,4.0,,,,,,,,82.0,49.0,7.3,7.0,0.642661,120.16080728083,13.0,49.91138786189,1.0,,2,,0.44,0.41,-0.04,,22.0,3.0,,,1.0,,1.0,1.0,1.0,,,,1.0,0.1151,21.529541285121,21.532710001298,3.0,-0.52,,1.0,,,,,,,,,1.0,1.0,1.0,,,,
14109797,home,Fenerbahçe,Kerem Aktürkoğlu,kerem-akturkoglu,K. Aktürkoğlu,F,9,173,24917,M,KAktürkoğlu,903324,EUR,908928000,M,9,9,False,20.0,16.0,,,0.0,4.0,5.0,15.0,,4.0,,3.0,,,,,,,,70.0,36.0,8.9,11.0,0.032152,79.892584758233,10.0,13.569202974245,2.0,,2,,0.11,0.32,-0.06,,12.0,2.0,,2.0,5.0,1.0,1.0,,,3.0,3.0,2.0,1.0,0.659,7.9055077303373,12.103731597538,1.0,0.88,,2.0,,,,2.0,1.1789,,1.0,,,,,2.0,,,
14109797,home,Fenerbahçe,Anderson Talisca,anderson-talisca,A. Talisca,M,94,191,20484,M,AndersonTalisca,329245,EUR,760060800,F,94,94,False,18.0,13.0,2.0,1.0,0.0,9.0,9.0,9.0,,2.0,,3.0,,,,,,,,82.0,30.0,6.9,7.0,0.00225997,30.756244371902,5.0,17.392402847623,1.0,,5,,-0.07,0.24,-0.08,,4.0,,,3.0,5.0,,,,,1.0,,2.0,,1.0863,10.703777207493,11.560449991242,,0.28,,,,,,1.0,0.8326,2.0,1.0,,4.0,,,1.0,1.0,,
14109797,home,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183,3147,M,,952600,EUR,917308800,M,5,5,True,26.0,21.0,1.0,,0.0,7.0,8.0,18.0,1.0,2.0,,2.0,,,,,,,,28.0,34.0,6.9,6.0,0.0306234,101.95864440259,12.0,63.838887306444,2.0,,2,,0.15,0.25,0.18,,14.0,,,,1.0,,,,,1.0,,1.0,1.0,0.0592,22.159838871182,43.18547366853,,0.33,,,,,,2.0,0.4141,,,1.0,,,,,,,
14109797,home,Fenerbahçe,Yiğit Efe Demir,yigit-efe-demir,Y. E. Demir,D,14,194,1161,M,,1133200,EUR,1091404800,D,14,14,True,16.0,15.0,,,0.0,12.0,12.0,4.0,1.0,1.0,,1.0,,,,,,,,20.0,19.0,6.6,2.0,0.00088299,49.668903022004,8.0,22.635217018071,0.0,,1,,0.04,0.07,-0.02,,3.0,,,1.0,2.0,,,,1.0,,,1.0,1.0,0.0143,,,,-0.06,,,,,,,,,,,,,,,,,
14109797,home,Fenerbahçe,Anthony Musaba,anthony-musaba,A. Musaba,F,20,182,2507,M,,979473,EUR,976060800,F,20,20,True,4.0,3.0,,,0.0,3.0,3.0,1.0,,1.0,1.0,,,,,,,,,20.0,8.0,6.5,3.0,6.905e-05,36.557291950294,3.0,20.83310666735,2.0,,0,,-0.12,0.13,0.14,,,1.0,,,1.0,,1.0,,,,,,,,13.998627375951,29.741818305711,,,,,,,,,,,1.0,,,,,,,,
14109797,home,Fenerbahçe,Fred,fred,Fred,M,7,169,11619,M,fred08,243623,EUR,731289600,M,7,7,True,9.0,7.0,,,0.0,4.0,4.0,5.0,,1.0,,1.0,,,,,,,,8.0,16.0,6.7,3.0,0.0147678,36.386952794703,4.0,22.900227457307,1.0,,3,,-0.06,0.26,0.0,,3.0,2.0,1.0,,,,,,,,,,,0.1176,5.5557195704047,6.8565206920128,1.0,-0.37,,,,,,1.0,0.1898,,1.0,,2.0,,,,,,
14109797,home,Fenerbahçe,Sidiki Cherif,sidiki-cherif,S. Cherif,F,26,188,3412,M,,1514916,EUR,1166140800,F,26,26,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,,,,8.0,1.0,6.5,,3.184e-05,,,,,,0,,-0.03,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109797,home,Fenerbahçe,Tarık Çetin,tarik-cetin,T. Çetin,G,13,193,862,M,,913985,EUR,852681600,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109797,home,Fenerbahçe,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,,39573,EUR,604713600,G,34,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
