match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalOffside,stat_keyPass,stat_wonContest,stat_hitWoodwork,stat_goals,stat_wasFouled,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_accurateCross,stat_unsuccessfulTouch,stat_challengeLost,stat_dispossessed
10433934,home,Fatih Karagümrük,Emiliano Viviano,emiliano-viviano,E. Viviano,G,195,127,M,38599,EUR,502243200,G,2,2,False,True,24.0,22.0,4.0,4.0,21.0,22.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,90.0,31.0,6.1,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433934,home,Fatih Karagümrük,Salih Dursun,salih-dursun,S. Dursun,D,188,33,M,179189,EUR,679276800,D,54,54,False,,53.0,46.0,2.0,1.0,22.0,24.0,24.0,34.0,5.0,,,,,,90.0,77.0,7.0,15.0,3,24,1.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
10433934,home,Fatih Karagümrük,Rayyan Baniya,rayyan-baniya,R. Baniya,D,192,339,M,929739,EUR,919296000,D,99,99,False,,64.0,60.0,,,48.0,50.0,12.0,14.0,6.0,,,,,,90.0,75.0,8.5,4.0,3,23,,,,4.0,,6.0,1.0,,1.0,2.0,,2.0,,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,
10433934,home,Fatih Karagümrük,Ibrahim Drešević,ibrahim-dresevic,I. Drešević,D,186,210,M,817987,EUR,854064000,D,5,5,False,,78.0,72.0,5.0,4.0,39.0,41.0,33.0,37.0,10.0,,,,,,90.0,86.0,6.9,6.0,0,5,,,2.0,3.0,5.0,6.0,,,,,,2.0,,2.0,3.0,,1.0,,,,,3.0,3.0,,,,,,
10433934,home,Fatih Karagümrük,Davide Biraschi,davide-biraschi,D. Biraschi,D,182,102,M,233252,EUR,773107200,D,4,4,False,,36.0,27.0,2.0,1.0,14.0,17.0,14.0,26.0,4.0,,,,,,90.0,64.0,6.6,21.0,1,4,,7.0,1.0,3.0,3.0,4.0,,,,1.0,,,,2.0,2.0,,,,,,,1.0,,,,1.0,2.0,,
10433934,home,Fatih Karagümrük,Jimmy Durmaz,jimmy-durmaz,J. Durmaz,M,180,109,M,37504,EUR,606528000,M,21,21,False,,81.0,71.0,9.0,6.0,29.0,29.0,45.0,61.0,5.0,,,,,,86.0,99.0,7.4,20.0,1,,,9.0,1.0,,4.0,1.0,1.0,,,1.0,,,,,,,6.0,,,,,1.0,,,,3.0,2.0,2.0,
10433934,home,Fatih Karagümrük,Nicholas Anwan,nicholas-anwan,N. Anwan,M,188,32,M,1129985,EUR,990057600,M,24,24,False,,46.0,40.0,2.0,1.0,19.0,21.0,21.0,25.0,6.0,,,,,,75.0,57.0,6.8,7.0,1,24,,,1.0,,7.0,5.0,,,1.0,,,2.0,1.0,1.0,6.0,,,,,,2.0,3.0,2.0,Nicholas,Anwan,,1.0,,
10433934,home,Fatih Karagümrük,Ebrima Colley,colley-ebrima,E. Colley,F,179,640,M,928106,EUR,949363200,M,19,19,False,,22.0,20.0,1.0,,8.0,8.0,13.0,15.0,2.0,,,,,,66.0,24.0,6.2,3.0,0,11,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,
10433934,home,Fatih Karagümrük,Magomed Ozdoev,magomed-ozdoev,M. Ozdoev,M,184,813,M,121185,EUR,720921600,M,27,27,False,,53.0,48.0,5.0,3.0,12.0,12.0,37.0,44.0,6.0,,,,,,90.0,66.0,6.9,10.0,1,27,,3.0,,,2.0,3.0,,,,1.0,,,,,1.0,,2.0,,,,3.0,,,,,1.0,2.0,,1.0
10433934,home,Fatih Karagümrük,Jean Evrard Kouassi,jean-evrard-kouassi,J. Kouassi,M,174,581,M,156008,EUR,780451200,M,70,70,False,,14.0,9.0,,,,1.0,9.0,15.0,2.0,,,,,,76.0,26.0,6.7,14.0,2,17,,2.0,2.0,1.0,4.0,2.0,2.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,4.0,,
10433934,home,Fatih Karagümrük,Fabio Borini,fabio-borini,F. Borini,F,180,487,M,89510,EUR,670204800,F,16,16,False,,35.0,25.0,6.0,5.0,8.0,9.0,19.0,28.0,4.0,,,,,,90.0,60.0,8.2,18.0,4,16,2.0,2.0,,,10.0,4.0,3.0,2.0,2.0,1.0,1.0,,,2.0,2.0,,4.0,1.0,,,3.0,,,,,2.0,,,6.0
10433934,home,Fatih Karagümrük,Mbaye Diagne,mbaye-diagne,M. Diagne,F,191,1430,M,346790,EUR,688608000,F,9,9,True,,5.0,4.0,,,1.0,1.0,3.0,4.0,,,,,,,24.0,8.0,6.5,1.0,2,45,,,3.0,,3.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,
10433934,home,Fatih Karagümrük,Adnan Uğur,adnan-ugur,A. Uğur,M,174,53,M,987539,EUR,993686400,M,77,77,True,,14.0,14.0,,,5.0,5.0,9.0,9.0,1.0,,,,,,15.0,16.0,6.5,1.0,0,77,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
10433934,home,Fatih Karagümrük,Burak Kapacak,burak-kapacak,B. Kapacak,M,180,490,M,836686,EUR,944611200,M,22,22,True,,7.0,6.0,,,1.0,1.0,5.0,9.0,,,,,,,14.0,13.0,6.6,5.0,0,17,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
10433934,home,Fatih Karagümrük,Colin Kazim-Richards,colin-kazim-richards,C. Kazim-Richards,F,185,110,,30134,EUR,525398400,F,13,13,True,,2.0,2.0,,,,,2.0,2.0,,,,,,,13.0,2.0,6.6,,0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
