match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_interceptionWon,stat_unsuccessfulTouch,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_challengeLost,captain,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_punches,stat_goals,stat_goalAssist,stat_hitWoodwork
11067635,home,América Mineiro,Matheus Cavichioli,,,matheus-cavichioli,M. Cavichioli,G,1,195,104,M,243097,EUR,522806400,G,1,1,False,24.0,22.0,5.0,3.0,22.0,22.0,2.0,10.0,1.0,2.0,2.0,1.0,1.0,90.0,35.0,6.9,2.0,0.0,0.0,0.0001246,0,-0.0852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067635,home,América Mineiro,Daniel Borges,,,daniel-borges,D. Borges,D,20,174,183,M,794874,EUR,732844800,D,20,20,False,76.0,69.0,8.0,6.0,24.0,25.0,59.0,12.0,,,,,,90.0,103.0,6.5,18.0,0.0082,0.0,0.0790967,1,,48.0,8.0,3.0,4.0,1.0,12.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
11067635,home,América Mineiro,Júlio César,Júlio César,,julio-cesar,Júlio César,D,18,186,62,M,1185832,EUR,1064793600,D,18,18,False,83.0,71.0,3.0,1.0,41.0,45.0,38.0,4.0,,,,,,90.0,91.0,6.7,14.0,0.0,0.0,0.0143871,0,,30.0,,,5.0,5.0,5.0,6.0,,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,
11067635,home,América Mineiro,Éder,,,eder-ferreira,Éder,D,33,184,208,M,842072,EUR,797126400,D,33,33,False,52.0,48.0,7.0,4.0,18.0,20.0,32.0,4.0,,,,,,45.0,54.0,6.6,4.0,0.0,0.0,0.0145364,0,,30.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
11067635,home,América Mineiro,Marlon Lopes,,,marlon-lopes,Marlon,D,6,177,100,M,870933,EUR,761097600,D,6,6,False,42.0,36.0,2.0,2.0,16.0,19.0,26.0,6.0,,,,,,90.0,69.0,6.6,14.0,0.041,0.0,0.0436659,1,,21.0,3.0,1.0,2.0,1.0,7.0,3.0,1.0,3.0,,,,,1.0,3.0,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,
11067635,home,América Mineiro,Lucas Kal,,,lucas-kal,Lucas Kal,M,21,186,179,M,840118,EUR,826934400,M,21,21,False,61.0,53.0,1.0,,20.0,21.0,41.0,6.0,,,,,,45.0,63.0,6.5,9.0,0.0,0.0,0.0263324,0,,33.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
11067635,home,América Mineiro,Alê,,,ale,Alê,M,16,184,96,M,869564,EUR,644630400,M,16,16,False,68.0,61.0,2.0,2.0,21.0,21.0,50.0,7.0,,,,,,90.0,91.0,7.2,13.0,0.0421,0.0,0.136177,1,,41.0,3.0,1.0,1.0,2.0,3.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,3.0,2.0,3.0,1.0,,,1.0,True,1.0,1.0,,,,,,
11067635,home,América Mineiro,Rodriguinho,Rodriguinho,,rodriguinho,Rodriguinho,M,75,170,859,M,1174770,EUR,1054771200,M,75,75,False,40.0,35.0,2.0,1.0,9.0,10.0,32.0,4.0,,,,,,66.0,55.0,6.7,12.0,0.0566,0.0,0.416821,1,,26.0,2.0,,,1.0,3.0,4.0,1.0,2.0,,,3.0,2.0,,,1.0,,2.0,,1.0,,,,,,,,,,,
11067635,home,América Mineiro,Breno Cascardo,Breno Cascardo,,breno-cascardo,Breno Cascardo,M,80,183,161,M,1469514,EUR,1064448000,M,28,28,False,54.0,52.0,1.0,,15.0,15.0,40.0,2.0,,,,,,66.0,69.0,6.3,9.0,0.0651,0.0,0.125272,2,,38.0,1.0,1.0,,,8.0,2.0,2.0,3.0,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,,1.0,,,,,,,,,
11067635,home,América Mineiro,Emmanuel Martínez,,,emmanuel-martinez,E. Martinez,M,6,177,616,M,794312,EUR,770688000,M,5,5,False,66.0,58.0,5.0,3.0,12.0,12.0,61.0,6.0,,,,,,89.0,99.0,7.8,17.0,0.2201,0.0,0.277034,2,,49.0,7.0,3.0,,1.0,8.0,11.0,,6.0,,,5.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,,4.0,,,,1.0,,,,,
