match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_penaltyConceded,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,captain,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_punches,stat_penaltyWon,stat_clearanceOffLine,stat_errorLeadToAGoal
12528072,home,Başakşehir FK,Deniz Dilmen,Deniz Dilmen,deniz-dilmen,D. Dilmen,G,1,198.0,150,M,1065508,EUR,1117929600,G,98,98,False,14.0,13.0,4.0,3.0,0.0,12.0,12.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,19.0,6.2,1.0,0.00012893,0,-1.3643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528072,home,Başakşehir FK,Festy Ebosele,,festy-ebosele,F. Ebosele,D,36,180.0,588,M,983059,EUR,1028246400,D,36,36,False,54.0,48.0,1.0,1.0,0.0,15.0,18.0,36.0,40.0,5.0,,,,,,78.0,79.0,8.0,9.0,0.786497,1,,4.0,3.0,1.0,1.0,8.0,13.0,2.0,1.0,9.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,0.04,3.0,,,,,,,,,,,,,,,,,,,,,
12528072,home,Başakşehir FK,Hamza Güreler,Hamza Güreler,hamza-gureler,H. Güreler,D,15,192.0,199,M,1562294,EUR,1144627200,D,15,15,False,86.0,80.0,2.0,2.0,0.0,26.0,26.0,54.0,60.0,8.0,,,,,,90.0,100.0,7.4,7.0,0.0755275,2,,,,,8.0,3.0,10.0,,,1.0,,,,2.0,1.0,,2.0,0.1482,,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,
12528072,home,Başakşehir FK,Jerome Opoku,,opoku-jerome,J. Opoku,D,3,194.0,1395,M,920514,EUR,908323200,D,3,3,False,71.0,69.0,,,0.0,31.0,31.0,38.0,40.0,4.0,,,,,,90.0,83.0,6.6,5.0,0.0210252,3,,,,,2.0,2.0,5.0,,,2.0,2.0,,1.0,1.0,,,2.0,0.1493,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
12528072,home,Başakşehir FK,Christopher Operi,,christopher-operi,C. Operi,D,21,182.0,1314,M,858977,EUR,862272000,D,21,21,False,61.0,55.0,5.0,4.0,0.0,13.0,15.0,47.0,57.0,4.0,,,,,,90.0,91.0,7.6,18.0,0.186726,4,,11.0,5.0,,2.0,7.0,5.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,,3.0,1.2779,2.0,1.0,,2.0,3.0,,1.0,2.0,1.0,1.0,1.0,1.033,,,,,,,,,,
12528072,home,Başakşehir FK,Umut Güneş,,umut-gunes,U. Güneş,M,20,177.0,131,M,876782,EUR,953164800,M,20,20,False,85.0,78.0,6.0,4.0,0.0,29.0,30.0,49.0,55.0,7.0,,,,,,90.0,103.0,7.5,9.0,0.155252,2,,,,,3.0,3.0,10.0,1.0,,3.0,2.0,,,4.0,4.0,1.0,1.0,0.1633,,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
12528072,home,Başakşehir FK,Deniz Türüç,,deniz-turuc,D. Türüç,M,9,175.0,292,M,252207,EUR,728265600,M,23,23,False,49.0,41.0,4.0,2.0,1.0,12.0,12.0,36.0,46.0,5.0,,,,,,72.0,73.0,8.9,12.0,1.19547,4,,9.0,7.0,,,3.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,0.1868,9.0,3.0,,,,,,,,,,,,True,,,,,,,,
12528072,home,Başakşehir FK,Matchoi Djaló,,matchoi-djalo,M. Djaló,M,17,175.0,190,M,989599,EUR,1049932800,M,22,22,False,16.0,14.0,,,0.0,6.0,6.0,8.0,10.0,3.0,,,,,,77.0,30.0,6.2,4.0,0.0749084,7,,,,1.0,1.0,6.0,3.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.7422,,5.0,,,,,4.0,1.0,,,,,,,1.0,,,,,,,
12528072,home,Başakşehir FK,Ömer Faruk Beyaz,,omer-faruk-beyaz,Ö. F. Beyaz,M,99,171.0,399,M,1022881,EUR,1062115200,M,17,17,False,39.0,32.0,1.0,1.0,0.0,10.0,10.0,22.0,29.0,3.0,,,,,,90.0,63.0,6.8,17.0,0.0657999,2,,,,,,8.0,8.0,4.0,,6.0,4.0,,1.0,2.0,,2.0,2.0,0.0396,,1.0,,1.0,6.0,,,,,,,,,,,,,,,,,
12528072,home,Başakşehir FK,Ivan Brnić,,ivan-brnic,I. Brnić,M,77,175.0,376,M,916182,EUR,998524800,M,77,77,False,26.0,22.0,1.0,1.0,0.0,4.0,4.0,20.0,29.0,2.0,,,,,,72.0,44.0,7.2,16.0,0.530181,0,,7.0,2.0,,,3.0,1.0,,1.0,2.0,,2.0,,1.0,,,,,5.0,,,,4.0,,,,,,,,,,,1.0,,,,,,
