match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_totalClearance,player_firstName,player_lastName,stat_aerialWon,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,stat_shotOffTarget,stat_goals,stat_goalAssist,stat_bigChanceCreated,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves
10583811,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200,G,1,1,False,26.0,18.0,14.0,6.0,15.0,16.0,3.0,10.0,2.0,90.0,27.0,6.8,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Abdulmalik Al Oyayari,al-oyayari-abdulmalik,A. A. Oyayari,D,15,175.0,54,M,1210456,EUR,1071014400,D,15,15,False,26.0,20.0,3.0,2.0,12.0,14.0,8.0,15.0,4.0,89.0,57.0,7.4,11.0,1,3.0,1.0,6.0,12.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Naldo,naldo,Naldo,D,5,188.0,74,M,243719,EUR,588470400,D,4,4,False,40.0,37.0,8.0,5.0,27.0,27.0,10.0,13.0,2.0,90.0,55.0,7.6,3.0,0,,2.0,2.0,1.0,,,,,2.0,2.0,1.0,,,,,True,7.0,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,14,14,False,43.0,39.0,4.0,1.0,26.0,27.0,13.0,16.0,3.0,90.0,51.0,7.1,4.0,0,,,,2.0,,,,,,,1.0,1.0,,,,,7.0,,,1.0,,,,,,,,,,,,
10583811,home,Al-Taawoun,Saad Yaslam Balobaid,saad-yaslam-balobaid,S. Y. Balobaid,D,31,168.0,155,M,1066588,EUR,948931200,D,31,31,False,29.0,21.0,3.0,1.0,11.0,14.0,11.0,17.0,2.0,90.0,52.0,6.6,12.0,0,2.0,1.0,8.0,4.0,3.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,,4.0,Saad Yaslam Balobaid,,,1.0,1.0,1.0,,,,,,,,,
10583811,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,52.0,44.0,6.0,2.0,26.0,28.0,18.0,24.0,8.0,90.0,65.0,7.0,10.0,0,,,,4.0,,1.0,1.0,,,2.0,1.0,1.0,2.0,1.0,,,5.0,,,1.0,,,1.0,,,,,,,,,
10583811,home,Al-Taawoun,Fahad Ayed Al-Rashidi,al-rashidi-fahad-ayed,F. A. Al-Rashidi,F,97,175.0,231,M,974517,EUR,863740800,M,7,7,False,10.0,6.0,1.0,,3.0,4.0,3.0,7.0,1.0,82.0,24.0,6.6,9.0,1,1.0,1.0,5.0,5.0,2.0,,,,,,1.0,1.0,3.0,3.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,
10583811,home,Al-Taawoun,Flávio,flavio,Flávio,M,8,177.0,261,M,839521,EUR,823910400,M,24,24,False,28.0,25.0,3.0,3.0,16.0,17.0,9.0,11.0,5.0,90.0,37.0,6.9,3.0,0,,,2.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600,M,10,10,False,35.0,27.0,3.0,,13.0,14.0,16.0,25.0,4.0,71.0,56.0,6.5,18.0,1,4.0,,7.0,3.0,,2.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,,,1.0,2.0,3.0,2.0,,,1.0,,,,,,
10583811,home,Al-Taawoun,Sumaihan Al-Nabit,sumaihan-al-nabit,S. Al-Nabit,M,88,174.0,111,M,893167,EUR,827884800,M,8,8,False,28.0,17.0,6.0,2.0,6.0,7.0,11.0,22.0,5.0,90.0,42.0,7.6,16.0,2,1.0,1.0,3.0,5.0,,1.0,,1.0,,,1.0,,2.0,3.0,,,,,,1.0,,1.0,2.0,1.0,,,1.0,,,,,
10583811,home,Al-Taawoun,Léandre Tawamba,leandre-tawamba,L. Tawamba,F,,189.0,255,M,315224,EUR,630115200,F,3,3,False,18.0,14.0,5.0,3.0,4.0,4.0,10.0,14.0,2.0,90.0,30.0,7.3,8.0,3,,,2.0,3.0,,,,3.0,,,1.0,1.0,4.0,,2.0,,3.0,,,2.0,,,1.0,,,,,,,,,
10583811,home,Al-Taawoun,Alejandro Romero,kaku,Kaku,M,10,171.0,1012,M,788936,EUR,789782400,M,17,17,True,5.0,5.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,19.0,10.0,7.0,3.0,0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,
10583811,home,Al-Taawoun,Saad Fahad Al Nasser,saad-fahad-al-nasser,S. F. A. Nasser,D,96,172.0,581,M,1118494,EUR,978912000,M,9,9,True,5.0,2.0,,,2.0,3.0,,2.0,1.0,8.0,6.0,6.7,3.0,1,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
10583811,home,Al-Taawoun,Tariq Mohammed,tariq-mohammed,T. Mohammed,M,6,170.0,26,M,871619,EUR,810345600,D,5,5,True,,,,,,,,,,13.0,2.0,6.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Raghed Al-Najjar,raghid-najjar,R. Al-Najjar,G,36,188.0,830,M,925920,EUR,843177600,G,36,36,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Motaz Hawsawi,motaz-hawsawi,M. Hawsawi,D,,179.0,18,M,160933,EUR,698284800,D,52,52,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Faisal Darwish,faisal-darwish,F. D. Faraj,M,,176.0,3,M,791560,EUR,678499200,D,25,25,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Hassan Al-Amri,hassan-al-amri,H. Al-Amri,M,7,172.0,19,M,818733,EUR,766886400,F,77,77,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Yacouba Dembele,yacouba-dembele,Y. Dembele,F,,166.0,5,M,1134107,EUR,981504000,M,11,11,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Yacouba Dembele,,,,,,,,,,,,,,
10583811,home,Al-Taawoun,Turki Al Mutairi,turki-al-mutairi,T. Al-Mutairi,F,9,,12,M,1019325,EUR,991267200,F,99,99,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Turki,Al Mutairi,,,,,,,,,,,,,
10583811,away,Al-Nassr,David Ospina,david-ospina,D. Ospina,G,1,183.0,5027,M,33596,EUR,588988800,G,25,25,False,44.0,36.0,16.0,8.0,31.0,35.0,5.0,9.0,13.0,90.0,59.0,7.2,8.0,0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,D_Ospina1,2.0,4.0
10583811,away,Al-Nassr,Abdulelah Al-Amri,abdulelah-al-amri,A. Al-Amri,D,5,185.0,1135,M,881831,EUR,853286400,D,5,5,False,39.0,31.0,3.0,2.0,16.0,19.0,19.0,26.0,7.0,90.0,60.0,7.0,15.0,0,6.0,1.0,5.0,4.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,True,2.0,,,2.0,4.0,1.0,3.0,,,,,,,,,
10583811,away,Al-Nassr,Álvaro González,alvaro-gonzalez,Á. González,D,,183.0,313,M,150212,EUR,631756800,D,21,21,False,64.0,56.0,12.0,8.0,34.0,36.0,22.0,28.0,2.0,90.0,73.0,6.9,9.0,0,,,,1.0,,,,,,1.0,1.0,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,
10583811,away,Al-Nassr,Abdullah Madu,abdullah-madu,A. Madu,D,3,186.0,189,M,794347,EUR,742694400,D,3,3,False,62.0,59.0,5.0,4.0,40.0,41.0,19.0,21.0,2.0,90.0,66.0,6.6,4.0,0,,2.0,3.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,
10583811,away,Al-Nassr,Ghislain Konan,ghislain-konan,G. Konan,D,3,176.0,2811,M,831781,EUR,820022400,D,13,13,False,45.0,41.0,2.0,2.0,12.0,15.0,32.0,43.0,2.0,89.0,75.0,7.0,20.0,0,13.0,,6.0,3.0,,4.0,1.0,,1.0,2.0,1.0,1.0,,,1.0,,,Ghislain,Konan,1.0,3.0,2.0,,,1.0,,,,,,,
10583811,away,Al-Nassr,Khalid Al-Ghannam,khalid-al-ghannam,K. Al-Ghannam,M,17,171.0,713,M,976538,EUR,973641600,M,11,11,False,13.0,11.0,1.0,1.0,4.0,5.0,7.0,11.0,3.0,60.0,21.0,6.7,7.0,0,3.0,1.0,3.0,3.0,,,,,,,2.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,
10583811,away,Al-Nassr,Ali Al-Hassan,ali-al-hassan,A. Al-Hassan,M,19,183.0,1000,M,925947,EUR,857433600,M,19,19,False,42.0,36.0,2.0,2.0,15.0,16.0,22.0,28.0,6.0,90.0,57.0,7.0,9.0,0,2.0,1.0,4.0,7.0,,3.0,2.0,,,,4.0,1.0,1.0,1.0,2.0,,,,,,1.0,,1.0,,,,,,,,,
10583811,away,Al-Nassr,Luiz Gustavo,luiz-gustavo,L. Gustavo,M,14,187.0,2128,M,29735,EUR,553996800,M,18,18,False,42.0,37.0,6.0,4.0,16.0,18.0,21.0,24.0,5.0,89.0,55.0,7.1,6.0,0,,1.0,4.0,3.0,,,,,1.0,2.0,1.0,,,2.0,3.0,,3.0,,,,,,,,,,,,,,,
10583811,away,Al-Nassr,Sami Al-Najei,sami-al-najei,S. Al-Najei,M,14,181.0,886,M,832312,EUR,855273600,M,14,14,False,26.0,22.0,2.0,1.0,6.0,6.0,17.0,28.0,5.0,90.0,50.0,6.5,19.0,1,8.0,,6.0,5.0,1.0,3.0,1.0,,,,,,5.0,4.0,2.0,,,,,,1.0,1.0,,1.0,,,,,,,,
