match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_fouls,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_totalContest,stat_wonContest,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_lastManTackle,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_accurateCross,stat_keyPass,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
14062223,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,326,M,187185,EUR,798768000,G,1,1,False,True,48.0,20.0,36.0,9.0,0.0,13.0,16.0,7.0,32.0,1.0,1.0,2.0,13.0,1.0,4.0,4.0,4.0,2.0,90.0,64.0,7.4,28.0,0.00454514,75.447250710841,13.0,32.270993457505,0.0,0.7461,0,0.9931,0.14,0.02,0.13,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062223,home,1. FC Köln,Joel Schmied,,,schmied-joel,J. Schmied,D,2,188,151,M,965950,EUR,906508800,D,2,2,False,,17.0,11.0,3.0,1.0,0.0,5.0,6.0,6.0,11.0,2.0,3.0,7.0,5.0,,,,,,90.0,33.0,6.2,10.0,0.00360927,45.075052953186,4.0,-1.932168124804,0.0,,0,,0.05,-0.01,-0.25,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14062223,home,1. FC Köln,Rav van den Berg,,,rav-van-den-berg,R. v. d. Berg,D,33,190,1076,M,1014493,EUR,1089158400,D,33,33,False,,16.0,13.0,1.0,,0.0,10.0,10.0,3.0,6.0,4.0,4.0,11.0,1.0,,,,,,90.0,37.0,6.3,4.0,0.00104436,4.270901661242,1.0,-3.4804283020524,0.0,,0,,0.0,-0.02,-0.11,,3.0,5.0,,6.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
14062223,home,1. FC Köln,Cenk Özkaçar,,,cenk-ozkacar,C. Özkaçar,D,39,190,733,M,953097,EUR,970790400,D,39,39,False,,38.0,28.0,5.0,1.0,0.0,19.0,22.0,9.0,16.0,3.0,5.0,4.0,4.0,,,,,,90.0,51.0,6.3,11.0,0.00534905,136.66562059089,13.0,59.680954968203,0.0,,1,,0.07,0.06,-0.13,,3.0,5.0,1.0,1.0,2.0,,,,1.0,1.0,0.101,0.117,-0.27,,,,,,,,,,,,,,,,,,,
14062223,home,1. FC Köln,Sebastian Sebulonsen,,,sebastian-sebulonsen,S. Sebulonsen,M,28,187,235,M,1020206,EUR,948931200,M,28,28,False,,15.0,13.0,,,0.0,6.0,7.0,7.0,8.0,1.0,4.0,3.0,3.0,,,,,,69.0,34.0,6.8,10.0,0.0244865,,,,,,0,,-0.01,0.05,0.18,,3.0,3.0,,,2.0,1.0,,1.0,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,
14062223,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,933,M,988639,EUR,1020038400,M,6,6,False,,23.0,17.0,4.0,2.0,0.0,9.0,13.0,8.0,10.0,,8.0,3.0,3.0,3.0,,,,,90.0,43.0,7.5,10.0,0.00867988,60.679278578527,8.0,8.3182380707238,1.0,,1,,0.07,0.02,0.79,,5.0,6.0,,1.0,5.0,2.0,3.0,,1.0,,0.1952,,-0.08,1.0,,,1.0,1.0,1.0,1.0,11.240723260415,15.547288380936,,,,,,,,,,
14062223,home,1. FC Köln,Tom Krauß,,,tom-krauss,T. Krauß,M,5,182,399,M,930272,EUR,993168000,M,5,5,False,,32.0,25.0,3.0,1.0,0.0,12.0,14.0,13.0,18.0,,8.0,2.0,5.0,1.0,,,,,89.0,53.0,7.3,14.0,0.0346217,55.732232519081,7.0,18.703222048154,0.0,,0,,0.16,0.01,0.26,,,4.0,,1.0,7.0,5.0,3.0,,1.0,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,
14062223,home,1. FC Köln,Kristoffer Lund,,,kristoffer-lund,K. Lund,D,32,184,392,M,963043,EUR,1021334400,M,32,32,False,,25.0,18.0,3.0,1.0,0.0,8.0,10.0,10.0,15.0,1.0,7.0,2.0,5.0,5.0,,,,,90.0,62.0,7.0,21.0,0.0199509,148.54555478745,18.0,36.141952272237,1.0,,0,,0.18,0.14,-0.09,,5.0,6.0,,,,,3.0,,,,,,,3.0,1.0,1.0,1.0,,,,16.534462740946,16.880578663067,1.0,1.0,,,,,,,,
14062223,home,1. FC Köln,Jakub Kamiński,,,jakub-kaminski,J. Kamiński,M,16,178,5204,M,801263,EUR,1023235200,F,16,16,False,,24.0,20.0,2.0,1.0,1.0,4.0,7.0,16.0,17.0,1.0,4.0,3.0,4.0,,,,,,89.0,42.0,7.8,11.0,0.400257,88.081706720873,8.0,45.553013732308,2.0,,1,,0.56,0.23,0.2,,,2.0,1.0,,1.0,,2.0,,,1.0,0.0917,0.0949,0.01,5.0,3.0,2.0,,,,,11.200188908316,24.908615655745,2.0,4.0,jakub.kaminskii,1.0,,,,,,
14062223,home,1. FC Köln,Said El Mala,,,el-mala-said,S. E. Mala,M,13,185,2525,M,1800475,EUR,1156550400,F,13,13,False,,17.0,12.0,1.0,1.0,1.0,4.0,5.0,8.0,12.0,,4.0,,4.0,1.0,,,,,85.0,39.0,8.1,15.0,0.0790588,152.35113025223,11.0,80.474901176856,3.0,,3,,0.05,0.57,0.13,,1.0,7.0,4.0,,,,3.0,,,1.0,0.4863,0.433,0.46,2.0,5.0,3.0,,,,,38.242236779707,78.30524963062,1.0,1.0,,,2.0,1.0,1.0,,,
