match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_challengeLost,player_sofascoreId,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_penaltyWon,stat_totalOffside,stat_errorLeadToAGoal,stat_penaltyFaced,stat_penaltyConceded
11396364,home,VfB Stuttgart,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2048,M,584722,EUR,844041600,G,33,33,False,39.0,32.0,12.0,6.0,29.0,33.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,90.0,47.0,7.6,8.0,0.00210311,0,0.1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396364,home,VfB Stuttgart,Pascal Stenzel,,,pascal-stenzel,P. Stenzel,D,15,184,266,M,352562,EUR,827280000,D,15,15,False,54.0,50.0,5.0,3.0,18.0,20.0,32.0,35.0,1.0,5.0,2.0,1.0,,,,89.0,78.0,7.9,9.0,0.0417833,1,,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0278,0.3051,,,,,,,,,,,,,,,
11396364,home,VfB Stuttgart,Waldemar Anton,,,waldemar-anton,W. Anton,D,3,189,2193,M,799046,EUR,837820800,D,2,2,False,64.0,56.0,8.0,4.0,39.0,42.0,17.0,22.0,,3.0,8.0,,,,,90.0,72.0,7.5,10.0,0.0135471,1,,,1.0,1.0,,,,1.0,2.0,,,3.0,3.0,2.0,,0.0302,0.2345,True,,,,,,,,,,,,,,
11396364,home,VfB Stuttgart,Dan-Axel Zagadou,,,dan-axel-zagadou,D. Zagadou,D,23,196,1086,M,826205,EUR,928368000,D,23,23,False,95.0,85.0,11.0,7.0,62.0,69.0,23.0,26.0,1.0,1.0,5.0,,,,,90.0,102.0,7.3,11.0,0.0207581,0,,,,1.0,,,,,4.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
11396364,home,VfB Stuttgart,Maximilian Mittelstädt,,,maximilian-mittelstadt,M. Mittelstädt,D,7,178,2368,M,788949,EUR,858643200,D,7,7,False,63.0,57.0,2.0,2.0,34.0,38.0,23.0,25.0,,5.0,13.0,1.0,,,,71.0,81.0,7.5,10.0,0.35619,1,,,2.0,4.0,1.0,1.0,,,,,1.0,4.0,3.0,1.0,,0.0393,,,1.0,1.0,1.0,,,,,,,,,,,
11396364,home,VfB Stuttgart,Atakan Karazor,,,atakan-karazor,A. Karazor,M,16,190,1082,M,801030,EUR,845164800,M,16,16,False,54.0,54.0,1.0,1.0,21.0,21.0,35.0,35.0,2.0,6.0,5.0,2.0,,,,90.0,73.0,7.8,,0.105081,0,,2.0,1.0,3.0,,1.0,1.0,,3.0,,5.0,1.0,,,,,,,,,3.0,2.0,2.0,,,,,,,,,
11396364,home,VfB Stuttgart,Enzo Millot,,,millot-enzo,E. Millot,M,10,175,4915,M,957889,EUR,1026864000,M,8,8,False,72.0,63.0,2.0,2.0,24.0,26.0,41.0,49.0,,3.0,11.0,1.0,,,,90.0,89.0,7.0,17.0,0.184276,0,,3.0,2.0,5.0,1.0,4.0,2.0,,,,1.0,,,3.0,,,,,,,1.0,2.0,,,,,,,,,,
11396364,home,VfB Stuttgart,Silas,,,silas-katompa-mvumpa,S. K. Mvumpa,M,26,189,7725,M,949062,EUR,907632000,M,14,14,False,22.0,21.0,,,4.0,4.0,17.0,20.0,,4.0,1.0,,,,,79.0,42.0,7.9,10.0,0.367571,4,,2.0,,5.0,,8.0,4.0,,,,,,,3.0,1.0,0.926,,,3.0,2.0,5.0,,,silas,1.0,2.0,,,,,,
11396364,home,VfB Stuttgart,Chris Führich,,,chris-fuhrich,C. Führich,M,10,178,1574,M,891510,EUR,884304000,M,27,27,False,41.0,35.0,1.0,,10.0,11.0,26.0,32.0,,2.0,8.0,,,,,79.0,49.0,7.1,10.0,0.0849122,0,,2.0,,4.0,,2.0,1.0,,,,,1.0,1.0,2.0,,,,,,,3.0,1.0,3.0,,,,,,,,,
11396364,home,VfB Stuttgart,Serhou Guirassy,,,serhou-guirassy,S. Guirassy,F,9,187,50480,M,328027,EUR,826588800,F,9,9,False,29.0,27.0,1.0,1.0,8.0,8.0,19.0,21.0,,4.0,3.0,3.0,,,,90.0,51.0,7.5,9.0,0.557387,7,,,1.0,7.0,1.0,3.0,,2.0,,,1.0,1.0,1.0,3.0,2.0,1.5906,1.2785,,,2.0,2.0,,,guirassy19off,3.0,3.0,1.0,1.0,3.0,,,
