match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_aerialLost,stat_errorLeadToAGoal,captain,stat_totalOffside,stat_dispossessed,stat_goals,stat_penaltyMiss,stat_penaltyWon,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded
10385572,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,57.0,49.0,20.0,12.0,44.0,46.0,5.0,11.0,2.0,2.0,1.0,12.0,1.0,1.0,3.0,1.0,2.0,2.0,90.0,67.0,6.8,8.0,0.00152887,0,0.5825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385572,home,Liverpool,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,66,66,False,51.0,41.0,9.0,4.0,15.0,16.0,32.0,43.0,1.0,7.0,1.0,7.0,,,,,,,90.0,76.0,7.5,13.0,0.595684,1,,1.0,8.0,6.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0245,4.0,,,,,,,,,,,,,,,,,,,
10385572,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,57.0,47.0,6.0,2.0,30.0,37.0,17.0,20.0,3.0,8.0,,8.0,,,,,,,90.0,72.0,7.1,11.0,0.0114371,2,,,,,2.0,1.0,,,,,3.0,5.0,3.0,,1.0,0.5897,,,,1.0,1.0,1.0,1.0,1.0,0.7878,,,,,,,,,,,
10385572,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,64.0,52.0,6.0,1.0,36.0,39.0,16.0,26.0,2.0,3.0,4.0,5.0,,,,,,,90.0,76.0,6.1,13.0,0.00885864,0,,,1.0,,6.0,2.0,,,,,2.0,1.0,,,1.0,,,,,,,,,,,3.0,1.0,,,,,,,,,
10385572,home,Liverpool,Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,24820,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,45.0,36.0,3.0,1.0,19.0,24.0,18.0,25.0,,3.0,1.0,5.0,,,,,,,90.0,65.0,6.4,17.0,0.57581,1,,,4.0,1.0,6.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.1434,1.0,,,1.0,,,,2.0,,1.0,,,,,,,,,,
10385572,home,Liverpool,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6378,M,jordanhenderson,42694,EUR,645580800,M,14,14,False,52.0,46.0,3.0,3.0,11.0,12.0,35.0,43.0,,2.0,,7.0,,,,,,,90.0,65.0,7.7,9.0,0.241584,2,,,3.0,,1.0,1.0,,,1.0,2.0,2.0,2.0,1.0,,1.0,0.309,2.0,,,,,,,,,,,True,1.0,,,,,,,
10385572,home,Liverpool,Fabinho,fabinho,Fabinho,M,8,187,9273,M,Fabinho,243585,EUR,751334400,M,3,3,False,38.0,31.0,2.0,1.0,15.0,17.0,16.0,21.0,,2.0,,2.0,,,,,,,78.0,46.0,6.8,8.0,0.0252861,1,,,,,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,0.0333,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,
10385572,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,False,30.0,26.0,1.0,1.0,10.0,11.0,16.0,20.0,,3.0,1.0,5.0,,,,,,,60.0,45.0,6.2,13.0,0.0281983,0,,,1.0,,5.0,,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,3.0,,,,,,4.0,,,,,,
10385572,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,37.0,30.0,4.0,2.0,8.0,8.0,22.0,30.0,1.0,4.0,,2.0,,,,,,,90.0,71.0,6.3,22.0,0.228085,10,,,1.0,,10.0,3.0,5.0,,1.0,5.0,,1.0,,2.0,1.0,2.1452,2.0,,,3.0,3.0,2.0,,7.0,1.5313,,,,,1.0,1.0,1.0,,,,
10385572,home,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,51371,M,CodyGakpo,862967,EUR,926035200,F,18,18,False,32.0,26.0,,,4.0,6.0,23.0,30.0,3.0,6.0,,7.0,,,,,,,90.0,47.0,7.2,13.0,0.163993,1,,,4.0,1.0,5.0,,,,,1.0,,2.0,1.0,1.0,,0.0364,3.0,,,,,,,2.0,,3.0,,,,2.0,,,,,,
