match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_lastManTackle,stat_keyPass,stat_challengeLost,captain,stat_penaltyWon,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyMiss,stat_penaltyConceded,stat_errorLeadToAShot,stat_goodHighClaim,stat_goals,stat_goalAssist
11370004,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1417,M,934385,EUR,1014681600,G,26,26,False,34.0,28.0,7.0,1.0,28.0,28.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,90.0,42.0,6.6,6.0,7.612e-05,0,-0.9763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370004,home,KRC Genk,Zakaria El Ouahdi,zakaria-el-ouahdi,Z. E. Ouahdi,D,77,172,3909,M,1134470,EUR,1009756800,D,77,77,False,31.0,30.0,2.0,1.0,13.0,13.0,18.0,,5.0,,2.0,,,,79.0,54.0,6.8,7.0,0.0126536,0,,,,z.elouahdi,17.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
11370004,home,KRC Genk,Carlos Cuesta,carlos-cuesta,C. Cuesta,D,46,179,4440,M,839095,EUR,920937600,D,46,46,False,48.0,41.0,5.0,2.0,32.0,34.0,14.0,1.0,3.0,,2.0,,,,90.0,54.0,6.1,8.0,0.00205759,1,,,,,9.0,2.0,3.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.1516,0.4371,,,,,,,,,,,,,,,,
11370004,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,655,M,922759,EUR,919900800,D,2,2,False,63.0,55.0,7.0,3.0,36.0,37.0,26.0,2.0,2.0,3.0,3.0,,,,90.0,66.0,6.1,8.0,0.00530128,0,,,,,19.0,3.0,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11370004,home,KRC Genk,Joris Kayembe,joris-kayembe-ditu,J. Kayembe,D,18,180,4977,M,354046,EUR,776304000,D,18,18,False,41.0,32.0,8.0,5.0,16.0,17.0,27.0,1.0,6.0,1.0,7.0,,,,90.0,63.0,6.7,15.0,0.0713998,1,,,,joriskayembe23,17.0,1.0,2.0,,3.0,2.0,,,3.0,2.0,,,,,,,0.0079,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
11370004,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,366,M,198282,EUR,703900800,M,17,17,False,42.0,36.0,3.0,1.0,14.0,16.0,27.0,1.0,3.0,,10.0,,,,90.0,51.0,6.3,10.0,0.0176487,0,,,,,22.0,6.0,10.0,1.0,3.0,2.0,,,,,,,,1.0,,,,,1.0,,,,2.0,2.0,,,,,,,,,,
11370004,home,KRC Genk,Bryan Heynen,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,46.0,27.0,4.0,2.0,9.0,14.0,32.0,4.0,6.0,3.0,2.0,,,,90.0,56.0,6.9,19.0,0.0710008,0,,,,,18.0,2.0,5.0,,2.0,2.0,,2.0,,,,,,,1.0,,,,,,,,2.0,2.0,True,,,,,,,,,
11370004,home,KRC Genk,Christopher Baah,christopher-baah,C. Baah,M,22,172,2650,M,1477662,EUR,1102982400,M,90,90,False,23.0,17.0,2.0,1.0,6.0,7.0,17.0,2.0,10.0,,5.0,,,,70.0,44.0,7.5,14.0,0.0270742,2,,Christopher Baah,,,11.0,2.0,8.0,2.0,6.0,5.0,,,2.0,2.0,1.0,,1.0,3.0,3.0,,0.0738,0.0828,1.0,,1.0,,,,,1.0,,,,,,,,
11370004,home,KRC Genk,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25244,M,1126569,EUR,1084147200,M,10,10,False,46.0,35.0,6.0,5.0,10.0,10.0,44.0,,3.0,,6.0,,,,90.0,64.0,7.5,19.0,0.169674,2,,Bilal,El Khannouss,bilalekns_34,26.0,1.0,2.0,,,,,,1.0,1.0,2.0,,1.0,,1.0,,0.1255,0.2518,8.0,1.0,,,2.0,,,,1.0,1.0,,,,,,
11370004,home,KRC Genk,Luca Oyen,luca-oyen,L. Oyen,M,11,172,406,M,996986,EUR,1047600000,M,24,24,False,19.0,16.0,1.0,1.0,5.0,6.0,13.0,,6.0,1.0,4.0,,,,79.0,34.0,6.9,8.0,0.0337087,0,,,,,11.0,1.0,5.0,1.0,6.0,4.0,,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,
