match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_shotValueNormalized,stat_shotOffTarget,stat_wasFouled,stat_dispossessed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,player_firstName,player_lastName,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock
14054079,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190.0,15470,M,MMaignan,191210,EUR,804729600,G,16,16,False,True,28.0,28.0,2.0,2.0,0.0,28.0,28.0,2.0,1.0,90.0,30.0,6.8,0.0082,0,0.04,0.01,0.13,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14054079,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185.0,7149,M,fikayotomori,788255,EUR,882489600,D,23,23,False,,63.0,57.0,3.0,,1.0,25.0,29.0,4.0,,90.0,83.0,7.1,,0,0.29,0.03,0.15,,32.0,34.0,3.0,2.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,7.0,2.0,,,,,,,,,,,,,,,,,,,
14054079,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185.0,3413,M,,826195,EUR,940464000,D,46,46,False,,64.0,60.0,5.0,4.0,0.0,49.0,49.0,1.0,,90.0,67.0,6.7,,0,-0.03,0.06,0.22,,11.0,15.0,,,3.0,,4.0,,,,2.0,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,
14054079,home,Milan,Strahinja Pavlović,strahinja-pavlovic,S. Pavlović,D,31,194.0,8736,M,strahinjapavlovic,965893,EUR,990662400,D,31,31,False,,95.0,91.0,6.0,5.0,0.0,46.0,46.0,6.0,,90.0,102.0,7.7,,1,0.38,0.21,0.16,,45.0,49.0,,,1.0,3.0,2.0,5.0,,,,1.0,1.0,2.0,5.0,,1.0,1.0,1.0,2.0,1.0,-0.16,,,,,,,,,,,,,
14054079,home,Milan,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,56,180.0,7631,M,AS56,901891,EUR,930441600,M,56,56,False,,53.0,49.0,,,0.0,11.0,12.0,1.0,,81.0,75.0,8.1,,5,0.71,0.44,0.19,,38.0,41.0,4.0,1.0,,,1.0,6.0,1.0,,,3.0,1.0,,10.0,3.0,1.0,1.0,3.0,,2.0,-0.55,2.0,2.0,,,,,,,,,,,
14054079,home,Milan,Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185.0,6195,M,YFofana19_,945062,EUR,915926400,M,19,19,False,,55.0,50.0,6.0,5.0,0.0,10.0,11.0,2.0,,90.0,77.0,6.8,,7,0.14,0.83,-0.01,,40.0,44.0,1.0,,1.0,,7.0,4.0,1.0,,,2.0,1.0,2.0,12.0,3.0,3.0,2.0,2.0,1.0,3.0,-0.59,3.0,,2.0,2.0,,,,,,,,,
14054079,home,Milan,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182.0,4143,M,,930189,EUR,998352000,M,4,4,False,,54.0,51.0,4.0,3.0,0.0,17.0,18.0,4.0,,66.0,59.0,7.2,,1,0.27,0.14,0.13,,34.0,36.0,,,,,,2.0,,,,1.0,,,4.0,2.0,,,1.0,1.0,,-0.07,,1.0,,,,,,,,,,,
14054079,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191.0,7204,M,rlc,284441,EUR,822355200,M,8,8,False,,33.0,31.0,1.0,1.0,0.0,8.0,8.0,5.0,,66.0,48.0,7.3,,1,0.26,0.45,-0.04,,23.0,25.0,1.0,,,,2.0,5.0,1.0,,,4.0,3.0,,8.0,1.0,2.0,1.0,1.0,1.0,3.0,-0.28,,,,,,,,,,,,,
14054079,home,Milan,Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175.0,14942,M,pervisestupinan,805465,EUR,885340800,M,2,2,False,,69.0,61.0,3.0,2.0,0.0,22.0,24.0,7.0,,90.0,85.0,7.3,,1,0.35,0.91,0.14,,39.0,45.0,3.0,2.0,3.0,1.0,6.0,5.0,,,,2.0,,4.0,11.0,1.0,2.0,2.0,,,,0.04,1.0,,,,,,,,,,,,
14054079,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177.0,37634,M,CMPulisic,817957,EUR,906076800,F,11,11,False,,41.0,36.0,1.0,1.0,0.0,5.0,5.0,2.0,,66.0,56.0,7.8,,4,-0.67,0.93,-0.01,,31.0,36.0,8.0,1.0,,,,,,,,,,,14.0,5.0,,,1.0,,1.0,0.39,2.0,,,1.0,1.0,1.0,,,,,,,
