match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_hitWoodwork,stat_interceptionWon,stat_lastManTackle,stat_fouls,stat_totalContest,stat_wonContest,stat_bigChanceCreated,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_accurateKeeperSweeper,player_sofascoreId,stat_goals
10438198,home,Rio Ave,Jhonatan,jhonatan,Jhonatan,G,189,96,M,798688,EUR,673660800,G,18,18,False,30.0,22.0,8.0,2.0,20.0,25.0,2.0,5.0,1.0,1.0,1.0,1.0,9.0,1.0,3.0,4.0,1.0,90.0,45.0,7.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438198,home,Rio Ave,Renato Pantalon,renato-pantalon,R. Pantalon,D,196,88,M,826561,EUR,877910400,D,42,42,False,56.0,46.0,4.0,,32.0,37.0,14.0,19.0,2.0,6.0,1.0,3.0,5.0,,,,,90.0,66.0,6.8,11.0,0,84,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10438198,home,Rio Ave,Aderllan Santos,aderllan-santos,A. Santos,D,193,103,M,129617,EUR,608083200,D,33,33,False,68.0,53.0,6.0,3.0,40.0,45.0,13.0,23.0,3.0,4.0,,8.0,5.0,,,,,90.0,82.0,6.8,16.0,1,33,2.0,4.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10438198,home,Rio Ave,Patrick William,patrick-william,P. William,D,186,83,M,921624,EUR,865296000,D,4,4,False,57.0,46.0,3.0,1.0,36.0,43.0,11.0,15.0,3.0,6.0,1.0,1.0,4.0,,,,,81.0,70.0,7.1,14.0,1,,,2.0,4.0,3.0,1.0,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
10438198,home,Rio Ave,Costinha,costinha,Costinha,D,181,818,M,988333,EUR,954028800,M,20,20,False,35.0,29.0,3.0,1.0,16.0,18.0,14.0,23.0,8.0,7.0,2.0,1.0,6.0,2.0,,,,81.0,62.0,7.0,16.0,0,20,2.0,,4.0,2.0,1.0,2.0,2.0,,,,,6.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,
10438198,home,Rio Ave,Andreas Samaris,andreas-samaris,A. Samaris,M,189,309,,108398,EUR,613699200,M,30,30,False,48.0,41.0,3.0,,28.0,30.0,14.0,19.0,2.0,5.0,1.0,1.0,8.0,2.0,,,,63.0,63.0,6.9,10.0,1,,,,2.0,,2.0,,,1.0,,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,
10438198,home,Rio Ave,Gonçalo Rodrigues,goncalo-rodrigues,G. Rodrigues,M,168,231,M,357740,EUR,869184000,M,6,6,False,48.0,44.0,6.0,6.0,24.0,25.0,22.0,27.0,4.0,8.0,,,7.0,4.0,,,,90.0,66.0,7.5,10.0,2,16,,1.0,2.0,,1.0,3.0,2.0,,,,,4.0,2.0,,,,1.0,2.0,1.0,,True,1.0,1.0,,,,,
10438198,home,Rio Ave,Fábio Ronaldo,fabio-ronaldo,F. Ronaldo,F,178,236,M,1134514,EUR,988416000,M,77,77,False,29.0,27.0,,,15.0,16.0,12.0,15.0,7.0,3.0,3.0,1.0,5.0,2.0,,,,90.0,55.0,6.3,11.0,0,11,,,,,2.0,,3.0,,1.0,,,2.0,,,3.0,,,2.0,1.0,,,,,,,,,
10438198,home,Rio Ave,João Graça,joao-graca,J. Graça,M,177,46,M,309296,EUR,803433600,F,21,21,False,25.0,19.0,4.0,1.0,10.0,12.0,9.0,14.0,6.0,5.0,1.0,,2.0,3.0,,,,64.0,38.0,6.6,10.0,1,21,1.0,,1.0,,,,2.0,1.0,,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,
10438198,home,Rio Ave,André Pereira,andre-pereira,A. Pereira,F,188,56,M,804313,EUR,799632000,F,95,95,False,29.0,20.0,1.0,,10.0,10.0,10.0,19.0,8.0,8.0,,3.0,1.0,1.0,,,,90.0,49.0,6.8,16.0,0,,,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,3.0,6.0,3.0,,,,,1.0,,,,
