match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_interceptionWon,stat_unsuccessfulTouch,stat_accurateCross,stat_wasFouled,captain,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_punches,stat_errorLeadToAShot,stat_goalAssist,stat_goals
11409089,home,FC Arouca,Ignacio de Arruabarrena,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,34.0,28.0,13.0,7.0,26.0,30.0,2.0,4.0,1.0,1.0,2.0,15.0,1.0,1.0,3.0,2.0,1.0,90.0,53.0,6.6,7.0,0.00070076,0,-0.4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409089,home,FC Arouca,Bogdan Milovanov,bogdan-milovanov,B. Milovanov,D,3,178,86,M,914162,EUR,892944000,D,22,22,False,43.0,30.0,7.0,2.0,13.0,17.0,17.0,31.0,8.0,3.0,2.0,3.0,,,,,,90.0,76.0,6.2,19.0,0.0187625,2,,5.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0396,,,,,,,,,,,,,,,,,,,
11409089,home,FC Arouca,Nino Galović,nino-galovic,N. Galović,D,,184,65,M,161431,EUR,710380800,D,44,44,False,55.0,53.0,7.0,5.0,37.0,37.0,16.0,18.0,1.0,1.0,5.0,5.0,,,,,,90.0,67.0,6.7,2.0,0.00489878,0,,,,1.0,2.0,,,,,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,
11409089,home,FC Arouca,Francisco Montero,francisco-montero,F. Montero,D,20,185,228,M,927376,EUR,916272000,D,4,4,False,77.0,66.0,15.0,9.0,54.0,56.0,12.0,21.0,4.0,,5.0,7.0,,,,,,90.0,88.0,6.5,12.0,0.00789394,0,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,
11409089,home,FC Arouca,Tiago Esgaio,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,45.0,36.0,1.0,,24.0,28.0,12.0,18.0,2.0,,,4.0,,,,,,90.0,61.0,6.1,14.0,0.00718437,0,,1.0,,,1.0,2.0,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,
11409089,home,FC Arouca,Jason,jason,Jason,M,23,179,253,M,330677,EUR,773452800,M,10,10,False,14.0,9.0,,,,,10.0,19.0,6.0,,,2.0,,,,,,73.0,26.0,6.0,15.0,0.00794841,0,,5.0,1.0,,1.0,1.0,4.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
11409089,home,FC Arouca,David Simão,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,88.0,73.0,9.0,4.0,34.0,37.0,39.0,53.0,5.0,3.0,,7.0,,,,,,90.0,107.0,7.3,19.0,0.0293746,1,,2.0,,1.0,9.0,,3.0,3.0,1.0,,3.0,2.0,2.0,0.0517,2.0,2.0,,2.0,True,1.0,,,,,,,,,,,,,
11409089,home,FC Arouca,Kouassi Eboue,kouassi-eboue,K. Eboue,M,8,185,220,M,839099,EUR,881971200,M,8,8,False,51.0,44.0,5.0,5.0,22.0,25.0,22.0,26.0,2.0,1.0,1.0,8.0,,,,,,81.0,60.0,7.2,7.0,0.0274271,0,,,,3.0,6.0,,,,,,3.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
11409089,home,FC Arouca,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170,6425,M,822492,EUR,901497600,M,2,2,False,43.0,32.0,1.0,,13.0,17.0,19.0,28.0,5.0,2.0,,6.0,,,,,,84.0,60.0,7.2,19.0,0.125262,2,,2.0,,,4.0,1.0,4.0,3.0,2.0,,,,1.0,0.0677,2.0,4.0,,1.0,,3.0,,,morlayesylla2,1.0,,,,,,,,,
11409089,home,FC Arouca,Cristo González,cristo-gonzalez,C. González,M,33,180,344,M,592100,EUR,877651200,F,23,23,False,37.0,30.0,,,12.0,15.0,18.0,22.0,5.0,1.0,,7.0,,,,,,90.0,52.0,6.7,13.0,0.0426566,3,,,1.0,1.0,5.0,1.0,4.0,3.0,2.0,,,,1.0,0.2849,,3.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,
11409089,home,FC Arouca,Rafa Mújica,rafa-mujica,R. Mújica,F,19,183,746,M,845424,EUR,909619200,F,19,19,False,14.0,10.0,,,3.0,5.0,7.0,9.0,2.0,,,2.0,,,,,,73.0,22.0,6.6,6.0,0.0283398,3,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,0.4157,1.0,1.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,0.7754,,,,
11409089,home,FC Arouca,Benji Michel,benji-michel,B. Michel,M,,178,150,M,935643,EUR,877564800,F,18,18,True,4.0,4.0,,,1.0,1.0,3.0,3.0,2.0,,,1.0,,,,,,17.0,7.0,6.5,2.0,0.00271068,0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
11409089,home,FC Arouca,André Bukia,andre-bukia,A. Bukia,M,95,173,93,M,798904,EUR,794188800,F,30,30,True,13.0,9.0,2.0,1.0,1.0,1.0,8.0,12.0,1.0,,,1.0,,,,,,17.0,17.0,6.6,5.0,0.00791105,0,,,,,2.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
