match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_interceptionWon,stat_totalCross,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_totalOffside,stat_accurateCross,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_penaltyWon,stat_bigChanceMissed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_wonContest,stat_penaltyConceded,stat_penaltyFaced
12436540,home,Manchester United,Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15154,M,altaybayindir,815890,EUR,892512000,G,1,1,False,21.0,13.0,12.0,4.0,0.0,10.0,11.0,3.0,10.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,90.0,29.0,7.0,8.0,0.00087395,0,0.0378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436540,home,Manchester United,Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,8884,M,victorlindelof,143334,EUR,774403200,D,2,2,False,64.0,61.0,3.0,1.0,0.0,28.0,28.0,33.0,36.0,3.0,1.0,6.0,,,,,90.0,71.0,7.2,3.0,0.0179299,0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436540,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,28057,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,63.0,57.0,4.0,3.0,0.0,32.0,34.0,25.0,30.0,9.0,3.0,1.0,,,,,90.0,72.0,7.3,8.0,0.0437514,0,,1.0,7.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12436540,home,Manchester United,Ayden Heaven,Ayden Heaven,,heaven-ayden,A. Heaven,D,26,189,10471,M,,1445799,EUR,1158883200,D,26,26,False,48.0,44.0,3.0,1.0,0.0,23.0,24.0,21.0,24.0,3.0,3.0,7.0,1.0,,,,66.0,62.0,7.1,7.0,0.00913266,2,,1.0,1.0,2.0,3.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.1349,,,,,,,,,,,,,,,,,,,
12436540,home,Manchester United,Noussair Mazraoui,,,noussair-mazraoui,N. Mazraoui,D,3,183,53635,M,nousmaz97,847030,EUR,879465600,M,3,3,False,9.0,8.0,1.0,1.0,0.0,,,8.0,10.0,3.0,1.0,1.0,,,,,20.0,16.0,7.3,2.0,0.13131,0,,,,,,1.0,3.0,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
12436540,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,86.0,79.0,4.0,4.0,1.0,17.0,19.0,62.0,68.0,7.0,,10.0,1.0,,,,90.0,110.0,9.1,14.0,0.535569,5,,,1.0,8.0,,1.0,5.0,3.0,2.0,4.0,3.0,,4.0,,0.302,True,1.0,3.0,1.0,1.0,0.0578,,,,,,,,,,,,,
12436540,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,Casemiro,122951,EUR,698803200,M,18,18,False,89.0,73.0,10.0,8.0,0.0,35.0,39.0,38.0,51.0,8.0,1.0,11.0,1.0,,,,90.0,105.0,8.2,19.0,0.0877218,4,,2.0,4.0,7.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,,2.0,,0.1829,,3.0,,,2.0,0.2523,1.0,1.0,,,,,,,,,,,
12436540,home,Manchester United,Patrick Dorgu,,,dorgu-patrick,P. Dorgu,M,13,185,26643,M,Odogwu,1397168,EUR,1098748800,M,13,13,False,66.0,60.0,2.0,2.0,0.0,20.0,21.0,40.0,50.0,4.0,1.0,3.0,3.0,,,,90.0,89.0,7.5,15.0,0.140844,1,,,,4.0,,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,,0.0549,,,,,,,,,,,,,,,,,,,
12436540,home,Manchester United,Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,104228,M,AmadDiallo19,971037,EUR,1026345600,F,16,16,False,52.0,47.0,2.0,2.0,0.0,14.0,15.0,34.0,38.0,4.0,1.0,6.0,1.0,,,,90.0,65.0,8.3,7.0,0.193363,2,,,1.0,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,0.4053,,1.0,,,1.0,0.855,,,1.0,1.0,1.0,1.0,1.0,,,,,,
12436540,home,Manchester United,Mason Mount,,,mason-mount,M. Mount,M,7,181,41304,M,MMount,836694,EUR,915926400,F,7,7,False,34.0,31.0,1.0,1.0,0.0,7.0,8.0,26.0,30.0,1.0,1.0,,1.0,,,,66.0,51.0,6.9,10.0,0.0775143,4,,1.0,,4.0,,4.0,,,4.0,1.0,1.0,1.0,,1.0,0.7449,,1.0,,,3.0,0.4544,,1.0,2.0,,,,,1.0,,,,,
