match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_clearanceOffLine
10434120,home,Konyaspor,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190,350,M,63952,EUR,589161600,G,13,13,False,True,37.0,34.0,9.0,6.0,33.0,34.0,1.0,3.0,9.0,1.0,1.0,90.0,43.0,6.5,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434120,home,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,,51.0,39.0,9.0,7.0,20.0,25.0,20.0,29.0,5.0,,,89.0,87.0,6.8,26.0,0,,,3.0,1.0,2.0,9.0,8.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,
10434120,home,Konyaspor,Uğurcan Yazğılı,ugurcan-yazgili,U. Yazğılı,D,5,184,99,M,904303,EUR,923616000,D,5,5,False,,39.0,35.0,5.0,3.0,24.0,25.0,11.0,14.0,2.0,,,45.0,42.0,6.5,4.0,0,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
10434120,home,Konyaspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181,677,M,156400,EUR,710553600,D,15,15,False,,91.0,79.0,17.0,10.0,47.0,48.0,32.0,43.0,5.0,,,90.0,104.0,7.3,13.0,1,,,,,1.0,2.0,4.0,,,,,3.0,3.0,3.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,
10434120,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,,69.0,60.0,6.0,4.0,22.0,25.0,42.0,53.0,2.0,,,90.0,95.0,7.5,15.0,1,,,9.0,4.0,,1.0,1.0,,,1.0,,3.0,1.0,,,,,3.0,,,,1.0,1.0,1.0,1.0,,,,,,,
10434120,home,Konyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179,82,M,847782,EUR,746841600,M,14,14,False,,52.0,50.0,8.0,7.0,29.0,29.0,21.0,23.0,4.0,,,90.0,59.0,7.0,4.0,1,,,,,,5.0,,2.0,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,
10434120,home,Konyaspor,Andreas Bouchalakis,andreas-bouchalakis,A. Bouchalakis,M,41,185,233,M,211116,EUR,733881600,M,32,32,False,,42.0,36.0,11.0,9.0,19.0,21.0,17.0,21.0,4.0,,,63.0,47.0,6.9,7.0,0,,,,,1.0,,3.0,,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,
10434120,home,Konyaspor,Konrad Michalak,konrad-michalak,K. Michalak,M,71,174,588,M,851243,EUR,874627200,M,77,77,False,,8.0,6.0,1.0,,2.0,2.0,4.0,7.0,,,,45.0,13.0,6.1,6.0,0,Konrad,Michalak,1.0,,,3.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10434120,home,Konyaspor,Alejandro Pozuelo,alejandro-pozuelo,A. Pozuelo,F,10,170,264,M,153964,EUR,685238400,M,24,24,False,,59.0,53.0,4.0,3.0,18.0,18.0,37.0,47.0,3.0,,,90.0,81.0,8.1,16.0,3,Alejandro,Pozuelo,6.0,2.0,,3.0,2.0,,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,6.0,,,,1.0,,1.0,1.0,2.0,1.0,,,,,
10434120,home,Konyaspor,Marlos Moreno,marlos-moreno,M. Moreno,F,7,173,1658,M,818942,EUR,843177600,M,70,70,False,,34.0,28.0,1.0,1.0,7.0,7.0,22.0,30.0,5.0,,,90.0,60.0,6.8,16.0,2,,,3.0,1.0,,5.0,9.0,,1.0,7.0,3.0,,1.0,,2.0,5.0,,2.0,,2.0,,,,,,,,,,,,
