match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelWon,stat_totalContest,stat_wonContest,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_dispossessed,stat_totalClearance,player_sofascoreId,stat_totalCross,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,player_firstName,player_lastName,captain,stat_interceptionWon,stat_keyPass,stat_challengeLost,stat_bigChanceMissed,stat_goals,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_blockedScoringAttempt,stat_outfielderBlock
12476528,home,Swansea City,Lawrence Vigouroux,lawrence-vigouroux,L. Vigouroux,G,22,194,935,M,373240,EUR,753667200,G,22,22,False,41.0,40.0,2.0,1.0,0.0,38.0,38.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,90.0,46.0,6.7,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476528,home,Swansea City,Kyle Naughton,kyle-naughton,K. Naughton,D,,181,37,M,32821,EUR,595209600,D,26,26,False,79.0,74.0,1.0,1.0,0.0,23.0,24.0,51.0,55.0,3.0,,,,,67.0,88.0,7.4,5.0,0,5.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12476528,home,Swansea City,Ben Cabango,ben-cabango,B. Cabango,D,5,188,254,M,939563,EUR,959644800,D,5,5,False,168.0,163.0,10.0,6.0,0.0,70.0,71.0,93.0,97.0,4.0,,,,,90.0,172.0,7.4,5.0,1,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12476528,home,Swansea City,Kristian Pedersen,kristian-pedersen,K. Pedersen,D,24,189,74,M,773591,EUR,775958400,D,3,3,False,113.0,105.0,6.0,2.0,0.0,48.0,50.0,57.0,63.0,8.0,,,,,90.0,125.0,7.0,10.0,0,8.0,,,1.0,2.0,4.0,,2.0,2.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,
12476528,home,Swansea City,Nathan Tjoe-A-On,tjoe-a-on-nathan,N. Tjoe-A-On,M,24,182,7230,M,992651,EUR,1008979200,D,21,21,False,52.0,48.0,,,0.0,18.0,19.0,30.0,35.0,4.0,,,,,67.0,66.0,6.8,8.0,0,1.0,,,1.0,,1.0,,,,,,1.0,,nathantjoeaon,2.0,,,,,,,,,,,,,,,
12476528,home,Swansea City,Jay Fulton,jay-fulton,J. Fulton,M,4,178,58,M,164291,EUR,765417600,M,4,4,False,79.0,73.0,1.0,1.0,0.0,31.0,32.0,42.0,47.0,4.0,,,,,90.0,86.0,7.2,9.0,1,3.0,,,,1.0,3.0,,3.0,2.0,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,
12476528,home,Swansea City,Matt Grimes,matt-grimes,M. Grimes,M,6,178,274,M,340713,EUR,805766400,M,8,8,False,151.0,145.0,8.0,7.0,0.0,53.0,53.0,92.0,100.0,3.0,,,,,90.0,160.0,7.9,10.0,0,2.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,2.0,,,,,True,2.0,2.0,,,,,,,,
12476528,home,Swansea City,Azeem Abdulai,azeem-abdullah,A. Abdulai,M,22,183,82,M,1102362,EUR,1039392000,M,47,47,False,86.0,83.0,1.0,1.0,0.0,10.0,10.0,73.0,82.0,1.0,,,,,90.0,112.0,7.8,16.0,3,5.0,7.0,3.0,1.0,,8.0,1.0,1.0,1.0,2.0,,1.0,,,6.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,
12476528,home,Swansea City,Oliver Cooper,oliver-cooper,O. Cooper,M,31,176,93,M,970396,EUR,945129600,M,31,31,False,37.0,34.0,,,1.0,12.0,12.0,22.0,25.0,,,,,,73.0,45.0,7.3,5.0,1,2.0,,,2.0,1.0,2.0,,,,1.0,,,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,
12476528,home,Swansea City,Ronald,ronald,Ronald,M,35,177,293,M,1123234,EUR,992476800,M,35,35,False,36.0,29.0,1.0,,0.0,5.0,5.0,25.0,35.0,5.0,,,,,72.0,59.0,8.5,16.0,2,12.0,9.0,6.0,3.0,1.0,8.0,,1.0,,1.0,2.0,3.0,,,4.0,2.0,,Ronald,,,1.0,2.0,,,1.0,1.0,1.0,4.0,,
