match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalClearance,stat_wasFouled,stat_outfielderBlock,stat_totalCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_penaltyWon,stat_goalAssist,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_penaltyFaced,stat_penaltyConceded
10382135,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,16.0,14.0,5.0,3.0,12.0,13.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,90.0,24.0,7.6,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382135,home,PSV Eindhoven,Jordan Teze,,,jordan-teze,J. Teze,D,4,183,1080,M,825846,EUR,938649600,D,3,3,False,47.0,40.0,1.0,,19.0,19.0,21.0,28.0,,3.0,5.0,,,,90.0,72.0,7.1,7.0,1,2.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10382135,home,PSV Eindhoven,André Ramalho,,,andre-ramalho,A. Ramalho,D,5,182,5374,M,148155,EUR,698198400,D,5,5,False,80.0,72.0,9.0,5.0,43.0,46.0,29.0,34.0,,1.0,8.0,,,,90.0,90.0,7.1,8.0,0,,,,,,,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,
10382135,home,PSV Eindhoven,Armando Obispo,,,armando-obispo,A. Obispo,D,4,184,450,M,825838,EUR,920592000,D,4,4,False,76.0,66.0,9.0,4.0,38.0,42.0,28.0,34.0,1.0,4.0,3.0,,,,90.0,87.0,7.3,11.0,0,1.0,2.0,1.0,,,,3.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
10382135,home,PSV Eindhoven,Phillipp Mwene,,,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,D,29,29,False,40.0,36.0,1.0,,14.0,14.0,22.0,27.0,1.0,6.0,9.0,,,,85.0,55.0,7.6,6.0,0,2.0,3.0,,,,,,5.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10382135,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3780,M,850816,EUR,911433600,M,23,23,False,55.0,46.0,8.0,4.0,12.0,14.0,35.0,43.0,,2.0,9.0,,,,62.0,70.0,7.2,12.0,2,,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,2.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
10382135,home,PSV Eindhoven,Érick Gutiérrez,,,erick-gutierrez,É. Gutiérrez,M,15,181,915,M,590700,EUR,803174400,M,15,15,False,58.0,49.0,1.0,,18.0,19.0,31.0,39.0,,5.0,10.0,,,,90.0,67.0,7.1,10.0,0,,4.0,1.0,,,,1.0,4.0,2.0,,1.0,,,,1.0,3.0,,,,,,,,,,,,,,
10382135,home,PSV Eindhoven,Anwar El Ghazi,,,anwar-el-ghazi,A. E. Ghazi,M,27,188,868,M,362470,EUR,799459200,M,21,21,False,21.0,15.0,,,6.0,7.0,9.0,23.0,,2.0,4.0,,,,62.0,39.0,7.4,17.0,2,,3.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,9.0,,,,,,1.0,2.0,1.0,,,,,,,,,
10382135,home,PSV Eindhoven,Xavi Simons,,,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,M,7,7,False,25.0,22.0,,,6.0,6.0,16.0,20.0,,4.0,8.0,,,,83.0,45.0,7.6,12.0,0,,5.0,1.0,2.0,,,,3.0,2.0,,1.0,,1.0,1.0,4.0,1.0,2.0,,1.0,,,XaviSimons,1.0,,,,,,,
10382135,home,PSV Eindhoven,Cody Gakpo,,,cody-gakpo,C. Gakpo,M,18,193,51143,M,862967,EUR,926035200,M,11,11,False,25.0,19.0,1.0,,3.0,5.0,20.0,28.0,,6.0,3.0,,,,90.0,60.0,7.9,22.0,3,,9.0,,10.0,5.0,,2.0,1.0,1.0,,,,8.0,,2.0,,5.0,4.0,4.0,2.0,,CodyGakpo,,2.0,1.0,1.0,3.0,,,
