match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_crossNotClaimed,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_lastManTackle,stat_fouls,stat_bigChanceMissed,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,stat_goals,stat_penaltyMiss,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_hitWoodwork
14131910,home,CD Nacional,Lucas França,lucas-franca,L. França,G,37,194,104,M,832672,EUR,822009600,G,37,37,False,26.0,17.0,15.0,6.0,0.0,13.0,13.0,4.0,13.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,90.0,33.0,5.4,10.0,0.00080531,0.0,0,-0.3414,0.02,0.0,-0.47,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,João Aurélio,joao-aurelio,J. Aurélio,D,2,185,24,M,44684,EUR,587779200,D,2,2,False,26.0,19.0,3.0,1.0,0.0,8.0,9.0,11.0,17.0,,,2.0,3.0,,,,,90.0,50.0,7.1,11.0,0.042183,,2,,0.26,0.24,-0.25,,True,2.0,1.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0637,0.0629,-0.1,,,,,,,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,Léo Santos,leo-santos,L. Santos,D,34,186,158,M,822509,EUR,913161600,D,34,34,False,48.0,37.0,7.0,1.0,0.0,26.0,28.0,11.0,20.0,4.0,5.0,1.0,2.0,,,,,88.0,55.0,6.3,12.0,0.00705399,,0,,-0.01,0.05,-0.16,,,,,3.0,5.0,,,1.0,,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,Ze Vitor,ze-vitor,Zé Vitor,D,38,189,125,M,1112474,EUR,981676800,D,38,38,False,58.0,46.0,12.0,7.0,0.0,32.0,36.0,14.0,22.0,1.0,4.0,3.0,5.0,,,,,90.0,75.0,7.5,14.0,0.0223108,,1,,0.2,0.23,0.71,,,1.0,,4.0,8.0,,,2.0,3.0,3.0,,1.0,0.0154,,-0.05,,,,,1.0,,,1.0,2.0,3.0,,,,,,,,,,,,,
14131910,home,CD Nacional,José Gomes,jose-gomes,J. Gomes,D,5,185,33,M,344181,EUR,837820800,D,5,5,False,18.0,13.0,1.0,1.0,0.0,7.0,10.0,6.0,8.0,,2.0,,4.0,,,,,90.0,42.0,5.8,10.0,0.103708,,1,,0.27,0.1,-0.43,,,4.0,2.0,1.0,3.0,1.0,,,,,1.0,1.0,0.548,0.6039,-0.72,,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,
14131910,home,CD Nacional,Matheus Dias,dias-matheus,Matheus Dias,M,6,187,228,M,1020610,EUR,1020902400,M,6,6,False,49.0,44.0,7.0,3.0,0.0,36.0,36.0,8.0,13.0,2.0,4.0,5.0,4.0,,,,,80.0,70.0,6.6,9.0,0.00404901,,0,,0.07,0.05,-0.01,,,,,1.0,6.0,,,3.0,3.0,1.0,4.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
14131910,home,CD Nacional,Pablo,messias-cardozo-pablo-ruan,Pablo,F,99,181,97,M,1579664,EUR,1044057600,M,99,99,False,17.0,13.0,2.0,2.0,0.0,1.0,2.0,12.0,15.0,1.0,4.0,,3.0,,,,,78.0,37.0,7.6,10.0,0.631705,,4,,0.57,0.12,-0.14,,,3.0,1.0,1.0,6.0,2.0,,1.0,1.0,1.0,,,0.1842,0.1781,-0.2,,5.0,4.0,1.0,3.0,,,2.0,,,,2.0,1.0,,,,,,,,,,
14131910,home,CD Nacional,Liziero,liziero,Liziero,M,28,175,757,M,822510,EUR,886809600,M,28,28,False,34.0,30.0,5.0,2.0,0.0,14.0,15.0,16.0,19.0,3.0,5.0,,2.0,,,,,90.0,53.0,6.8,12.0,0.0947452,,2,,0.34,0.11,-0.07,,,4.0,1.0,1.0,4.0,,1.0,,1.0,1.0,,2.0,0.1504,,0.01,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,
14131910,home,CD Nacional,Chiheb Labidi,chiheb-labidi,C. Labidi,M,15,190,432,M,1011997,EUR,991353600,M,15,15,False,16.0,14.0,3.0,1.0,0.0,4.0,4.0,10.0,12.0,5.0,6.0,,2.0,,,,,82.0,34.0,6.4,6.0,0.043184,,2,,-0.02,-0.11,0.13,,,3.0,1.0,1.0,3.0,,1.0,,2.0,1.0,1.0,,0.0556,,-0.11,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,
14131910,home,CD Nacional,Paulinho Bóia,paulinho-boia,Paulinho Bóia,M,11,171,270,M,912781,EUR,898819200,M,11,11,False,22.0,14.0,2.0,2.0,0.0,3.0,3.0,11.0,19.0,1.0,1.0,,1.0,,,,,90.0,39.0,7.0,15.0,0.123748,,1,,0.21,0.21,-0.11,,,5.0,1.0,1.0,7.0,,,,1.0,,1.0,1.0,0.1064,,-0.34,,4.0,4.0,,,,,1.0,,,,,,,,,,,,,,,
14131910,home,CD Nacional,Jesús Ramírez,jesus-ramirez,J. Ramírez,F,9,187,1078,M,987597,EUR,894240000,F,9,9,False,14.0,8.0,1.0,,0.0,3.0,4.0,5.0,10.0,7.0,13.0,1.0,1.0,,,,,90.0,27.0,6.2,11.0,0.0197098,,2,,0.03,0.2,0.22,,,,,3.0,6.0,2.0,,,,,1.0,3.0,1.5768,1.5639,-0.51,2.0,1.0,,3.0,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,
14131910,home,CD Nacional,Witi,witi,Witi,M,7,178,442,M,786269,EUR,841017600,F,7,7,True,6.0,4.0,1.0,,0.0,,,4.0,6.0,1.0,3.0,,1.0,,,,,12.0,9.0,6.3,3.0,0.00319084,,0,,-0.04,0.0,0.13,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
14131910,home,CD Nacional,Ulisses,ulisses,Ulisses,D,4,183,102,M,926869,EUR,938476800,D,4,4,True,9.0,8.0,1.0,,0.0,3.0,3.0,5.0,6.0,,1.0,,1.0,,,,,8.0,12.0,6.4,2.0,0.00097494,,0,,0.0,,-0.18,,,,,1.0,3.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14131910,home,CD Nacional,Filipe Soares,filipe-soares,F. Soares,M,22,180,145,M,851030,EUR,927158400,M,22,22,True,6.0,6.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,,,1.0,,,,,15.0,8.0,6.4,1.0,0.00448514,,0,,0.06,0.01,-0.05,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,Kaique,kaique,Kaique,G,1,190,577,M,1167067,EUR,1050451200,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kaique,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,Alan Núñez,alan-nunez,A. Núñez,D,16,176,155,M,1116982,EUR,1096588800,D,16,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Alan Núñez,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,Joel Silva,joel-silva,J. Silva,M,26,185,56,M,1393991,EUR,1044921600,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Joel Silva,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,André Sousa,andre-sousa,A. Sousa,M,18,181,24,M,167857,EUR,647481600,M,18,18,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,Lucas João,lucas-joao,L. João,F,19,192,449,M,253837,EUR,747100800,F,19,19,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131910,home,CD Nacional,Martim Gustavo Watts,martim-gustavo-watts,M. Gustavo,F,30,184,22,M,1410338,EUR,1121299200,M,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Martim Gustavo,,,,,,,,,,,,,,,,,
14131910,away,FC Arouca,João Valido,joao-valido,J. Valido,G,1,185,54,M,973352,EUR,952041600,G,1,1,False,27.0,15.0,19.0,7.0,0.0,10.0,12.0,5.0,15.0,,,2.0,12.0,,,1.0,5.0,90.0,42.0,8.4,12.0,0.00074365,1.0878,0,1.4088,0.06,0.0,0.21,0.76,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,2.0,2.0,,
