match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalClearance,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_interceptionWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,player_firstName,player_lastName,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock
12437523,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,15.0,13.0,4.0,2.0,0.0,12.0,13.0,1.0,2.0,5.0,1.0,1.0,90.0,20.0,7.0,2.0,0.00042471,0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437523,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,D,8,8,False,71.0,66.0,7.0,5.0,0.0,22.0,23.0,45.0,51.0,5.0,,,90.0,93.0,8.8,10.0,0.0697699,7,,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,0.2814,0.3905,2.0,,,,,,,,,,,,,,,,,,,,,
12437523,home,Real Madrid,Raúl Asencio,raul-asencio,R. Asencio,D,17,184,117937,M,asencio,1156645,EUR,1045094400,D,35,35,False,67.0,67.0,2.0,2.0,0.0,36.0,36.0,31.0,31.0,5.0,,,83.0,76.0,7.0,2.0,0.0182812,0,,,,,2.0,,,,,3.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12437523,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,False,80.0,76.0,3.0,2.0,0.0,37.0,40.0,39.0,40.0,3.0,,,90.0,89.0,7.5,4.0,0.0669907,0,,,,2.0,4.0,,,,,4.0,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,
12437523,home,Real Madrid,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,6,182,191301,M,Tacklevinga,973887,EUR,1036886400,D,6,6,False,58.0,54.0,3.0,2.0,0.0,15.0,15.0,39.0,44.0,5.0,,,90.0,81.0,7.1,12.0,0.0372038,1,,1.0,,2.0,6.0,,1.0,,,,1.0,0.1555,0.0867,,,6.0,1.0,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,
12437523,home,Real Madrid,Luka Modrić,luka-modric,L. Modrić,M,14,173,354764,M,LModric10,15466,EUR,495072000,M,10,10,False,84.0,77.0,12.0,8.0,0.0,26.0,27.0,54.0,65.0,2.0,,,78.0,102.0,8.2,16.0,0.554732,1,,8.0,3.0,,2.0,,,1.0,,,4.0,0.035,,5.0,,1.0,2.0,2.0,,1.0,1.0,,,,,True,1.0,,,,,,,,
12437523,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,84.0,76.0,7.0,5.0,0.0,38.0,42.0,38.0,42.0,7.0,,,90.0,102.0,7.8,10.0,0.0894708,0,,,,6.0,12.0,,,,,2.0,1.0,,,,3.0,5.0,4.0,2.0,2.0,1.0,4.0,,,1.0,,,,,,,,,,,
12437523,home,Real Madrid,Dani Ceballos,dani-ceballos,D. Ceballos,M,19,179,67396,M,Danifuli10,547838,EUR,839376000,M,19,19,False,69.0,63.0,4.0,2.0,0.0,29.0,31.0,34.0,38.0,3.0,,,58.0,76.0,6.9,6.0,0.0266059,1,,,,,,,,1.0,,1.0,,0.0472,,1.0,,,,,,,,,,,,,,,,,,,,,
12437523,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,32.0,28.0,1.0,1.0,0.0,9.0,9.0,19.0,25.0,3.0,,,90.0,53.0,5.7,13.0,0.0401291,5,,2.0,,2.0,3.0,2.0,1.0,2.0,,,2.0,0.8048,0.1326,1.0,4.0,12.0,,,1.0,2.0,,1.0,3.0,2.0,,,,3.0,,,,,,,
12437523,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,699716,M,Rodrygo,910536,EUR,978998400,F,11,11,False,37.0,34.0,1.0,1.0,0.0,8.0,8.0,26.0,33.0,4.0,,,78.0,58.0,6.9,13.0,0.0305687,2,,4.0,,,4.0,1.0,1.0,,,,1.0,0.0586,0.0319,1.0,,7.0,,,2.0,,,2.0,1.0,6.0,2.0,,,,,,,,,,
