match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_wasFouled,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
12764331,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1388,M,40244,EUR,644284800,G,1,1,False,True,29.0,21.0,11.0,3.0,0.0,19.0,23.0,2.0,6.0,6.0,1.0,90.0,32.0,6.7,8.0,0.00037564,0,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764331,home,TSG Hoffenheim,Kevin Akpoguma,kevin-akpoguma,K. Akpoguma,D,25,192,334,M,187423,EUR,798249600,D,25,25,False,,54.0,49.0,4.0,3.0,0.0,27.0,28.0,22.0,26.0,2.0,,74.0,71.0,7.1,8.0,0.00857312,0,,2.0,1.0,6.0,6.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12764331,home,TSG Hoffenheim,Anton Stach,anton-stach,A. Stach,M,18,192,1471,M,889861,EUR,911088000,D,16,16,False,,60.0,55.0,6.0,3.0,0.0,42.0,44.0,13.0,16.0,4.0,,90.0,70.0,7.3,5.0,0.012996,1,,1.0,,1.0,1.0,,,5.0,1.0,1.0,,,,,,1.0,1.0,2.0,0.0664,,,,,,,,,,,,,,,
12764331,home,TSG Hoffenheim,Stanley N'Soki,stanley-nsoki,S. N'Soki,D,34,184,416,M,904991,EUR,923616000,D,34,34,False,,55.0,49.0,4.0,2.0,0.0,30.0,32.0,19.0,23.0,5.0,,90.0,63.0,7.1,6.0,0.0173258,0,,,,1.0,,1.0,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
12764331,home,TSG Hoffenheim,Valentin Gendrey,valentin-gendrey,V. Gendrey,D,15,179,294,M,944899,EUR,961545600,M,15,15,False,,16.0,12.0,,,1.0,3.0,4.0,10.0,14.0,4.0,,56.0,36.0,7.0,10.0,0.191866,0,,,4.0,4.0,5.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
12764331,home,TSG Hoffenheim,Tom Bischof,tom-bischof,T. Bischof,M,20,176,6361,M,1129935,EUR,1119916800,M,7,7,False,,48.0,42.0,2.0,2.0,0.0,21.0,23.0,23.0,29.0,5.0,,90.0,71.0,7.6,12.0,0.298892,4,,,,5.0,1.0,,1.0,5.0,1.0,1.0,1.0,2.0,3.0,,,1.0,,1.0,0.1123,4.0,2.0,1.0,,2.0,2.0,1.0,0.0733,,,,,,,
12764331,home,TSG Hoffenheim,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187,756,M,186719,EUR,807753600,M,11,11,False,,41.0,37.0,7.0,6.0,0.0,11.0,12.0,26.0,30.0,5.0,,56.0,50.0,7.1,8.0,0.0985845,0,,,1.0,3.0,4.0,1.0,1.0,,2.0,,1.0,1.0,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
12764331,home,TSG Hoffenheim,Alexander Prass,alexander-prass,A. Prass,M,22,180,662,M,978062,EUR,990835200,M,22,22,False,,41.0,32.0,6.0,2.0,0.0,16.0,20.0,16.0,23.0,2.0,,90.0,65.0,6.8,14.0,0.17213,1,,1.0,1.0,5.0,5.0,,3.0,,2.0,2.0,1.0,2.0,1.0,,,1.0,,,0.0402,2.0,,,,1.0,,,,2.0,,,,,,
12764331,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7585,M,67647,EUR,677289600,F,27,27,False,,34.0,31.0,2.0,2.0,1.0,9.0,11.0,22.0,24.0,6.0,,74.0,41.0,6.9,6.0,0.0315021,2,,,,5.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,0.2676,1.0,,,1.0,1.0,1.0,1.0,0.0333,,andrejkramaric,1.0,1.0,,,
12764331,home,TSG Hoffenheim,Adam Hložek,adam-hlozek,A. Hložek,F,23,186,3083,M,963801,EUR,1027555200,F,23,23,False,,23.0,18.0,,,0.0,1.0,2.0,17.0,24.0,1.0,,90.0,39.0,8.8,10.0,0.0384929,4,,1.0,1.0,3.0,4.0,1.0,4.0,,,,1.0,,2.0,,,1.0,,,0.6002,3.0,,,,,1.0,2.0,1.073,3.0,ahlozek,,,2.0,,
