match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_keyPass,stat_bigChanceCreated,stat_shotOffTarget,stat_aerialLost,stat_totalCross,stat_accurateCross,stat_goalAssist,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_totalOffside
11409080,home,Benfica,Anatoliy Trubin,anatoliy-trubin,A. Trubin,G,1,200,9533,M,anatoliytrubin81,966616,EUR,996624000,G,1,1,False,10.0,7.0,4.0,1.0,7.0,9.0,1.0,6.0,1.0,1.0,1.0,3.0,4.0,90.0,20.0,7.1,4.0,2.338e-05,0,2.1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409080,home,Benfica,Fredrik Aursnes,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,,228364,EUR,818553600,D,8,8,False,66.0,58.0,4.0,1.0,22.0,24.0,42.0,3.0,,1.0,,,,86.0,85.0,7.3,11.0,0.046578,0,,36.0,4.0,5.0,1.0,1.0,1.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409080,home,Benfica,António Silva,antonio-silva,A. Silva,D,4,187,8155,M,antoniosilva.66,1006069,EUR,1067472000,D,4,4,False,75.0,72.0,4.0,1.0,50.0,52.0,23.0,9.0,,,,,,90.0,85.0,7.7,3.0,0.006399,1,,22.0,1.0,5.0,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1022,0.2711,,,,,,,,,,,,,,,
11409080,home,Benfica,Nicolás Otamendi,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,Notamendi30,74915,EUR,571622400,D,30,30,False,70.0,59.0,10.0,6.0,31.0,36.0,34.0,6.0,,1.0,,,,90.0,79.0,7.1,13.0,0.0372374,0,,28.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,,,,3.0,,1.0,,,,1.0,,,,True,1.0,,,,,,,,,,,,,
11409080,home,Benfica,Morato,morato,F. Morato,D,4,190,2248,M,,985086,EUR,993859200,D,5,5,False,51.0,39.0,3.0,2.0,16.0,18.0,33.0,4.0,,,,,,90.0,79.0,6.9,15.0,0.0416994,1,,23.0,4.0,5.0,,2.0,2.0,2.0,1.0,,,,1.0,2.0,,,,,1.0,2.0,0.0738,,,1.0,1.0,1.0,,,,,,,,,,,
11409080,home,Benfica,João Neves,joao-neves,J. Neves,M,87,174,37142,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,100.0,91.0,7.0,6.0,38.0,40.0,60.0,6.0,,2.0,,,,89.0,114.0,7.6,11.0,0.360698,0,,53.0,3.0,4.0,,,1.0,,,2.0,,,3.0,1.0,,,,1.0,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,
11409080,home,Benfica,Orkun Kökçü,orkun-kokcu,O. Kökçü,M,10,175,12817,M,orkunkokcu,907461,EUR,978048000,M,10,10,False,51.0,46.0,4.0,4.0,19.0,21.0,32.0,6.0,,,,,,63.0,60.0,6.9,6.0,0.167053,0,,28.0,4.0,3.0,,,,2.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,2.0,,,1.0,2.0,1.0,,,,,,,,
11409080,home,Benfica,Ángel Di María,angel-di-maria,Á. Di María,F,11,180,84815,M,ÁDiMaría,30027,EUR,571795200,M,11,11,False,28.0,21.0,3.0,1.0,6.0,9.0,25.0,1.0,,3.0,,,,63.0,47.0,7.0,20.0,0.0362903,2,,15.0,6.0,,3.0,1.0,,,,,,,,,,2.0,1.0,,,,0.3796,1.0536,,,,,2.0,6.0,,,,,,,,,
11409080,home,Benfica,Rafa Silva,rafa-silva,R. Silva,M,27,170,16782,M,Rafa_Silva,252577,EUR,737596800,M,27,27,False,42.0,32.0,3.0,1.0,4.0,6.0,37.0,5.0,,2.0,,,,90.0,60.0,7.4,20.0,0.719128,2,,28.0,6.0,3.0,5.0,1.0,,1.0,,,,,,,,1.0,,,,2.0,0.1467,0.1985,,3.0,2.0,,,1.0,,2.0,1.0,,,,,,
11409080,home,Benfica,João Mário,joao-mario,J. Mário,M,10,179,3804,M,JoaoMario,97001,EUR,727401600,M,20,20,False,46.0,44.0,,,6.0,6.0,43.0,2.0,,1.0,,,,90.0,62.0,8.0,7.0,0.144147,2,,38.0,4.0,2.0,,1.0,,1.0,1.0,3.0,,,,1.0,1.0,2.0,1.0,,1.0,,0.8157,0.9647,,1.0,,,,3.0,,,,,,,,,
