match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_totalContest,stat_wonContest,captain,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine
10407350,home,KV Mechelen,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187,160,M,794989,EUR,910051200,G,1,1,False,27.0,18.0,16.0,8.0,14.0,17.0,4.0,10.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,35.0,6.1,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Sandy Walsh,sandy-walsh,S. Walsh,D,14,185,7746,M,163199,EUR,795139200,D,5,5,False,20.0,10.0,6.0,1.0,3.0,6.0,7.0,17.0,1.0,2.0,4.0,,,,,90.0,44.0,6.2,16.0,0,,,sandywalsh,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,David Bates,david-bates,D. Bates,D,4,193,95,M,839675,EUR,844473600,D,27,27,False,34.0,27.0,5.0,3.0,22.0,27.0,5.0,7.0,4.0,9.0,2.0,,,,,90.0,48.0,7.1,8.0,0,,,,,,2.0,4.0,4.0,,1.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Dimitri Lavalėe,dimitri-lavalee,D. Lavalėe,D,24,187,148,M,857458,EUR,853113600,D,14,14,False,51.0,37.0,11.0,5.0,28.0,32.0,9.0,19.0,6.0,14.0,6.0,,,,,90.0,67.0,7.2,14.0,0,,,,,1.0,4.0,6.0,6.0,,2.0,,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10407350,home,KV Mechelen,Alec Van Hoorenbeeck,alec-van-hoorenbeeck,A. V. Hoorenbeeck,D,18,187,120,M,974203,EUR,914976000,D,18,18,False,30.0,19.0,2.0,,8.0,12.0,11.0,19.0,4.0,7.0,1.0,,,,,69.0,49.0,6.8,15.0,0,,,,1.0,1.0,1.0,2.0,3.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Rob Schoofs,rob-schoofs,R. Schoofs,M,17,179,194,M,133164,EUR,764380800,M,16,16,False,49.0,36.0,13.0,5.0,15.0,19.0,21.0,32.0,1.0,4.0,14.0,,,,,90.0,66.0,6.4,24.0,0,,,,2.0,,3.0,2.0,1.0,6.0,1.0,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,True,,,,,,,,,,,,
10407350,home,KV Mechelen,Birger Verstraete,birger-verstraete,B. Verstraete,M,4,171,119,M,192268,EUR,766454400,M,66,66,False,28.0,24.0,1.0,,17.0,18.0,7.0,10.0,2.0,5.0,5.0,,,,,90.0,35.0,6.5,4.0,0,,,,,1.0,5.0,,2.0,,2.0,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,M,7,7,False,39.0,26.0,4.0,1.0,10.0,13.0,19.0,34.0,1.0,5.0,5.0,,,,,69.0,69.0,6.8,24.0,2,,,,8.0,1.0,6.0,,4.0,3.0,,2.0,3.0,,,2.0,,2.0,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,
10407350,home,KV Mechelen,Alessio Da Cruz,alessio-da-cruz,A. D. Cruz,F,77,184,273,M,780206,EUR,853545600,M,22,22,False,32.0,30.0,3.0,3.0,9.0,9.0,21.0,25.0,,3.0,2.0,,,,,86.0,46.0,7.3,8.0,3,,,,2.0,1.0,4.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,1.0,,,,,1.0,,3.0,,1.0,,,,,
10407350,home,KV Mechelen,Nikola Storm,nikola-storm,N. Storm,F,26,178,277,M,149796,EUR,780883200,M,11,11,False,23.0,13.0,1.0,,2.0,3.0,11.0,23.0,,4.0,7.0,,,,,77.0,45.0,8.2,20.0,4,,,,3.0,,4.0,,,3.0,,3.0,,,,,2.0,1.0,5.0,2.0,,1.0,,,,2.0,,1.0,2.0,1.0,1.0,,
