match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_totalContest,player_sofascoreId,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_wonContest,stat_wasFouled,stat_onTargetScoringAttempt,captain,stat_goals,player_firstName,player_lastName,stat_totalOffside,stat_clearanceOffLine,stat_bigChanceMissed,stat_expectedGoalsOnTarget,stat_lastManTackle,stat_errorLeadToAGoal
12117145,home,Atlético Mineiro,Matheus Mendes,matheus-mendes,M. Mendes,G,31,193,413,M,1018555,EUR,921024000,G,31,31,False,26.0,23.0,3.0,0.0,23.0,25.0,1.0,1.0,1.0,4.0,1.0,1.0,90.0,32.0,6.9,3.0,3.236e-05,0,0.4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117145,home,Atlético Mineiro,Bruno Fuchs,bruno-fuchs,B. Fuchs,D,3,190,3790,M,973737,EUR,922924800,D,3,3,False,73.0,68.0,8.0,0.0,35.0,38.0,36.0,,3.0,4.0,,,90.0,83.0,7.7,6.0,0.0223776,1,,3.0,33.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0277,1.0,,,,,,,,,,,,,,,,,,,,,,
12117145,home,Atlético Mineiro,Rodrigo Battaglia,rodrigo-battaglia,R. Battaglia,D,5,187,1317,M,158257,EUR,679276800,D,21,21,False,65.0,62.0,6.0,0.0,44.0,44.0,21.0,2.0,3.0,4.0,,,90.0,78.0,7.2,5.0,0.0101841,0,,3.0,18.0,,3.0,4.0,,6.0,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
12117145,home,Atlético Mineiro,Junior Alonso,junior-alonso,J. Alonso,D,6,185,1792,M,333275,EUR,729216000,D,8,8,False,51.0,38.0,8.0,0.0,20.0,24.0,28.0,2.0,5.0,3.0,,,90.0,63.0,6.3,17.0,0.0117699,0,,2.0,18.0,1.0,4.0,10.0,,1.0,,,3.0,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12117145,home,Atlético Mineiro,Gustavo Scarpa,gustavo-scarpa,G. Scarpa,M,10,177,5525,M,559036,EUR,757728000,M,6,6,False,40.0,32.0,7.0,1.0,17.0,20.0,28.0,,2.0,8.0,,,86.0,67.0,7.2,17.0,0.557481,3,,4.0,17.0,8.0,,4.0,1.0,,,,2.0,1.0,0.0862,1.0,,,1.0,1.0,gustavoscarpa10,2.0,2.0,1.0,2.0,,,,,,,,,,,,,
12117145,home,Atlético Mineiro,Fausto Vera,fausto-vera,F. Vera,M,8,181,1966,M,930690,EUR,954028800,M,18,18,False,70.0,53.0,6.0,0.0,29.0,34.0,36.0,2.0,5.0,4.0,,,89.0,84.0,7.0,20.0,0.0201822,2,,1.0,24.0,,,3.0,1.0,2.0,1.0,,2.0,2.0,0.0424,,2.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,
12117145,home,Atlético Mineiro,Otávio,otavio,Otávio,M,94,173,1027,M,552686,EUR,768009600,M,5,5,False,49.0,44.0,4.0,0.0,21.0,23.0,27.0,3.0,12.0,6.0,,,90.0,68.0,7.3,6.0,0.0303288,1,,1.0,23.0,1.0,3.0,5.0,,2.0,,2.0,6.0,2.0,0.0055,,,1.0,1.0,2.0,,,,,1.0,2.0,1.0,,,,,,,,,,,
12117145,home,Atlético Mineiro,Paulinho,paulinho,Paulinho,F,10,175,11050,M,885179,EUR,963619200,M,10,10,False,39.0,37.0,5.0,0.0,11.0,13.0,26.0,,6.0,9.0,,,86.0,63.0,7.3,9.0,0.129195,1,,3.0,26.0,,,5.0,1.0,,,2.0,3.0,2.0,0.0361,1.0,2.0,,,3.0,paulinho10,,3.0,,,1.0,2.0,,,,,,,,,,,
12117145,home,Atlético Mineiro,Bernard,bernard,Bernard,M,11,164,2389,M,241488,EUR,715910400,F,20,20,False,37.0,32.0,,0.0,6.0,8.0,30.0,,1.0,3.0,,,67.0,50.0,6.7,12.0,0.234079,1,,,27.0,1.0,,9.0,,1.0,,,,,0.1249,3.0,2.0,3.0,1.0,4.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,
12117145,home,Atlético Mineiro,Alan Franco,alan-franco,A. Franco,M,21,174,3281,M,822729,EUR,903657600,F,23,23,False,24.0,19.0,1.0,0.0,11.0,11.0,13.0,1.0,3.0,10.0,,,90.0,38.0,6.8,9.0,0.00573876,2,,1.0,8.0,,,5.0,,,,1.0,2.0,1.0,0.567,,1.0,1.0,1.0,3.0,,,,,1.0,,,1.0,,,,,,,,,,
