match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_bigChanceCreated,stat_shotOffTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_totalContest,stat_wonContest,stat_bigChanceMissed,captain,stat_errorLeadToAShot,stat_goodHighClaim,stat_outfielderBlock,stat_totalOffside,stat_hitWoodwork
14288990,home,Vitória SC,Charles,charles,Charles,G,27,186,124,M,155985,EUR,760320000,G,27,27,False,20.0,16.0,7.0,3.0,0.0,13.0,14.0,3.0,6.0,1.0,1.0,8.0,1.0,2.0,3.0,1.0,90.0,28.0,7.0,4.0,0.00065225,26.921430856381,5.0,15.029901842029,0.0,0.5581,0,0.695,0.03,0.01,-0.06,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288990,home,Vitória SC,Tony Strata,strata-tony,T. Strata,D,66,177,283,M,1488511,EUR,1094515200,D,66,66,False,35.0,32.0,,,0.0,13.0,13.0,19.0,22.0,8.0,,5.0,5.0,,,,74.0,60.0,7.0,10.0,0.333186,80.566282821571,14.0,32.16647204994,0.0,,0,,0.45,0.07,-0.17,,5.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
14288990,home,Vitória SC,Thiago Balieiro,thiago-balieiro,T. Balieiro,D,28,190,100,M,1148442,EUR,1045958400,D,28,28,False,50.0,45.0,3.0,,0.0,33.0,33.0,12.0,17.0,7.0,3.0,5.0,,,,,90.0,63.0,8.1,6.0,0.00443718,173.95923876172,20.0,95.222583550389,0.0,,3,,0.14,0.09,-0.16,,,,3.0,1.0,,1.0,4.0,2.0,1.0,,,,,2.0,3.0,2.0,1.0,1.0,0.2173,1.2973,0.68,,,,,,,,,,,,,
14288990,home,Vitória SC,Rodrigo Abascal,rodrigo-abascal,R. Abascal,D,26,190,157,M,846416,EUR,758505600,D,26,26,False,9.0,8.0,1.0,,0.0,8.0,9.0,,,1.0,,,,,,,16.0,12.0,6.2,1.0,9.881e-05,8.3741890032767,2.0,4.4118550716659,0.0,,0,,0.0,0.0,-0.2,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14288990,home,Vitória SC,João Mendes,joao-mendes,J. Mendes,D,13,179,180,M,1133568,EUR,955584000,D,13,13,False,45.0,33.0,4.0,,1.0,13.0,15.0,20.0,30.0,7.0,,4.0,1.0,,,,90.0,81.0,7.5,24.0,0.101027,165.30155124296,17.0,101.52194612869,4.0,,3,,0.26,0.3,-0.17,,9.0,3.0,2.0,1.0,,4.0,6.0,5.0,3.0,,2.0,,,1.0,,,2.0,,0.0561,,-0.17,1.0,1.0,19.617730916669,80.545149085532,,,,,,,,,
14288990,home,Vitória SC,Beni Mukendi,beni-mukendi,B. Mukendi,M,16,180,647,M,1002367,EUR,1021939200,M,16,16,False,50.0,48.0,2.0,2.0,0.0,16.0,18.0,32.0,32.0,5.0,2.0,6.0,2.0,,,,90.0,61.0,7.2,3.0,0.0333235,122.73932925674,18.0,14.57710191925,0.0,,0,,0.36,0.12,-0.02,,,,3.0,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,
14288990,home,Vitória SC,Diogo Sousa,diogo-lobao,D. Lobao,M,23,176,116,M,1434543,EUR,1137715200,M,23,23,False,62.0,50.0,6.0,5.0,0.0,16.0,20.0,34.0,42.0,3.0,,4.0,1.0,,,,90.0,81.0,8.1,19.0,0.310031,148.97508963641,18.0,42.426720603731,0.0,,1,,0.34,0.22,-0.09,,2.0,,6.0,,3.0,2.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,,1.0,0.2933,0.8992,0.53,,,,,,,,,,,,,
14288990,home,Vitória SC,Gustavo Silva,gustavo-silva,G. Silva,F,11,180,414,M,1468082,EUR,928195200,M,11,11,False,15.0,11.0,,,0.0,4.0,4.0,7.0,11.0,2.0,2.0,3.0,,,,,45.0,30.0,6.2,11.0,0.00785898,43.305225085647,4.0,12.518455895922,0.0,,2,,-0.04,0.06,0.18,,1.0,,3.0,1.0,2.0,,2.0,2.0,4.0,,,,,,,,,,0.3292,,-0.35,,2.0,,,,,1.0,,,,,,
14288990,home,Vitória SC,Samu,samu,Samu,M,20,170,224,M,785808,EUR,830044800,M,20,20,False,33.0,22.0,,,0.0,6.0,7.0,16.0,26.0,3.0,,5.0,2.0,,,,90.0,59.0,6.1,19.0,0.0542291,107.97907465704,12.0,13.587113956336,1.0,,3,,-0.04,0.14,-0.2,,8.0,2.0,8.0,3.0,1.0,2.0,1.0,,1.0,2.0,3.0,,,2.0,,1.0,1.0,,0.1765,0.0441,-0.32,,1.0,12.211059801473,12.565782466683,,,,True,,,,,
14288990,home,Vitória SC,Noah Saviolo,noah-saviolo,N. Saviolo,F,48,181,173,M,1153328,EUR,1078617600,M,48,48,False,16.0,15.0,,,0.0,3.0,3.0,12.0,13.0,5.0,,2.0,3.0,,,,89.0,37.0,6.9,12.0,0.0298911,171.72282523986,16.0,86.14211695066,2.0,,3,,0.1,0.09,-0.06,,1.0,,4.0,,1.0,,,,6.0,,,Noah Saviolo,,,1.0,2.0,1.0,,0.2241,0.7226,0.11,,,26.632147552901,62.869700183775,4.0,1.0,,,,,,,
