match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_fouls,stat_wasFouled,stat_accurateCross,stat_totalOffside,stat_bigChanceCreated,player_sofascoreId,stat_blockedScoringAttempt,captain,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_errorLeadToAShot
13472903,home,Internacional,Anthoni,Anthoni,,anthoni,Anthoni,G,12,191,615,M,1106134,EUR,1011744000,G,24,24,False,26.0,18.0,17.0,9.0,0.0,11.0,13.0,7.0,13.0,1.0,9.0,2.0,2.0,90.0,35.0,5.9,8.0,0.00184281,0,-0.6058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472903,home,Internacional,Alan Benítez,,,alan-benitez,A. Benítez,D,23,177,440,M,312824,EUR,759456000,D,23,23,False,53.0,43.0,7.0,3.0,0.0,22.0,23.0,21.0,30.0,3.0,4.0,,,90.0,76.0,6.4,17.0,0.0222167,1,,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.336,0.3019,1.0,,,,,,,,,,,,,,,,,,,,
13472903,home,Internacional,Clayton Sampaio,,,clayton,C. Sampaio,D,20,187,354,M,1394242,EUR,954806400,D,20,20,False,63.0,53.0,8.0,3.0,0.0,37.0,41.0,16.0,22.0,6.0,5.0,,,90.0,78.0,6.6,13.0,0.00879463,1,,,2.0,4.0,2.0,,2.0,,,,,,,1.0,0.0563,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13472903,home,Internacional,Victor Gabriel,Victor,Gabriel,victor-gabriel,V. Gabriel,D,41,185,831,M,1106487,EUR,1083110400,D,41,41,False,64.0,57.0,4.0,1.0,0.0,47.0,51.0,10.0,13.0,5.0,9.0,,,90.0,76.0,6.9,7.0,0.00539304,0,,,1.0,3.0,6.0,,,,,,,3.0,1.0,,,,1.0,3.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,
13472903,home,Internacional,Braian Aguirre,Brian Aguirre,,braian-aguirre,B. Aguirre,D,35,174,797,M,1084963,EUR,964742400,D,35,35,False,38.0,30.0,3.0,3.0,0.0,19.0,22.0,11.0,16.0,,4.0,,,63.0,60.0,6.4,15.0,0.0112406,1,,3.0,1.0,4.0,,1.0,,1.0,,,,,,2.0,0.0157,,1.0,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,
13472903,home,Internacional,Richard,,,richard-candido,Richard,M,36,191,349,M,897617,EUR,761529600,M,36,36,False,35.0,32.0,3.0,3.0,0.0,24.0,26.0,8.0,9.0,1.0,1.0,,,74.0,49.0,6.6,6.0,0.00558521,0,,,1.0,3.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,
13472903,home,Internacional,Bruno Henrique,,,bruno-henrique,B. Henrique,M,8,180,899,M,345113,EUR,624931200,M,8,8,False,33.0,28.0,5.0,4.0,0.0,12.0,13.0,16.0,20.0,,3.0,,,63.0,42.0,6.9,8.0,0.0267354,0,,1.0,,4.0,2.0,3.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,
13472903,home,Internacional,Vitinho,,,vitinho,Vitinho,M,28,181,1064,M,982405,EUR,922924800,M,28,28,False,20.0,15.0,2.0,2.0,0.0,8.0,10.0,7.0,10.0,1.0,2.0,,,74.0,44.0,6.5,19.0,0.0537756,0,,9.0,1.0,6.0,7.0,1.0,,2.0,,,,2.0,,4.0,,,1.0,1.0,,,,,2.0,4.0,1.0,1.0,,,,,,,,,,,
13472903,home,Internacional,Gustavo Prado,,,gustavo-prado,G. Prado,M,47,179,743,M,1485220,EUR,1118016000,M,47,47,False,27.0,25.0,3.0,2.0,0.0,16.0,16.0,9.0,11.0,1.0,5.0,,,90.0,46.0,7.5,10.0,0.104578,3,,3.0,2.0,6.0,2.0,,1.0,4.0,1.0,,2.0,1.0,1.0,1.0,0.0377,0.0945,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,
13472903,home,Internacional,Enner Valencia,,,enner-valencia,E. Valencia,F,10,177,9801,M,106456,EUR,626140800,F,13,13,False,15.0,13.0,,,0.0,5.0,6.0,8.0,9.0,,,,,63.0,21.0,6.3,5.0,0.00763816,1,,,2.0,6.0,1.0,,2.0,1.0,,,,1.0,,,0.0206,,,,,,,,2.0,,,,,ennervalencia,1.0,,,,,,,,
