match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialWon,stat_unsuccessfulTouch,stat_dispossessed,captain,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_wasFouled,stat_shotOffTarget,stat_aerialLost,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_errorLeadToAShot
10382073,home,SC Cambuur,Roberts Uldriķis,,,roberts-uldrikis,R. Uldriķis,F,198,415,M,883327,EUR,891561600,F,28,28,False,9.0,6.0,1.0,1.0,3.0,3.0,3.0,6.0,5.0,2.0,2.0,2.0,1.0,,,,63.0,23.0,7.6,5.0,3,28,,,3.0,,,2.0,2.0,2.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,
10382073,home,SC Cambuur,Marco Tol,,,marco-tol,M. Tol,D,188,40,M,860162,EUR,893462400,D,15,15,True,33.0,26.0,7.0,1.0,21.0,23.0,5.0,10.0,3.0,,,3.0,5.0,,,,73.0,44.0,7.3,7.0,1,3,,,1.0,,2.0,3.0,1.0,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,
10382073,home,SC Cambuur,Silvester van der Water,Silvester,van der Water,silvester-van-der-water,S. v. d. Water,M,184,93,M,807145,EUR,844041600,F,11,11,True,11.0,10.0,2.0,1.0,1.0,1.0,10.0,13.0,2.0,1.0,1.0,,,,,,27.0,19.0,7.2,4.0,2,,3.0,1.0,1.0,,,1.0,1.0,,2.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,
10382073,home,SC Cambuur,Milan Smit,Milan Smit,,milan-smit,M. Smit,F,191,546,M,1199214,EUR,1045094400,F,39,39,True,3.0,3.0,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,27.0,8.0,7.4,2.0,2,49,,,3.0,,,,,,,1.0,,1.0,,,,,,,1.0,,2.0,1.0,,1.0,,,,,
10382073,home,SC Cambuur,Remco Balk,,,remco-balk,R. Balk,F,176,183,M,1023004,EUR,983491200,F,30,30,True,4.0,4.0,,,,,4.0,4.0,2.0,,,,,,,,14.0,11.0,6.4,2.0,0,7,,,3.0,2.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,
10382073,home,SC Cambuur,Michael Breij,,,michael-breij,M. Breij,M,181,83,M,915171,EUR,853286400,M,14,14,True,11.0,11.0,,,5.0,5.0,7.0,8.0,1.0,2.0,1.0,,2.0,,,,13.0,16.0,6.7,3.0,0,14,2.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Bret Minnema,,,bret-minnema,B. Minnema,G,192,13,M,981601,EUR,1010275200,G,31,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Sekou Sylla,,,sekou-sylla,S. Sylla,D,180,1147,M,948720,EUR,915840000,D,27,27,True,,,,,,,,,,,,,,,,,,,,,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Leon Bergsma,,,leon-bergsma,L. Bergsma,D,185,33,M,795134,EUR,854150400,D,4,4,True,,,,,,,,,,,,,,,,,,,,,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Sai Van Wermeskerken,,,wermeskerken-sai-van,S. V. Wermeskerken,D,178,82,M,795221,EUR,772761600,D,24,24,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Daniel van Kaam,,,daniel-van-kaam,D. v. Kaam,M,175,86,M,876257,EUR,961718400,M,21,21,True,,,,,,,,,,,,,,,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Mimoun Mahi,Mimoun,Mahi,mimoun-mahi,M. Mahi,F,181,195,M,252253,EUR,763516800,F,25,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Björn Johnsen,,,bjorn-johnsen,B. Johnsen,F,195,238,M,258739,EUR,689385600,F,9,9,True,,,,,,,,,,,,,,,,,,,,,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Etienne Vaessen,,,etienne-vaessen,E. Vaessen,G,187,465,M,809408,EUR,806716800,G,1,1,False,31.0,21.0,18.0,8.0,17.0,19.0,4.0,12.0,1.0,,,1.0,12.0,5.0,5.0,1.0,90.0,49.0,6.6,12.0,0,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,
10382073,away,RKC Waalwijk,Julian Lelieveld,,,julian-lelieveld,J. Lelieveld,D,184,104,M,798179,EUR,880329600,D,2,2,False,26.0,20.0,4.0,2.0,10.0,13.0,10.0,14.0,1.0,,,2.0,5.0,,,,52.0,36.0,6.3,9.0,0,2,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,
10382073,away,RKC Waalwijk,Jurien Gaari,,,jurien-gaari,J. Gaari,D,181,58,M,884944,EUR,756604800,D,23,23,False,39.0,35.0,5.0,4.0,23.0,25.0,12.0,14.0,4.0,2.0,1.0,5.0,5.0,,,,90.0,56.0,5.6,7.0,1,3,,,4.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0
10382073,away,RKC Waalwijk,Shawn Adewoye,,,shawn-adewoye,S. Adewoye,D,183,156,M,989586,EUR,962236800,D,4,4,False,8.0,5.0,,,4.0,7.0,1.0,1.0,3.0,,,2.0,,,,,52.0,15.0,6.5,3.0,0,4,,,1.0,1.0,2.0,1.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Dario Van Den Buijs,,,dario-van-den-buijs,D. V. D. Buijs,D,188,65,M,783468,EUR,810864000,D,24,24,False,48.0,34.0,3.0,1.0,22.0,26.0,13.0,23.0,8.0,,,2.0,6.0,,,,90.0,65.0,6.6,14.0,1,33,1.0,1.0,2.0,,1.0,4.0,3.0,,,4.0,,,,,,,,,2.0,1.0,,,,,,,,,
10382073,away,RKC Waalwijk,Thierry Lutonda,,,thierry-lutonda,T. Lutonda,D,167,113,M,867246,EUR,972604800,D,5,5,False,18.0,14.0,1.0,,9.0,11.0,5.0,9.0,10.0,9.0,3.0,2.0,4.0,,,,90.0,59.0,5.5,18.0,1,5,2.0,,14.0,2.0,,5.0,3.0,,1.0,,,4.0,,,,,2.0,,2.0,1.0,,,,,,,,,
10382073,away,RKC Waalwijk,Vurnon Anita,,,vurnon-anita,V. Anita,M,166,66,M,15007,EUR,607651200,M,6,6,False,48.0,41.0,8.0,5.0,18.0,20.0,23.0,28.0,3.0,2.0,1.0,1.0,8.0,,,,90.0,59.0,6.8,9.0,0,,,,2.0,,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Yassin Oukili,,,oukili-yassin,Y. Oukili,M,195,495,M,1010846,EUR,978480000,M,33,33,False,29.0,23.0,1.0,1.0,11.0,14.0,12.0,15.0,8.0,2.0,1.0,2.0,6.0,,,,90.0,45.0,6.3,9.0,3,5,,,5.0,2.0,,3.0,3.0,1.0,,2.0,1.0,1.0,,,,,2.0,1.0,,2.0,,,,,,,,,
10382073,away,RKC Waalwijk,Pelle Clement,,,pelle-clement,P. Clement,M,177,70,M,795135,EUR,832464000,M,14,14,False,8.0,5.0,,,2.0,3.0,3.0,5.0,,,,,,,,,24.0,9.0,6.5,4.0,0,6,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Mats Seuntjens,,,mats-seuntjens,M. Seuntjens,M,187,138,M,163541,EUR,703468800,F,20,20,False,23.0,16.0,1.0,,7.0,10.0,11.0,19.0,3.0,3.0,1.0,,2.0,,,,64.0,37.0,7.0,15.0,1,20,6.0,2.0,3.0,,,,,,2.0,,2.0,,,,1.0,,2.0,,1.0,,1.0,,,,,,,,
10382073,away,RKC Waalwijk,Michiel Kramer,,,michiel-kramer,M. Kramer,F,195,192,M,36781,EUR,597110400,F,29,29,False,12.0,10.0,1.0,1.0,7.0,7.0,3.0,5.0,1.0,,,,1.0,,,,64.0,20.0,6.1,4.0,0,29,,,1.0,,2.0,,,,,,1.0,1.0,True,,,,1.0,,,,,,1.0,,,,1.0,,
