match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_errorLeadToAShot,stat_totalOffside,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_goalsPrevented
12514216,home,AVS - Futebol SAD,Guillermo Ochoa,,,guillermo-ochoa,G. Ochoa,G,13,185,4425,M,GuiOchoa,15497,EUR,490060800,G,13,13,False,True,24.0,10.0,21.0,7.0,0.0,5.0,6.0,5.0,18.0,1.0,5.0,1.0,90.0,27.0,7.0,14.0,0.00217641,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514216,home,AVS - Futebol SAD,Ignacio Rodríguez,Ignacio Rodríguez,,ignacio-rodriguez,I. Rodríguez,D,4,188,64,M,,1104158,EUR,1068422400,D,4,4,False,,22.0,19.0,3.0,,0.0,15.0,15.0,4.0,7.0,,4.0,,90.0,32.0,7.1,3.0,0.00200955,,0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12514216,home,AVS - Futebol SAD,Aderllan Santos,,,aderllan-santos,A. Santos,D,33,193,103,M,,129617,EUR,608083200,D,33,33,False,,24.0,22.0,4.0,3.0,0.0,19.0,19.0,3.0,5.0,,5.0,,90.0,41.0,7.2,3.0,0.024678,,1,,1.0,4.0,2.0,12.0,,1.0,1.0,,4.0,1.0,1.0,0.0115,,,,,,,,,,,,,,,,
12514216,home,AVS - Futebol SAD,Cristian Castro,Cristian Castro,,cristian-castro,C. Castro,D,42,192,155,M,,1067320,EUR,980380800,D,42,42,False,,34.0,29.0,8.0,5.0,1.0,16.0,17.0,13.0,17.0,1.0,4.0,,90.0,48.0,7.8,7.0,0.072951,1.0,2,1.0,1.0,2.0,2.0,4.0,2.0,,,1.0,1.0,1.0,1.0,0.2441,1.0,1.0,2.0,,,,,,,,,,,,,
12514216,home,AVS - Futebol SAD,Fernando Fonseca,,,fernando-fonseca,F. Fonseca,D,2,182,49,M,,792666,EUR,858297600,M,2,2,False,,33.0,20.0,6.0,,0.0,8.0,10.0,13.0,24.0,1.0,3.0,,90.0,52.0,6.9,16.0,0.3464,1.0,0,,,2.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,
12514216,home,AVS - Futebol SAD,Gustavo Assunção,,,gustavo-assuncao,G. Assunção,M,12,178,266,M,,981217,EUR,954374400,M,12,12,False,,38.0,29.0,5.0,2.0,0.0,18.0,22.0,11.0,16.0,,6.0,,90.0,52.0,6.2,12.0,0.0140714,,1,3.0,,7.0,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,,0.0177,,,,,,,1.0,2.0,1.0,,,,,,,
12514216,home,AVS - Futebol SAD,Jaume Grau,,,jaume-grau,J. G. Ciscar,M,15,183,72,M,,838633,EUR,862790400,M,15,15,False,,23.0,19.0,,,0.0,13.0,15.0,7.0,9.0,1.0,4.0,,77.0,31.0,7.2,6.0,0.259243,2.0,0,1.0,,1.0,3.0,,,2.0,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,
12514216,home,AVS - Futebol SAD,Rafael Rodrigues,,,rodrigues-rafael,R. Rodrigues,D,2,183,215,M,,1091960,EUR,1012089600,M,3,3,False,,25.0,15.0,3.0,,0.0,8.0,12.0,7.0,13.0,,2.0,,90.0,52.0,6.7,16.0,0.00462154,,0,,2.0,3.0,3.0,5.0,2.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,
12514216,home,AVS - Futebol SAD,Rodrigo Ribeiro,,,ribeiro-rodrigo,R. Ribeiro,F,21,185,1511,M,,1215904,EUR,1114646400,F,20,20,False,,27.0,20.0,1.0,1.0,0.0,10.0,10.0,10.0,17.0,,3.0,,90.0,46.0,5.8,14.0,0.00926889,2.0,2,5.0,2.0,12.0,4.0,2.0,,,,2.0,3.0,2.0,4.0,0.7569,2.0,,,,,1.0,,3.0,,1.0,,,,,,
12514216,home,AVS - Futebol SAD,Zé Luís,,,ze-luis,Z. Luís,F,,185,236,M,,101973,EUR,664675200,F,29,29,False,,15.0,9.0,,,0.0,2.0,2.0,7.0,13.0,,1.0,,77.0,34.0,6.9,13.0,0.0328487,,1,1.0,3.0,3.0,6.0,4.0,,,,1.0,,,5.0,0.0319,,1.0,1.0,,,,1.0,3.0,,,2.0,,,,,
