match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_interceptionWon,stat_fouls,captain,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_penaltyConceded,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,player_sofascoreId,stat_accurateCross,stat_blockedScoringAttempt,stat_penaltyWon,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_hitWoodwork,stat_penaltyMiss,stat_goalAssist
10570038,home,Leeds United,Illan Meslier,,,illan-meslier,I. Meslier,G,16,196,1701,M,906076,EUR,951955200,G,1,1,False,34.0,28.0,10.0,4.0,27.0,28.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,42.0,6.5,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10570038,home,Leeds United,Cody Drameh,,,cody-drameh,C. Drameh,D,18,175,147,M,991577,EUR,1007769600,D,37,37,False,52.0,41.0,2.0,2.0,22.0,25.0,19.0,30.0,8.0,8.0,2.0,,,,,90.0,88.0,6.5,21.0,0,3.0,2.0,1.0,10.0,1.0,1.0,7.0,1.0,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
10570038,home,Leeds United,Diego Llorente,,,diego-llorente,D. Llorente,D,3,185,1163,M,305278,EUR,745459200,D,14,14,False,54.0,46.0,8.0,6.0,41.0,43.0,5.0,11.0,4.0,5.0,,,,,,45.0,59.0,6.9,8.0,0,,2.0,3.0,3.0,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,
10570038,home,Leeds United,Liam Cooper,,,liam-cooper,L. Cooper,D,16,186,300,M,39327,EUR,681177600,D,6,6,False,39.0,36.0,4.0,1.0,32.0,33.0,4.0,6.0,1.0,3.0,,,,,,45.0,45.0,6.7,3.0,0,,,,,,,,,1.0,1.0,,,1.0,,True,,,,,,,,,,,,,,,,,,
10570038,home,Leeds United,Leo Fuhr Hjelde,Leo Fuhr Hjelde,,leo-fuhr-hjelde,L. F. Hjelde,D,5,188,308,M,1097848,EUR,1061856000,D,33,33,False,77.0,70.0,2.0,1.0,50.0,55.0,20.0,22.0,2.0,3.0,,,,,,90.0,91.0,6.5,9.0,0,,3.0,2.0,4.0,,1.0,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
10570038,home,Leeds United,Sam Greenwood,,,sam-greenwood,S. Greenwood,F,90,180,627,M,980640,EUR,1012003200,M,42,42,False,44.0,34.0,5.0,2.0,19.0,22.0,15.0,25.0,5.0,2.0,2.0,,,,,75.0,61.0,6.5,16.0,1,3.0,,1.0,4.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10570038,home,Leeds United,Adam Forshaw,,,adam-forshaw,A. Forshaw,M,28,175,113,M,103117,EUR,686880000,M,4,4,False,92.0,86.0,1.0,,43.0,44.0,43.0,48.0,4.0,7.0,1.0,,,,,90.0,101.0,6.6,8.0,0,,,1.0,6.0,3.0,1.0,2.0,2.0,,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,
10570038,home,Leeds United,Mateusz Klich,,,mateusz-klich,M. Klich,M,43,183,2137,M,44900,EUR,645235200,M,43,43,False,67.0,53.0,3.0,2.0,20.0,23.0,33.0,46.0,5.0,8.0,1.0,,,,,90.0,91.0,8.7,21.0,4,2.0,,,5.0,1.0,,4.0,1.0,,3.0,2.0,1.0,,1.0,,2.0,,2.0,,,1.0,2.0,2.0,,,,,,,,,,
10570038,home,Leeds United,Crysencio Summerville,,,crysencio-summerville,C. Summerville,M,7,174,5996,M,917005,EUR,1004400000,F,10,10,False,40.0,31.0,,,11.0,13.0,21.0,28.0,8.0,4.0,1.0,,,,,90.0,67.0,6.9,20.0,2,1.0,1.0,,7.0,,2.0,6.0,2.0,,5.0,3.0,1.0,,,,4.0,,,,,,2.0,,csummerville7,1.0,,,,,,,,
10570038,home,Leeds United,Joe Gelhardt,,,joe-gelhardt,J. Gelhardt,M,21,179,937,M,945806,EUR,1020470400,F,30,30,False,31.0,20.0,4.0,3.0,4.0,6.0,16.0,25.0,2.0,3.0,,,,,,75.0,45.0,6.6,17.0,1,,1.0,,5.0,1.0,2.0,1.0,,,2.0,1.0,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,
