match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_totalClearance,stat_outfielderBlock,stat_keyPass,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_goalAssist,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_shotOffTarget,stat_goals,stat_lastManTackle,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_errorLeadToAGoal
11373443,home,Bristol City,Max O'Leary,max-oleary,M. O'Leary,G,1,185.0,170,M,360388,EUR,844905600,G,1,1,False,22.0,20.0,1.0,20.0,22.0,9.0,1.0,2.0,1.0,1.0,90.0,33.0,6.7,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11373443,home,Bristol City,George Tanner,tanner-george,G. Tanner,D,19,181.0,60,M,927367,EUR,942710400,D,19,19,False,68.0,57.0,5.0,23.0,24.0,2.0,,,,,90.0,85.0,7.1,15.0,1,2.0,34.0,47.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11373443,home,Bristol City,Zak Vyner,zak-vyner,Z. Vyner,D,26,178.0,166,M,829186,EUR,863568000,D,26,26,False,122.0,113.0,10.0,75.0,78.0,8.0,,,,,90.0,132.0,7.6,9.0,0,5.0,38.0,44.0,,2.0,,2.0,2.0,,,,2.0,2.0,2.0,,,True,1.0,3.0,1.0,,,,,,,,,,,,,,,,
11373443,home,Bristol City,Robert Dickie,robert-dickie,R. Dickie,D,16,185.0,131,M,802697,EUR,825811200,D,16,16,False,128.0,122.0,9.0,78.0,80.0,8.0,,,,,90.0,146.0,8.0,8.0,0,8.0,44.0,48.0,,1.0,6.0,3.0,8.0,,,,6.0,1.0,1.0,1.0,2.0,,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11373443,home,Bristol City,Haydon Roberts,haydon-roberts,H. Roberts,D,5,175.0,77,M,980635,EUR,1020988800,D,24,24,False,71.0,59.0,2.0,26.0,29.0,5.0,,,,,90.0,96.0,8.3,19.0,0,1.0,36.0,50.0,8.0,1.0,2.0,4.0,3.0,,1.0,,,,,,1.0,,,,3.0,,,,2.0,3.0,2.0,1.0,2.0,,,,,,,,
11373443,home,Bristol City,Andy King,andy-king,A. King,M,10,183.0,78,M,30530,EUR,594086400,M,10,10,False,64.0,62.0,1.0,33.0,34.0,4.0,,,,,62.0,68.0,6.7,4.0,0,1.0,29.0,30.0,,,,3.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,
11373443,home,Bristol City,Joe Williams,joe-williams,J. Williams,M,8,185.0,52,M,784501,EUR,850003200,M,8,8,False,58.0,51.0,8.0,25.0,25.0,2.0,,,,,61.0,70.0,6.9,10.0,2,6.0,26.0,33.0,,2.0,,5.0,2.0,,2.0,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,
11373443,home,Bristol City,Harry Cornick,harry-cornick,H. Cornick,F,7,180.0,51,M,351496,EUR,794448000,M,9,9,False,10.0,9.0,1.0,3.0,3.0,1.0,,,,,45.0,21.0,7.4,5.0,2,1.0,6.0,9.0,2.0,1.0,,3.0,3.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,2.0,1.0,,,1.0,1.0,1.0,,,,
11373443,home,Bristol City,Jason Knight,jason-knight,J. Knight,M,12,173.0,389,M,958918,EUR,982022400,M,12,12,False,34.0,27.0,3.0,12.0,13.0,4.0,,,,,61.0,46.0,9.4,7.0,4,1.0,15.0,21.0,,,1.0,2.0,6.0,2.0,,3.0,,,,4.0,,,,1.0,2.0,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,
11373443,home,Bristol City,Anis Mehmeti,anis-mehmeti,A. Mehmeti,F,33,180.0,893,M,1007072,EUR,978998400,M,11,11,False,45.0,39.0,1.0,9.0,9.0,2.0,,,,,90.0,56.0,6.8,15.0,0,,30.0,42.0,6.0,,,3.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,2.0,1.0,,,,,,,1.0,,
