match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalOffside,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_challengeLost,stat_punches,stat_bigChanceCreated,stat_errorLeadToAShot,stat_bigChanceMissed,stat_hitWoodwork
12450990,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,27.0,19.0,18.0,10.0,0.0,13.0,17.0,6.0,10.0,5.0,2.0,2.0,1.0,90.0,32.0,6.1,9.0,0.00140764,0,-0.9616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450990,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,7,7,False,40.0,30.0,5.0,2.0,0.0,20.0,24.0,10.0,17.0,3.0,,,,90.0,52.0,6.2,14.0,0.0162992,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0194,0.0625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12450990,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,42.0,37.0,12.0,7.0,0.0,24.0,25.0,13.0,17.0,3.0,,,,90.0,58.0,6.9,5.0,0.0162199,0,,,6.0,,6.0,2.0,2.0,1.0,,,1.0,,,True,1.0,2.0,4.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,
12450990,home,Stade Brestois,Abdoulaye Ndiaye,abdoulaye-ndiaye,A. Ndiaye,D,3,195,1264,M,984527,EUR,1018396800,D,3,3,False,31.0,24.0,6.0,4.0,0.0,20.0,25.0,4.0,6.0,3.0,,,,90.0,41.0,6.3,8.0,0.00365267,0,,,4.0,,5.0,1.0,1.0,1.0,,,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12450990,home,Stade Brestois,Luc Zogbé,luc-zogbe,L. Zogbé,D,12,178,643,M,1499870,EUR,1111622400,D,12,12,False,30.0,25.0,4.0,2.0,0.0,15.0,20.0,10.0,11.0,11.0,,,,90.0,62.0,6.1,13.0,0.0405365,1,,1.0,4.0,,4.0,3.0,3.0,1.0,0.0161,,1.0,,,,,,4.0,,,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,
12450990,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,34.0,29.0,,,0.0,19.0,21.0,11.0,16.0,1.0,,,,77.0,49.0,6.8,10.0,0.11737,1,,3.0,4.0,,,,1.0,1.0,0.0571,,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,1.0,,,,,,,,,
12450990,home,Stade Brestois,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,20,20,False,41.0,36.0,2.0,1.0,0.0,24.0,25.0,12.0,16.0,5.0,,,,77.0,51.0,6.8,6.0,0.0266811,2,,,4.0,,,2.0,3.0,3.0,0.0759,,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,
12450990,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,M,10,10,False,22.0,12.0,2.0,,0.0,4.0,5.0,8.0,19.0,5.0,,,,70.0,37.0,7.1,16.0,0.00464068,2,,2.0,3.0,1.0,1.0,,1.0,1.0,0.2017,0.425,,,,,1.0,,3.0,,1.0,,2.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,
12450990,home,Stade Brestois,Romain Faivre,romain-faivre,R. Faivre,M,28,180,1033,M,913942,EUR,900374400,M,21,21,False,30.0,24.0,1.0,,0.0,14.0,16.0,10.0,16.0,4.0,,,,88.0,47.0,6.7,13.0,0.00743803,2,,2.0,4.0,2.0,,,1.0,1.0,0.1741,0.293,,,,,,1.0,3.0,,1.0,,1.0,3.0,1.0,,2.0,1.0,,,,,,,,,,
12450990,home,Stade Brestois,Abdallah Sima,abdallah-sima,A.Sima,F,19,188,2455,M,1029018,EUR,992736000,M,17,17,False,17.0,12.0,,,0.0,4.0,5.0,8.0,13.0,3.0,,,,70.0,29.0,6.5,8.0,0.0640861,1,,1.0,5.0,,1.0,,,,0.1095,,2.0,,,,2.0,2.0,5.0,,3.0,2.0,1.0,,,,1.0,,,1.0,,,,,,,,
12450990,home,Stade Brestois,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1367,M,343971,EUR,762134400,F,19,19,False,25.0,20.0,2.0,2.0,0.0,8.0,9.0,12.0,16.0,5.0,,,,90.0,40.0,7.7,7.0,0.0177191,3,,,6.0,2.0,1.0,,,,0.1913,0.3131,2.0,,,,3.0,4.0,5.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,
12450990,home,Stade Brestois,Kamory Doumbia,kamory-doumbia,K. Doumbia,M,23,170,5674,M,1156353,EUR,1045526400,M,9,9,True,11.0,8.0,,,0.0,7.0,8.0,2.0,7.0,3.0,,,,20.0,18.0,6.6,7.0,0.038354,0,,4.0,2.0,,,1.0,,,,,1.0,Kamory Doumbia,,,,1.0,,,1.0,,,,,,,,1.0,,,kamory_doumbia03,,,,,,
12450990,home,Stade Brestois,Mama Baldé,mama-balde,M. Baldé,F,17,183,1081,M,557166,EUR,815616000,F,14,14,True,7.0,6.0,1.0,1.0,0.0,4.0,4.0,2.0,3.0,,,,,20.0,10.0,6.4,4.0,0.00233002,0,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,
