match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_keyPass,stat_aerialLost,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_aerialWon,stat_challengeLost,player_firstName,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_penaltyWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_wonContest,player_lastName,stat_totalOffside,captain,stat_hitWoodwork,stat_goals,player_sofascoreId
12117195,home,Atlético Mineiro,Everson,everson,Everson,G,22,193.0,2202,M,870748,EUR,648604800,G,22,22,False,21.0,18.0,9.0,6.0,0.0,15.0,16.0,3.0,5.0,2.0,13.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,90.0,36.0,7.6,4.0,0.00109619,0,0.5063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117195,home,Atlético Mineiro,Mariano,mariano,Mariano,D,,177.0,308,M,40076,EUR,519868800,D,25,25,False,33.0,32.0,1.0,1.0,0.0,18.0,18.0,15.0,17.0,,2.0,,,,,,,,45.0,39.0,6.9,3.0,0.203102,0,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12117195,home,Atlético Mineiro,Bruno Fuchs,bruno-fuchs,B. Fuchs,D,3,190.0,3790,M,973737,EUR,922924800,D,3,3,False,45.0,39.0,5.0,2.0,0.0,26.0,27.0,13.0,18.0,6.0,3.0,,,,,,,,90.0,61.0,7.6,7.0,0.00525693,0,,,,3.0,4.0,,,3.0,3.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12117195,home,Atlético Mineiro,Lyanco,lyanco,Lyanco,D,4,187.0,2874,M,797893,EUR,854755200,D,2,2,False,64.0,58.0,8.0,6.0,0.0,47.0,51.0,11.0,14.0,3.0,3.0,,,,,,,,90.0,72.0,6.9,7.0,0.0207371,0,,1.0,,8.0,6.0,,,2.0,1.0,,2.0,,5.0,,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,
12117195,home,Atlético Mineiro,Brahian Palacios,brahian-palacios,B. Palacios,M,30,178.0,713,M,1106599,EUR,1038096000,M,30,30,False,20.0,19.0,,,0.0,6.0,6.0,15.0,21.0,,3.0,,3.0,,,,,,62.0,43.0,7.1,13.0,0.0691769,2,,7.0,2.0,7.0,3.0,2.0,,1.0,1.0,,2.0,1.0,1.0,,,1.0,2.0,,,Brahian Palacios,2.0,1.0,1.0,1.0,1.0,0.1343,0.1543,,,,,,,,
12117195,home,Atlético Mineiro,Alan Franco,alan-franco,A. Franco,M,21,174.0,3281,M,822729,EUR,903657600,M,23,23,False,27.0,25.0,2.0,,0.0,16.0,16.0,10.0,12.0,2.0,4.0,,1.0,,,,,,90.0,35.0,6.6,3.0,0.0337539,1,,1.0,1.0,4.0,1.0,,,1.0,,,4.0,1.0,,,1.0,1.0,,,,,,,,,,0.0556,,1.0,,,,,,,
12117195,home,Atlético Mineiro,Fausto Vera,fausto-vera,F. Vera,M,8,181.0,1966,M,930690,EUR,954028800,M,18,18,False,55.0,55.0,4.0,4.0,0.0,31.0,31.0,24.0,25.0,1.0,3.0,,1.0,,,,,,90.0,66.0,7.1,2.0,0.0250822,3,,1.0,,3.0,4.0,1.0,,3.0,,,1.0,,,,,,,,2.0,,,,1.0,1.0,,0.0675,0.0521,1.0,1.0,,,,,,
12117195,home,Atlético Mineiro,Rubens,rubens,Rubens,M,44,178.0,1492,M,1093196,EUR,993081600,M,44,44,False,24.0,15.0,,,0.0,7.0,9.0,11.0,23.0,2.0,4.0,,1.0,,,,,,90.0,68.0,7.0,20.0,0.319776,1,,8.0,3.0,14.0,10.0,3.0,,5.0,4.0,,2.0,3.0,7.0,,1.0,1.0,2.0,3.0,2.0,Rubens,1.0,1.0,1.0,,,0.0713,,,,,1.0,,,,
12117195,home,Atlético Mineiro,Bernard,bernard,Bernard,M,11,164.0,2389,M,241488,EUR,715910400,F,20,20,False,25.0,23.0,1.0,1.0,0.0,6.0,6.0,18.0,24.0,,,,,,,,,,62.0,36.0,6.8,10.0,0.173499,0,,5.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,True,,,
12117195,home,Atlético Mineiro,Igor Gomes,igor-gomes,I. Gomes,M,17,182.0,1159,M,913598,EUR,921628800,F,17,17,False,29.0,24.0,1.0,1.0,0.0,7.0,8.0,17.0,21.0,2.0,4.0,,1.0,,,,,,62.0,42.0,7.1,9.0,0.0202443,2,,,,5.0,3.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,2.0,1.0,,2.0,1.0,1.0,1.0,,1.2073,0.7997,,,,,,1.0,1.0,
