match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_dispossessed,stat_interceptionWon,stat_shotOffTarget,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_bigChanceCreated,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_goals,stat_hitWoodwork,stat_errorLeadToAGoal,stat_errorLeadToAShot
14065104,home,Bayer 04 Leverkusen,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2843,M,171919,EUR,739929600,G,1,1,False,27.0,21.0,7.0,2.0,0.0,21.0,22.0,5.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,90.0,34.0,6.9,6.0,0.0001134,0.0431,0,0.211,0.05,0.01,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065104,home,Bayer 04 Leverkusen,Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10345,M,1003339,EUR,1043798400,D,4,4,False,98.0,91.0,2.0,,0.0,43.0,47.0,51.0,4.0,6.0,5.0,4.0,,,,90.0,110.0,7.7,8.0,0.0587143,,0,,0.39,0.22,0.25,,jarellquansah,48.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14065104,home,Bayer 04 Leverkusen,Loïc Badé,loic-bade,L. Badé,D,5,191,3191,M,1006489,EUR,955411200,D,5,5,False,103.0,95.0,6.0,6.0,0.0,60.0,66.0,37.0,5.0,5.0,6.0,11.0,,,,90.0,113.0,7.8,9.0,0.0143158,,0,,0.28,0.23,0.23,,,35.0,,3.0,4.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14065104,home,Bayer 04 Leverkusen,Edmond Tapsoba,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,False,92.0,89.0,5.0,3.0,0.0,56.0,57.0,35.0,1.0,1.0,6.0,3.0,,,,90.0,103.0,7.3,4.0,0.0363373,,1,,0.37,0.28,0.19,,edmondtapsoba,33.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,0.0222,-0.08,,,,,,,,,,,,,,,,,
14065104,home,Bayer 04 Leverkusen,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,21,173,59984,M,255239,EUR,678326400,M,21,21,False,26.0,24.0,,,1.0,8.0,9.0,17.0,1.0,6.0,,2.0,,,,45.0,38.0,7.5,5.0,0.3211,,0,,0.33,0.03,0.18,,LucasVaz91,16.0,1.0,,2.0,,,3.0,2.0,2.0,1.0,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,
14065104,home,Bayer 04 Leverkusen,Ezequiel Fernández,ezequiel-fernandez,E. Fernández,M,6,178,5873,M,1003012,EUR,1027555200,M,6,6,False,102.0,94.0,5.0,2.0,0.0,47.0,48.0,54.0,1.0,1.0,,5.0,,,,69.0,115.0,6.5,12.0,0.0608619,,1,,-0.09,0.27,-0.04,,equifernandez,47.0,,1.0,7.0,1.0,,,,,2.0,1.0,,,3.0,0.0511,0.0,,,,1.0,1.0,1.0,,,,,,,,,,,
14065104,home,Bayer 04 Leverkusen,Aleix García,aleix-garcia,A. García,M,24,173,4597,M,796047,EUR,867456000,M,24,24,False,152.0,147.0,12.0,10.0,0.0,68.0,68.0,84.0,,1.0,,4.0,,,,90.0,162.0,8.1,7.0,0.150648,,3,,0.56,0.35,-0.01,,AlexGarcia97,79.0,3.0,,1.0,,,,,1.0,,1.0,2.0,,,0.0988,-0.39,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
14065104,home,Bayer 04 Leverkusen,Alejandro Grimaldo,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,40.0,38.0,3.0,2.0,0.0,17.0,17.0,23.0,,1.0,,4.0,,,,45.0,52.0,6.7,7.0,0.0237494,,2,,-0.07,0.27,0.16,,grimaldo35,21.0,2.0,,2.0,,,,,,1.0,,2.0,1.0,1.0,0.0744,-0.11,,,,1.0,,,,,True,,,,,,,,
14065104,home,Bayer 04 Leverkusen,Malik Tillman,malik-tillman,M. Tillman,M,10,186,5864,M,975798,EUR,1022544000,F,10,10,False,48.0,40.0,1.0,,0.0,18.0,18.0,30.0,4.0,11.0,,5.0,,,,90.0,74.0,7.3,13.0,0.0651125,,3,,-0.5,0.2,0.31,,MalikTillman8,22.0,1.0,,3.0,1.0,1.0,2.0,2.0,3.0,2.0,,2.0,2.0,1.0,0.2734,-0.51,,,1.0,4.0,,,,,,1.0,1.0,2.0,0.0332,,,,
14065104,home,Bayer 04 Leverkusen,Ernest Poku,ernest-poku,E. Poku,M,19,172,5105,M,1119502,EUR,1075248000,F,19,19,False,36.0,31.0,1.0,,0.0,12.0,14.0,22.0,,2.0,,3.0,,,,89.0,49.0,7.7,10.0,0.0993217,,3,,-0.19,0.49,-0.07,,,19.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,,0.6247,0.51,,,,1.0,1.0,1.0,,,,,1.0,,0.2831,1.0,,,
