match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_fouls,stat_totalOffside,stat_interceptionWon,stat_errorLeadToAShot,captain,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wonTackle,stat_wonContest,stat_goals,stat_hitWoodwork,player_sofascoreId,stat_bigChanceMissed,stat_bigChanceCreated
15359732,home,Stoke City,Tommy Simkin,simkin-tommy,T. Simkin,G,25,190.0,110,M,1143932,EUR,1102464000.0,G,25,25,False,34.0,18.0,20.0,5.0,0.0,14.0,19.0,4.0,15.0,2.0,4.0,2.0,10.0,1.0,2.0,3.0,6.0,6.0,1.0,90.0,50.0,7.6,16.0,31.572601119395,5.0,9.6482335759391,0.0,1.6034,0,0.05,0.01,-0.45,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15359732,home,Stoke City,Ashley Phillips,ashley-phillips,A. Phillips,D,26,192.0,1100,M,1134744,EUR,1119744000.0,D,26,26,False,25.0,20.0,3.0,1.0,0.0,15.0,17.0,5.0,8.0,1.0,2.0,4.0,,,,,,,,90.0,38.0,6.0,8.0,57.13894858871,8.0,10.195984878999,0.0,,0,-0.09,0.08,-0.06,,,,3.0,8.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,
15359732,home,Stoke City,Maksym Talovierov,maksym-talovierov,M. Talovierov,D,40,195.0,1198,M,990355,EUR,962150400.0,D,40,40,False,35.0,32.0,4.0,3.0,0.0,28.0,29.0,4.0,6.0,1.0,3.0,11.0,5.0,,1.0,,,,,90.0,54.0,7.0,4.0,69.069265021093,11.0,31.898705867184,0.0,,0,0.04,0.04,0.2,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
15359732,home,Stoke City,Ben Wilmot,ben-wilmot,B. Wilmot,D,16,188.0,104,M,862796,EUR,941673600.0,D,16,16,False,47.0,42.0,4.0,2.0,0.0,32.0,35.0,10.0,12.0,3.0,3.0,8.0,4.0,,,,,,,90.0,64.0,6.7,6.0,107.96132225397,18.0,27.585760119068,0.0,,0,0.05,0.06,-0.16,,,,,1.0,,,,1.0,,4.0,,True,,,,,,,,,,,,,,,,,,,
15359732,home,Stoke City,Sorba Thomas,sorba-thomas,S. Thomas,M,7,185.0,581,M,911039,EUR,917222400.0,M,7,7,False,19.0,13.0,2.0,1.0,0.0,6.0,8.0,7.0,11.0,,,,5.0,,,,,,,90.0,38.0,6.4,15.0,116.86945601877,12.0,47.2331679495,2.0,,1,0.11,0.11,-0.09,,,,2.0,4.0,,,,,1.0,,,,4.0,2.0,1.0,1.0,1.0,2.0,16.100528887259,50.461194659671,1.0,0.01,,,,,,,,,
15359732,home,Stoke City,Tomáš Rigo,tomas-rigo,T. Rigo,M,19,180.0,638,M,1088725,EUR,1025568000.0,M,19,19,False,21.0,18.0,,,0.0,9.0,9.0,9.0,12.0,,2.0,3.0,8.0,,,,,,,78.0,39.0,6.9,7.0,76.25655231988,6.0,68.826315729467,2.0,,3,0.16,0.29,0.18,,,,1.0,3.0,1.0,,2.0,,,1.0,,,1.0,1.0,,1.0,,2.0,20.239510249987,40.626832875778,1.0,-0.14,1.0,2.0,1.0,,,,,,
15359732,home,Stoke City,Tatsuki Seko,tatsuki-seko,T. Seko,M,12,175.0,348,M,1020071,EUR,882748800.0,M,12,12,False,19.0,13.0,3.0,2.0,0.0,8.0,9.0,5.0,10.0,,3.0,3.0,5.0,,2.0,,,,,89.0,34.0,6.5,8.0,52.173000057029,6.0,20.504736132554,0.0,,1,-0.05,0.08,-0.05,,,,2.0,3.0,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,-0.19,1.0,,,,,,,,
15359732,home,Stoke City,Eric Bocat,eric-bocat,E. Bocat,D,17,182.0,70,M,1017684,EUR,932083200.0,M,17,17,False,28.0,23.0,1.0,,1.0,14.0,14.0,9.0,14.0,,6.0,2.0,9.0,,2.0,,,,,89.0,55.0,6.6,17.0,171.6585428175,15.0,103.59454101604,3.0,,0,0.15,0.28,0.14,,,,2.0,7.0,,,1.0,,,1.0,,,1.0,,3.0,5.0,,2.0,51.761346350057,93.312854159124,1.0,,,,,3.0,,,,,
15359732,home,Stoke City,Jun-Ho Bae,bae-jun-ho,B. Jun-Ho,M,10,180.0,1965,M,1185869,EUR,1061424000.0,F,10,10,False,17.0,12.0,,,0.0,4.0,4.0,8.0,13.0,1.0,8.0,,3.0,,1.0,,,,,89.0,38.0,7.8,12.0,142.30727670507,12.0,76.729778074849,6.0,,2,-0.15,0.41,0.14,,,,,3.0,1.0,,3.0,,,1.0,,,3.0,,2.0,3.0,1.0,2.0,19.253991981377,92.109965520579,,0.5,,1.0,1.0,3.0,1.0,,,,
15359732,home,Stoke City,Milan Smit,milan-smit,M. Smit,F,49,191.0,547,M,1199214,EUR,1045094400.0,F,49,49,False,2.0,2.0,,,0.0,2.0,2.0,,,1.0,1.0,,,,,,,,,78.0,10.0,6.3,7.0,,,,,,0,0.01,,0.13,,Milan Smit,,3.0,5.0,,,,,2.0,,,,,,2.0,,,5.0,,,,,,,,,,,,,
15359732,home,Stoke City,Lamine Cissé,lamine-cisse,L. Cissé,F,29,182.0,329,M,1119480,EUR,1045267200.0,F,29,29,False,14.0,11.0,,,0.0,4.0,4.0,7.0,10.0,2.0,7.0,1.0,2.0,,2.0,,,,,90.0,33.0,6.9,12.0,223.31625498444,17.0,129.45709984291,7.0,,1,-0.31,0.57,0.13,,Lamine Cisse,,3.0,5.0,,,1.0,,1.0,,,,3.0,,1.0,3.0,1.0,4.0,43.698903925774,150.84992822975,1.0,0.07,,,1.0,2.0,,1.0,,,
