match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_interceptionWon,stat_errorLeadToAShot,stat_fouls,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_firstName,stat_hitWoodwork,player_lastName,stat_lastManTackle,stat_penaltyWon,stat_totalOffside
14566595,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,201925,M,TheOctopus,70988,EUR,705542400,G,1,1,False,35.0,23.0,16.0,4.0,0.0,21.0,25.0,2.0,10.0,1.0,7.0,1.0,6.0,1.0,6.0,1.0,1.0,90.0,43.0,7.5,12.0,0.00043122,21.96,5.29862,0.0,103.05465650999,16.0,38.22,15.855,1.0445,0,1.0293,0.01,0.02,-0.5,0.74,4.0,1.17,0.1,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566595,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375067,M,Fede,831808,EUR,901065600,D,8,8,False,44.0,37.0,4.0,2.0,0.0,21.0,24.0,16.0,20.0,1.0,6.0,,,,,,,90.0,62.0,6.5,11.0,0.0484196,32.796,9.95638,13.0,81.683615649388,14.0,41.79,9.45,,2,,0.14,0.0,-0.36,,3.02,4.64,1.39,0.59,0.32,True,3.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,3.0,0.0815,2.0,-0.07,,,,,,,,,,,,,,,,,,,,,,,
14566595,home,Real Madrid,Raúl Asencio,raul-asencio,R. Asencio,D,17,184,118806,M,asencio,1156645,EUR,1045094400,D,17,17,False,55.0,52.0,5.0,3.0,0.0,40.0,41.0,12.0,14.0,4.0,,,,,,,,79.0,64.0,6.2,3.0,0.00442063,33.3,7.43297,5.0,66.813727624327,14.0,4.2,6.195,,0,,0.06,0.03,-0.41,,2.67,3.52,0.86,0.22,0.15,,,,2.0,2.0,1.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14566595,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,191574,M,ARüdiger,142622,EUR,731116800,D,22,22,False,43.0,37.0,6.0,2.0,0.0,29.0,32.0,8.0,11.0,4.0,6.0,,,,,,,90.0,50.0,5.5,6.0,0.00816555,31.464,9.63318,8.0,89.84157098017,15.0,-2.73,6.825,,0,,0.09,0.06,-0.74,,3.06,4.72,1.19,0.49,0.16,,,1.0,4.0,2.0,1.0,,,,,,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14566595,home,Real Madrid,Álvaro Carreras,alvaro-carreras,Á. Carreras,D,18,186,80889,M,,1085081,EUR,1048377600,D,18,18,False,46.0,40.0,1.0,1.0,0.0,19.0,20.0,21.0,26.0,,6.0,,,,,,,90.0,72.0,6.2,12.0,0.147377,31.896,10.22057,16.0,195.17462499635,17.0,106.155,22.68,,1,,0.31,0.16,-0.59,,3.12,4.51,1.47,0.75,0.37,,2.0,1.0,10.0,6.0,4.0,2.0,1.0,,,0.0091,1.0,-0.05,2.0,,3.0,,4.0,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,
14566595,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,704705,M,Rodrygo,910536,EUR,978998400,M,11,11,False,30.0,22.0,1.0,,0.0,7.0,8.0,15.0,22.0,,6.0,,,,,,,90.0,56.0,8.1,17.0,0.321062,32.544,10.46664,11.0,214.84973819997,24.0,136.5,22.89,,2,,0.47,0.33,-0.18,,3.06,5.13,1.48,0.53,0.27,,6.0,,8.0,7.0,1.0,2.0,,,4.0,0.0984,5.0,0.51,1.0,,2.0,,,,,4.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,0.1296,,,,,,,
14566595,home,Real Madrid,Dani Ceballos,dani-ceballos,D. Ceballos,M,19,179,67330,M,Danifuli10,547838,EUR,839376000,M,19,19,False,30.0,27.0,2.0,1.0,0.0,15.0,17.0,12.0,13.0,4.0,3.0,,,,,,,67.0,44.0,6.7,8.0,0.00667442,29.448,8.55299,3.0,97.49824083188,15.0,21.735,11.55,,0,,-0.05,0.11,-0.03,,1.89,4.36,1.88,0.36,0.06,,3.0,,3.0,3.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,
14566595,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145314,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,58.0,54.0,1.0,,0.0,38.0,38.0,16.0,20.0,2.0,4.0,,,,,,,90.0,68.0,6.7,6.0,0.0065215,29.988,10.76507,6.0,141.83541713626,16.0,44.31,26.04,,1,,0.02,0.08,0.24,,2.81,5.48,1.87,0.48,0.13,,1.0,1.0,3.0,3.0,,1.0,,2.0,1.0,0.0306,,-0.19,1.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,
14566595,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1020916,M,JudeBell,991011,EUR,1056844800,M,5,5,False,36.0,29.0,5.0,5.0,1.0,11.0,14.0,18.0,22.0,2.0,3.0,,,,,,,90.0,52.0,7.3,10.0,0.0779132,32.256,11.20983,16.0,184.75260712892,21.0,92.085,15.12,,3,,0.08,0.32,-0.1,,3.16,4.9,1.88,0.9,0.37,,,1.0,8.0,9.0,,,2.0,,2.0,0.4387,3.0,-0.44,,,2.0,4.0,4.0,2.0,,,4.0,2.0,,,1.0,,,,1.0,,,,,,
14566595,home,Real Madrid,Gonzalo García,gonzalo-garcia,G. García,F,16,182,101356,M,,1402716,EUR,1080086400,F,16,16,False,11.0,10.0,,,0.0,2.0,2.0,8.0,9.0,,2.0,,,,,,,58.0,14.0,6.3,3.0,0.0160018,33.084,6.82387,13.0,16.322024741329,3.0,5.355,7.245,,0,,0.12,-0.14,-0.02,,1.97,3.08,0.96,0.49,0.32,,,1.0,6.0,1.0,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,Gonzalo García,,,,,
