match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_ownGoals,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,captain,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_dispossessed,stat_punches,stat_errorLeadToAShot
10385564,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3777,M,lukasz.fabianski,15479,EUR,482630400,G,1,1,False,21.0,10.0,18.0,7.0,6.0,6.0,4.0,15.0,8.0,1.0,3.0,90.0,33.0,6.8,11.0,0.0,0.0,0.00060575,0,-0.7835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385564,home,West Ham United,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1722,M,,138024,EUR,714441600,D,5,5,False,28.0,23.0,2.0,1.0,6.0,7.0,19.0,30.0,2.0,,,90.0,57.0,7.0,17.0,0.0,0.0,0.183112,0,,,,9.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10385564,home,West Ham United,Thilo Kehrer,thilo-kehrer,T. Kehrer,D,5,186,1925,M,,281277,EUR,843264000,D,24,24,False,44.0,36.0,5.0,2.0,24.0,27.0,13.0,19.0,2.0,,,90.0,55.0,6.3,10.0,0.0,0.0,0.00774579,0,,,,2.0,1.0,,1.0,3.0,3.0,1.0,2.0,1.0,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
10385564,home,West Ham United,Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2248,M,,139227,EUR,783216000,D,4,4,False,29.0,26.0,3.0,1.0,18.0,20.0,8.0,9.0,5.0,,,90.0,41.0,6.9,4.0,0.1107,0.0,0.00262429,1,,,,,,1.0,3.0,1.0,5.0,,6.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10385564,home,West Ham United,Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,763,M,,43443,EUR,629683200,D,3,3,False,32.0,29.0,1.0,1.0,14.0,15.0,15.0,18.0,2.0,,,72.0,47.0,7.1,4.0,0.0,0.0,0.00796062,0,,,,1.0,,,1.0,,2.0,,5.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,
10385564,home,West Ham United,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,65.0,62.0,7.0,7.0,22.0,24.0,40.0,42.0,12.0,,,90.0,77.0,7.5,6.0,0.0601,0.0569,0.0313598,2,,,,1.0,,,1.0,1.0,5.0,,1.0,,1.0,1.0,1.0,,,,,4.0,2.0,True,1.0,1.0,1.0,,,,,,,,,,
10385564,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,,799041,EUR,793843200,M,28,28,False,37.0,33.0,,,16.0,16.0,17.0,22.0,3.0,,,90.0,54.0,8.2,5.0,0.4192,0.4709,0.0441631,3,,,,1.0,,1.0,2.0,2.0,7.0,,2.0,2.0,2.0,,,,1.0,2.0,2.0,4.0,4.0,,,1.0,,1.0,,,,,,,,,
10385564,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,jarrodbowen,552884,EUR,851040000,M,20,20,False,13.0,10.0,,,1.0,1.0,9.0,14.0,1.0,,,90.0,28.0,6.9,7.0,0.2802,0.0,0.0207064,3,,,,2.0,,1.0,3.0,2.0,7.0,1.0,,,1.0,2.0,2.0,,3.0,1.0,3.0,1.0,1.0,,,,,,1.0,,,,,,,,
10385564,home,West Ham United,Saïd Benrahma,said-benrahma,S. Benrahma,F,10,172,11234,M,said_benrahma11,354808,EUR,808012800,M,22,22,False,25.0,23.0,,,8.0,10.0,15.0,16.0,1.0,,,67.0,32.0,6.6,7.0,0.0675,0.0147,0.0170861,2,,,,1.0,,,,2.0,,,,,,2.0,3.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,
10385564,home,West Ham United,Pablo Fornals,pablo-fornals,P. Fornals,M,8,178,2735,M,,816763,EUR,824947200,M,8,8,False,45.0,36.0,9.0,8.0,10.0,12.0,26.0,37.0,3.0,,,85.0,61.0,6.9,16.0,0.2569,0.1795,0.0170038,2,,,,4.0,,1.0,1.0,6.0,3.0,2.0,3.0,,,1.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,
