match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,player_firstName,player_lastName,stat_totalCross,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_dispossessed,stat_penaltyWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_goals,stat_shotOffTarget,stat_totalOffside,stat_outfielderBlock,stat_goalAssist,stat_bigChanceCreated,player_sofascoreId,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed
10447715,home,Monza,Alessio Cragno,alessio-cragno,A. Cragno,G,22,184,264,M,148740,EUR,772761600,G,89,89,False,54.0,39.0,24.0,9.0,35.0,36.0,4.0,18.0,1.0,2.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,63.0,6.7,15.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447715,home,Monza,Marlon,marlon,Marlon,D,4,182,529,M,331853,EUR,810432000,D,4,4,False,66.0,60.0,7.0,5.0,51.0,53.0,9.0,13.0,2.0,2.0,,4.0,,,,,,,73.0,71.0,6.6,7.0,,0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10447715,home,Monza,Andrea Ranocchia,andrea-ranocchia,A. Ranocchia,D,,195,192,,49518,EUR,571968000,D,13,13,False,72.0,61.0,6.0,3.0,55.0,62.0,6.0,10.0,3.0,3.0,3.0,3.0,,,,,,,90.0,84.0,6.6,11.0,,0,5.0,7.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10447715,home,Monza,Carlos Augusto,carlos-augusto,C. Augusto,D,30,184,7421,M,929199,EUR,915667200,D,30,30,False,58.0,55.0,2.0,2.0,44.0,46.0,11.0,13.0,,5.0,3.0,3.0,,,,,,,90.0,72.0,6.8,6.0,,0,1.0,3.0,,,1.0,,,,1.0,2.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,
10447715,home,Monza,Samuele Birindelli,samuele-birindelli,S. Birindelli,M,19,175,232,M,856729,EUR,932342400,M,19,19,False,46.0,38.0,4.0,1.0,23.0,27.0,16.0,24.0,1.0,6.0,3.0,3.0,2.0,,,,,,90.0,74.0,7.3,14.0,,0,,4.0,2.0,1.0,2.0,1.0,,,5.0,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10447715,home,Monza,Patrick Ciurria,patrick-ciurria,P. Ciurria,F,26,178,221,M,346676,EUR,792288000,M,84,84,False,34.0,25.0,3.0,1.0,11.0,12.0,14.0,24.0,,2.0,,8.0,2.0,,,,,,80.0,50.0,6.6,17.0,,3,,5.0,1.0,3.0,3.0,,,,2.0,,,,,,2.0,,1.0,2.0,,,,,,,,,,,
10447715,home,Monza,Andrea Barberis,andrea-barberis,A. Barberis,M,5,177,41,M,152910,EUR,755568000,M,8,8,False,61.0,49.0,9.0,3.0,38.0,42.0,11.0,19.0,2.0,5.0,,9.0,1.0,,,,,,80.0,71.0,6.7,13.0,1.0,0,,3.0,2.0,,,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,True,,,,,,,,,,
10447715,home,Monza,Mattia Valoti,mattia-valoti,M. Valoti,M,5,181,97,M,139397,EUR,747273600,M,10,10,False,30.0,29.0,6.0,5.0,17.0,17.0,12.0,13.0,,3.0,,4.0,2.0,,,,,,57.0,39.0,7.2,3.0,,1,1.0,4.0,,,1.0,,,,,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,
10447715,home,Monza,Marco D'Alessandro,marco-dalessandro,M. D'Alessandro,M,77,173,86,M,55119,EUR,666748800,M,77,77,False,21.0,19.0,,,11.0,13.0,9.0,9.0,1.0,5.0,1.0,1.0,1.0,,,,,,90.0,36.0,6.9,5.0,2.0,0,1.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
10447715,home,Monza,Gianluca Caprari,gianluca-caprari,G. Caprari,F,24,170,458,M,148458,EUR,743990400,F,17,17,False,26.0,23.0,6.0,4.0,7.0,7.0,16.0,21.0,,2.0,,3.0,2.0,,,,,,73.0,43.0,7.0,11.0,,3,2.0,6.0,,4.0,1.0,1.0,,,2.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,
