match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,captain,stat_bigChanceMissed,stat_clearanceOffLine,stat_goalAssist,stat_goodHighClaim,stat_errorLeadToAShot,stat_blockedScoringAttempt,player_sofascoreId,stat_hitWoodwork
11450063,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,22.0,20.0,4.0,2.0,20.0,21.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,2.0,90.0,30.0,7.1,2.0,6.483e-05,0,0.7972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450063,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,62.0,43.0,10.0,1.0,20.0,22.0,43.0,5.0,,1.0,8.0,,,,,90.0,84.0,6.7,26.0,0.0987407,0,,25.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11450063,home,Alanyaspor,Furkan Bayır,,,furkan-bayir,F. Bayır,D,23,188,77,M,1003161,EUR,950054400,D,4,4,False,68.0,61.0,5.0,2.0,41.0,44.0,24.0,1.0,,3.0,6.0,,,,,90.0,80.0,7.5,8.0,0.00872038,0,,20.0,,,,8.0,,,2.0,1.0,,1.0,1.0,,4.0,1.0,3.0,,,,,,,,,,,,,,,,
11450063,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,56.0,48.0,3.0,,37.0,40.0,16.0,5.0,2.0,4.0,5.0,,,,,90.0,68.0,7.1,8.0,0.00489443,0,,11.0,,,3.0,9.0,,,,1.0,,,,,5.0,1.0,4.0,,,,,,,,,,,,,,,,
11450063,home,Alanyaspor,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185,292,M,171625,EUR,779068800,D,29,29,False,50.0,38.0,12.0,4.0,25.0,30.0,21.0,6.0,1.0,,2.0,,,,,90.0,69.0,7.2,15.0,0.0122506,0,,13.0,1.0,,2.0,2.0,,1.0,4.0,,,1.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,
11450063,home,Alanyaspor,Richard,,,richard-candido,Richard,M,36,191,349,M,897617,EUR,761529600,M,25,25,False,63.0,57.0,1.0,1.0,34.0,36.0,28.0,5.0,1.0,2.0,12.0,,,,,90.0,77.0,7.1,10.0,0.00885202,1,,23.0,1.0,,2.0,7.0,1.0,,,3.0,2.0,2.0,2.0,,2.0,,2.0,1.0,1.0,0.0424,,,,,,,,,,,,,
11450063,home,Alanyaspor,Leroy Fer,,,leroy-fer,L. Fer,M,8,188,136,M,31821,EUR,631497600,M,8,8,False,26.0,22.0,1.0,,11.0,12.0,14.0,2.0,,,,,,,,71.0,34.0,6.8,6.0,0.0148572,2,,11.0,,,1.0,2.0,,1.0,1.0,,,1.0,,1.0,,,2.0,2.0,,0.1668,,,,,,,,,,,,,
11450063,home,Alanyaspor,Oğuz Aydın,,,oguz-aydin,O. Aydın,M,70,183,3374,M,999396,EUR,972604800,M,11,11,False,35.0,27.0,3.0,1.0,7.0,10.0,30.0,6.0,,1.0,2.0,,,,,90.0,54.0,7.8,18.0,0.342027,2,,22.0,5.0,2.0,2.0,1.0,4.0,1.0,1.0,,,3.0,,4.0,,,,1.0,,0.5702,1.0,1.0,1.0,1.0,,,,,,,,,
11450063,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,36.0,29.0,1.0,,14.0,15.0,24.0,1.0,,,7.0,,,,,83.0,54.0,7.9,10.0,0.0807656,1,,17.0,3.0,2.0,,8.0,1.0,2.0,1.0,2.0,,1.0,,2.0,1.0,,3.0,,,0.081,2.0,1.0,1.0,,True,,,,,,,,
11450063,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,M,88,88,False,27.0,23.0,2.0,1.0,9.0,9.0,22.0,4.0,1.0,1.0,6.0,,,,,90.0,51.0,7.1,15.0,0.0228958,1,,14.0,4.0,,,6.0,3.0,2.0,1.0,2.0,2.0,3.0,,,2.0,1.0,,,,0.1228,2.0,,1.0,,,2.0,1.0,,,,,,
