match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,captain,stat_wasFouled,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAShot,stat_goodHighClaim,stat_punches,stat_totalOffside
12764309,home,FC Midtjylland,Elías Ólafsson,,,elias-olafsson,E. Ólafsson,G,16,201,368,M,879183,EUR,952732800,G,16,16,False,30.0,14.0,25.0,9.0,0.0,10.0,13.0,4.0,17.0,1.0,14.0,5.0,8.0,1.0,1.0,90.0,46.0,8.8,16.0,0.00081197,0,0.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764309,home,FC Midtjylland,Kevin Mbabu,,,kevin-mbabu,K. Mbabu,D,43,184,780,M,227900,EUR,798249600,D,43,43,False,33.0,25.0,3.0,,0.0,18.0,21.0,8.0,15.0,4.0,7.0,,,,,83.0,62.0,6.9,21.0,0.279283,1,,3.0,1.0,1.0,1.0,7.0,6.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,0.094,1.0,,,,,,,,,,,,,,,,
12764309,home,FC Midtjylland,Ousmane Diao,,,diao-ousmane,O. Diao,D,4,187,1563,M,1465159,EUR,1086652800,D,4,4,False,44.0,35.0,10.0,4.0,0.0,30.0,35.0,5.0,9.0,5.0,6.0,,,,,90.0,61.0,7.7,12.0,0.00223892,2,,,,4.0,4.0,7.0,6.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,0.6941,,2.0,1.0,1.0,1.0,1.0,0.7454,,,,,,,,,,
12764309,home,FC Midtjylland,Mads Bech Sørensen,,,mads-bech-sorensen,M. B. Sørensen,D,22,189,283,M,1006409,EUR,915667200,D,22,22,False,34.0,29.0,5.0,3.0,0.0,23.0,24.0,6.0,11.0,4.0,2.0,,,,,90.0,48.0,7.2,11.0,0.0259776,0,,1.0,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,
12764309,home,FC Midtjylland,Joel Andersson,,,joel-andersson,J. Andersson,D,2,178,103,M,791954,EUR,847670400,D,6,6,False,60.0,51.0,10.0,4.0,0.0,22.0,23.0,29.0,40.0,4.0,9.0,,,,,90.0,81.0,7.6,16.0,0.0307254,0,,3.0,,2.0,1.0,3.0,5.0,,1.0,1.0,,1.0,3.0,3.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,
12764309,home,FC Midtjylland,Darío Osorio,Darío Osorio,,dario-osorio,D. Osorio,M,11,182,7928,M,1106824,EUR,1074902400,M,11,11,False,38.0,32.0,7.0,6.0,0.0,14.0,15.0,19.0,29.0,2.0,10.0,,,,,90.0,70.0,8.2,15.0,0.0435111,3,,6.0,1.0,1.0,,7.0,11.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,0.0807,1.0,2.0,,2.0,,,0.4544,,3.0,daariioo24,,,,,,,
12764309,home,FC Midtjylland,Oliver Sørensen,,,oliver-sorensen,O. Sørensen,M,22,184,642,M,957921,EUR,1015718400,M,24,24,False,18.0,16.0,,,0.0,7.0,8.0,9.0,10.0,,4.0,,,,,63.0,27.0,6.4,6.0,0.0201592,0,,,,1.0,,6.0,2.0,2.0,1.0,,,,1.0,,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,,,
12764309,home,FC Midtjylland,Emiliano Martínez,,,emiliano-martinez,E. Martínez,M,32,184,3839,M,973533,EUR,934848000,M,5,5,False,38.0,31.0,1.0,1.0,0.0,16.0,18.0,15.0,20.0,1.0,11.0,,,,,83.0,50.0,7.0,8.0,0.00842614,1,,,,2.0,2.0,7.0,5.0,,1.0,,1.0,4.0,3.0,3.0,,1.0,0.0623,1.0,3.0,,,,,,,,,,,,,,,
12764309,home,FC Midtjylland,Aral Şimşir,,,aral-simsir,A. Şimşir,M,58,167,1868,M,999186,EUR,1024444800,M,58,58,False,28.0,24.0,1.0,1.0,1.0,6.0,7.0,20.0,26.0,,1.0,,,,,71.0,52.0,7.1,19.0,0.512362,1,,5.0,2.0,,,8.0,4.0,3.0,6.0,1.0,1.0,,1.0,,4.0,,0.0269,2.0,,,,,,,,2.0,,2.0,,,,,,
12764309,home,FC Midtjylland,Adam Buksa,,,adam-buksa,A. Buksa,F,18,191,3747,M,1138856,EUR,837129600,F,18,18,False,21.0,13.0,1.0,1.0,0.0,4.0,4.0,9.0,17.0,1.0,1.0,,,,,90.0,46.0,6.5,17.0,0.0208388,4,,,,4.0,6.0,9.0,15.0,,2.0,2.0,2.0,1.0,2.0,,8.0,4.0,0.5224,,1.0,,2.0,,,0.7651,,5.0,AdamBuksa,,2.0,1.0,1.0,,,
