match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_shotOffTarget,player_firstName,player_lastName,stat_challengeLost,stat_dispossessed,stat_accurateCross,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork
14062009,away,TSG Hoffenheim,Robin Hranáč,robin-hranac,R. Hranáč,D,2,189,292,M,957615,EUR,949104000,D,2,2,False,30.0,25.0,4.0,1.0,0.0,14.0,17.0,11.0,13.0,2.0,,,,,,75.0,36.0,6.4,5.0,0.0106764,,0,,0.25,0.02,-0.08,,,,4.0,1.0,5.0,2.0,,,,5.0,,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,
14062009,away,TSG Hoffenheim,Koki Machida,koki-machida,K. Machida,D,28,190,1344,M,790977,EUR,872467200,D,28,28,False,36.0,32.0,8.0,4.0,0.0,21.0,21.0,11.0,15.0,2.0,,,,,,44.0,43.0,6.3,4.0,0.00945544,,0,,0.17,0.02,-0.24,,,,1.0,1.0,4.0,2.0,,,,2.0,1.0,1.0,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,
14062009,away,TSG Hoffenheim,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,13,13,False,49.0,37.0,7.0,4.0,0.0,18.0,22.0,19.0,27.0,5.0,,,,,,90.0,71.0,7.1,13.0,0.0171349,,0,,0.12,0.03,-0.07,,,1.0,1.0,2.0,2.0,8.0,1.0,,,1.0,2.0,5.0,4.0,,,,,1.0,,,1.0,,,,,,,,,,,,
14062009,away,TSG Hoffenheim,Wouter Burger,wouter-burger,W. Burger,M,18,190,820,M,916946,EUR,982281600,M,18,18,False,29.0,24.0,4.0,2.0,0.0,11.0,12.0,13.0,17.0,2.0,,,,,,45.0,32.0,6.3,6.0,0.0332946,,0,,0.0,0.02,-0.04,,,,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,
14062009,away,TSG Hoffenheim,Leon Avdullahu,avdullahu-leon,L. Avdullahu,M,7,185,842,M,1493305,EUR,1077494400,M,7,7,False,59.0,50.0,7.0,6.0,0.0,24.0,25.0,26.0,34.0,4.0,,,,,,90.0,65.0,6.8,12.0,0.0741603,,0,,0.28,0.01,0.16,,,,,,2.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14062009,away,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,M,27,27,False,31.0,26.0,2.0,,0.0,12.0,15.0,14.0,16.0,6.0,,,,,,90.0,47.0,6.8,9.0,0.0788851,,1,,-0.03,0.28,0.0,,andrejkramaric,4.0,2.0,,3.0,3.0,,1.0,,,1.0,,,3.0,0.0288,0.0688,-0.14,,,1.0,1.0,,,,,,,1.0,,,,,
14062009,away,TSG Hoffenheim,Fisnik Asllani,fisnik-asllani,F. Asllani,F,11,186,3700,M,1010117,EUR,1028764800,F,11,11,False,19.0,15.0,,,1.0,6.0,8.0,9.0,11.0,3.0,,,,,,90.0,31.0,7.8,6.0,0.0749858,,3,,0.14,0.19,-0.11,,,,4.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.1429,0.2803,0.47,,,,,2.0,1.0,,,3.0,1.0,,,,1.0,,
14062009,away,TSG Hoffenheim,Tim Lemperle,tim-lemperle,T. Lemperle,F,19,186,851,M,1014290,EUR,1012867200,F,19,19,False,17.0,12.0,,,0.0,5.0,5.0,7.0,12.0,3.0,,,,,,75.0,35.0,7.5,9.0,0.0293414,,2,,-0.25,0.01,-0.06,,,1.0,2.0,2.0,6.0,5.0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.1322,0.3033,0.53,,,4.0,1.0,,1.0,,,3.0,,1.0,,,,1.0,1.0
14062009,away,TSG Hoffenheim,Bazoumana Touré,bazoumana-toure,B. Touré,M,29,175,3686,M,1568123,EUR,1141257600,F,29,29,False,16.0,11.0,,,1.0,3.0,4.0,8.0,12.0,5.0,,,,,,90.0,34.0,6.4,12.0,0.0487808,,2,,-0.38,0.41,0.16,,,2.0,,,6.0,2.0,3.0,1.0,,,1.0,,,,0.0781,0.1497,-0.35,2.0,,4.0,3.0,1.0,1.0,Bazoumana Touré,,,2.0,2.0,,,,,
14062009,away,TSG Hoffenheim,Arthur Chaves,arthur-chaves,A. Chaves,D,34,187,470,M,1122806,EUR,980726400,D,35,35,True,14.0,11.0,4.0,2.0,0.0,7.0,9.0,4.0,5.0,,,,,,,46.0,20.0,6.6,3.0,0.00096858,,0,,0.07,0.03,0.17,,,,2.0,,3.0,,,,,4.0,,,,,,,,,,,1.0,,,Arthur Chaves,,,,,,,,,
14062009,away,TSG Hoffenheim,Umut Tohumcu,umut-tohumcu,U. Tohumcu,M,8,176,432,M,1083410,EUR,1092182400,M,17,17,True,14.0,12.0,2.0,2.0,0.0,9.0,11.0,3.0,3.0,5.0,,,,,,45.0,25.0,6.9,4.0,0.00112567,,1,,-0.01,0.05,0.23,,,1.0,1.0,,1.0,3.0,,,,1.0,,1.0,1.0,2.0,0.0517,,-0.11,,,1.0,,,1.0,Umut Tohumcu,,,,,,,,,
14062009,away,TSG Hoffenheim,Kevin Akpoguma,kevin-akpoguma,K. Akpoguma,D,25,192,335,M,187423,EUR,798249600,D,25,25,True,6.0,3.0,1.0,,0.0,2.0,4.0,1.0,2.0,,,,,,,15.0,11.0,6.8,3.0,0.00170066,,0,,0.03,,0.18,,,,,1.0,,2.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14062009,away,TSG Hoffenheim,Alexander Prass,alexander-prass,A. Prass,M,22,180,665,M,978062,EUR,990835200,D,22,22,True,5.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,2.0,,,,,,15.0,12.0,6.9,2.0,0.0109097,,0,,0.02,0.08,0.15,,,,,,2.0,3.0,,,,,,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,
14062009,away,TSG Hoffenheim,Grischa Prömel,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,,8.0,6.0,6.7,1.0,0.0082329,,0,,0.05,0.03,0.13,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14062009,away,TSG Hoffenheim,Luca Philipp,luca-philipp,L. Philipp,G,37,192,119,M,943550,EUR,975369600,G,37,37,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062009,away,TSG Hoffenheim,Muhammed Damar,muhammed-damar,M. Damar,M,10,185,484,M,1128638,EUR,1081468800,M,10,10,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062009,away,TSG Hoffenheim,David Mokwa,david-mokwa,D. Mokwa,F,42,181,161,M,1432398,EUR,1083542400,F,24,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Mokwa,,,,,,,,,
14062009,away,TSG Hoffenheim,Max Moerstedt,max-moerstedt,M. Moerstedt,F,33,194,1285,M,1418703,EUR,1137283200,F,33,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Moerstedt,,,,,,,,,
