match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,player_lastName,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_aerialWon,stat_dispossessed,stat_lastManTackle,stat_unsuccessfulTouch,stat_keyPass,stat_bigChanceCreated,stat_outfielderBlock,stat_totalCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_penaltyWon,stat_goals
14566983,home,Kairat Almaty,Sherkhan Kalmurza,Sherkhan Kalmurza,sherkhan-kalmurza,S. Kalmurza,G,82,187,7719,M,1584932,EUR,1181865600,G,82,82,False,23.0,14.0,14.0,6.0,0.0,12.0,15.0,2.0,8.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,90.0,40.0,6.0,9.0,0.0003744,20.34,5.22142,0.0,0.4372,0,-1.5089,-0.16,0.02,-0.83,0.0,3.48,1.57,0.14,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566983,home,Kairat Almaty,Erkin Tapalov,,erkin-tapalov,E. Tapalov,D,20,179,335,M,890314,EUR,747014400,D,20,20,False,16.0,10.0,3.0,,0.0,6.0,7.0,4.0,9.0,1.0,2.0,3.0,3.0,,1.0,,,,,,,,65.0,35.0,6.3,6.0,0.00770887,30.168,7.72599,13.0,,0,,-0.09,0.11,-0.25,,1.91,3.7,1.16,0.67,0.29,,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14566983,home,Kairat Almaty,Aleksandr Martynovich,,aleksandr-martynovich,A. Martynovich,D,14,192,436,M,56544,EUR,556934400,D,14,14,False,38.0,31.0,10.0,5.0,0.0,20.0,22.0,11.0,16.0,2.0,5.0,5.0,3.0,,,,,,,,,,90.0,54.0,6.4,9.0,0.0160709,30.42,10.5114,13.0,,0,,0.17,0.09,-0.25,,2.7,5.23,1.62,0.69,0.27,,1.0,2.0,4.0,1.0,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14566983,home,Kairat Almaty,Egor Sorokin,,egor-sorokin,E. Sorokin,D,80,189,283,M,603944,EUR,815443200,D,80,80,False,42.0,28.0,8.0,1.0,0.0,23.0,31.0,5.0,11.0,2.0,4.0,8.0,3.0,,1.0,,,,,,,,90.0,56.0,6.2,14.0,0.0899827,31.176,10.55769,15.0,,0,,0.26,0.26,-0.52,,2.75,5.14,1.66,0.7,0.31,,2.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14566983,home,Kairat Almaty,Luís Mata,,luis-mata,L. Mata,D,3,180,286,M,318947,EUR,868147200,D,3,3,False,40.0,33.0,6.0,1.0,0.0,22.0,25.0,11.0,15.0,1.0,3.0,1.0,6.0,,,,,,,,,,90.0,62.0,5.6,10.0,0.02013,30.672,10.96798,23.0,,3,,-0.04,0.04,-0.73,,2.81,5.01,1.65,1.03,0.47,,,1.0,2.0,,,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0577,0.0964,-0.11,,,,,,,
14566983,home,Kairat Almaty,Aleksandr Mrynskiy,Aleksandr Mrynskiy,aleksandr-mrynskiy,A. Mrynskiy,D,24,175,198,M,1101824,EUR,1089849600,M,24,24,False,16.0,12.0,2.0,,0.0,7.0,7.0,5.0,9.0,6.0,4.0,4.0,4.0,,,,,,,,,,90.0,35.0,6.2,9.0,0.0014558,30.384,11.26714,15.0,,0,,-0.13,0.01,-0.2,,2.83,5.35,1.84,0.91,0.34,,2.0,1.0,2.0,1.0,,1.0,1.0,,2.0,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,
14566983,home,Kairat Almaty,Ofri Arad,,arad-ofri,O. Arad,M,15,182,525,M,840780,EUR,905472000,M,15,15,False,27.0,23.0,1.0,1.0,0.0,9.0,10.0,14.0,17.0,6.0,5.0,,2.0,,2.0,3.0,,,,,,,64.0,39.0,6.5,6.0,0.0273975,28.98,7.93605,5.0,,1,,0.22,0.25,-0.16,,1.72,4.2,1.52,0.37,0.13,,1.0,1.0,2.0,1.0,,,,,2.0,,,,,2.0,1.0,1.0,1.0,,0.0215,,-0.13,,,,,,,
14566983,home,Kairat Almaty,Damir Kasabulat,,damir-kasabulat,D. Kasabulat,M,4,181,238,M,1184364,EUR,1030579200,M,4,4,False,18.0,12.0,4.0,3.0,0.0,5.0,7.0,7.0,11.0,5.0,2.0,2.0,1.0,,1.0,,,,,,,,90.0,32.0,6.3,8.0,0.0107915,30.312,11.22255,10.0,,0,,0.16,0.07,-0.37,,2.72,5.67,1.91,0.68,0.23,,3.0,2.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
14566983,home,Kairat Almaty,Valeriy Gromyko,,valeri-gromyko,V. Gromyko,M,55,177,540,M,797646,EUR,853977600,M,55,55,False,18.0,14.0,1.0,,0.0,10.0,10.0,4.0,8.0,8.0,5.0,1.0,7.0,,1.0,1.0,,,,,,,80.0,39.0,6.5,10.0,0.0600165,29.808,9.12467,12.0,,3,,0.08,0.19,-0.04,,2.52,4.24,1.45,0.67,0.25,,1.0,,4.0,4.0,,,3.0,,,1.0,,,3.0,3.0,,,1.0,1.0,0.0788,0.0947,-0.34,1.0,1.0,,,,,
14566983,home,Kairat Almaty,Jorginho,,jorge-gabriel-costa-monteiro,J. G. C. Monteiro,M,7,169,1144,M,913111,EUR,879033600,F,7,7,False,9.0,8.0,,,0.0,3.0,3.0,5.0,6.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,65.0,18.0,6.6,4.0,0.0154759,31.104,7.66875,12.0,,1,,0.01,-0.04,0.16,,2.04,3.55,1.21,0.6,0.27,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,1.0,,0.0196,,-0.15,,,,,,,
14566983,home,Kairat Almaty,Dastan Satpaev,Dastan Satpayev,dastan-satpayev,D. Satpayev,F,9,176,14337,M,1584939,EUR,1218499200,F,9,9,False,10.0,7.0,,,0.0,2.0,3.0,5.0,7.0,2.0,2.0,,2.0,,,1.0,,,,,,,80.0,23.0,6.4,6.0,0.00423732,30.132,8.96696,12.0,,3,,-0.04,0.05,-0.03,,2.49,4.35,1.26,0.62,0.25,,1.0,,1.0,1.0,,1.0,,,3.0,,,,1.0,,,,2.0,1.0,0.2564,0.1176,-0.51,1.0,,1.0,1.0,,,
14566983,home,Kairat Almaty,Olzhas Baibek,,olzhas-baibek,O. Baibek,M,17,181,224,M,1159611,EUR,1108080000,M,17,17,True,9.0,9.0,,,0.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,26.0,12.0,6.5,,0.00351858,28.98,3.69966,5.0,,0,,0.05,0.01,-0.1,,0.83,1.74,0.72,0.29,0.12,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14566983,home,Kairat Almaty,Jug Stanojev,,jug-stanojev,J. Stanojev,M,33,175,155,M,889106,EUR,933206400,M,33,33,True,10.0,8.0,1.0,1.0,0.0,6.0,7.0,2.0,3.0,,2.0,1.0,1.0,,,,,,,,,,25.0,13.0,6.5,3.0,0.00449019,29.268,3.45376,6.0,,0,,-0.03,0.08,-0.1,,0.92,1.5,0.59,0.31,0.13,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
14566983,home,Kairat Almaty,Edmilson,Edmilson,edmilson,Edmilson,F,26,190,464,M,1417710,EUR,861408000,F,26,26,True,6.0,5.0,,,0.0,1.0,1.0,4.0,5.0,4.0,2.0,,,,1.0,,,,,,,,25.0,10.0,6.5,3.0,0.00675259,26.316,3.08794,1.0,,0,,-0.01,0.07,-0.05,,0.89,1.53,0.47,0.18,0.03,,1.0,,,,,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,
