match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_keyPass,stat_wasFouled,player_firstName,player_lastName,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,captain,stat_dispossessed,stat_shotOffTarget,stat_goals,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine,stat_bigChanceMissed
10665950,home,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187,324,M,235686,EUR,654652800,G,18,18,False,29.0,22.0,10.0,4.0,18.0,22.0,4.0,7.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,90.0,45.0,6.6,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665950,home,Al-Shabab,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176,240,M,818572,EUR,830217600,D,27,27,False,26.0,20.0,3.0,2.0,14.0,18.0,6.0,9.0,,4.0,,2.0,,,,90.0,43.0,7.0,8.0,0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10665950,home,Al-Shabab,Iago Santos,iago-santos,I. Santos,D,4,188,76,M,584430,EUR,706492800,D,4,4,False,49.0,42.0,16.0,13.0,33.0,34.0,9.0,15.0,7.0,13.0,8.0,7.0,,,,90.0,67.0,8.1,7.0,1,,1.0,1.0,,1.0,,5.0,3.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10665950,home,Al-Shabab,Hassan Al Tambakti,hassan-al-tambakti,H. A. Tambakti,D,87,182,1188,M,881837,EUR,918518400,D,5,5,False,52.0,45.0,3.0,1.0,33.0,38.0,12.0,14.0,,2.0,4.0,2.0,,,,90.0,67.0,6.7,8.0,0,,,3.0,,1.0,3.0,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,
10665950,home,Al-Shabab,Moteb Al-Harbi,moteb-al-harbi,M. Al-Harbi,D,24,171,848,M,1022679,EUR,950918400,D,24,24,False,39.0,32.0,1.0,,13.0,16.0,20.0,26.0,,3.0,3.0,6.0,,,,89.0,57.0,7.4,11.0,0,3.0,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,
10665950,home,Al-Shabab,Husain Al-Qahtani,husain-al-monassar,H. Al-Qahtani,M,52,177,32,M,893218,EUR,787881600,M,15,15,False,57.0,53.0,2.0,1.0,23.0,23.0,30.0,34.0,,5.0,,7.0,,,,82.0,70.0,7.6,5.0,1,,1.0,1.0,,,1.0,3.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,
10665950,home,Al-Shabab,Grzegorz Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,4,187,2715,M,76227,EUR,633571200,M,23,23,False,71.0,60.0,3.0,1.0,40.0,44.0,20.0,27.0,,3.0,2.0,7.0,,,,90.0,81.0,6.8,11.0,0,,,2.0,1.0,1.0,3.0,1.0,,,1.0,,,,,,2.0,Grzegorz,Krychowiak,,,,,,,,,,,,
10665950,home,Al-Shabab,Éver Banega,ever-banega,É. Banega,M,11,174,1194,M,31981,EUR,583545600,M,10,10,False,90.0,76.0,8.0,5.0,34.0,38.0,43.0,56.0,,5.0,,6.0,,,,90.0,109.0,6.6,24.0,0,4.0,1.0,9.0,,,,2.0,1.0,,4.0,,4.0,2.0,,1.0,1.0,,,,1.0,,,True,2.0,,,,,,
10665950,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,10,177,565,M,789438,EUR,733190400,F,8,8,False,35.0,28.0,5.0,3.0,10.0,13.0,19.0,23.0,,1.0,,5.0,,,,65.0,44.0,7.3,10.0,1,1.0,2.0,7.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,2.0,1.0,,,,,
10665950,home,Al-Shabab,Santi Mina,santi-mina,S. Mina,F,,182,384,,306498,EUR,818294400,F,77,77,False,26.0,16.0,,,9.0,11.0,7.0,15.0,5.0,11.0,1.0,3.0,,,,89.0,38.0,7.8,11.0,4,,1.0,6.0,1.0,,,1.0,1.0,,5.0,1.0,1.0,1.0,,,4.0,,,,,,4.0,,,,1.0,,,,
