match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_aerialLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_challengeLost,player_firstName,player_lastName,stat_totalContest,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_keyPass,stat_penaltyMiss,stat_accurateCross,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_dispossessed,stat_bigChanceCreated,stat_goals,captain,stat_goalAssist,stat_goodHighClaim
10411410,home,Roma,Rui Patrício,rui-patricio,R. Patrício,G,190,3199,M,rpatricio1,17737,EUR,571881600,G,1,1,False,23.0,16.0,10.0,3.0,14.0,14.0,2.0,9.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,90.0,29.0,7.7,7.0,0.0,0.0,0.00046734,0,1.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411410,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,190,4038,M,,611210,EUR,829699200,D,23,23,False,40.0,29.0,4.0,,22.0,27.0,7.0,14.0,3.0,1.0,,,,,,90.0,47.0,6.6,12.0,0.2231,0.316,0.0036897,1,,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10411410,home,Roma,Chris Smalling,chris-smalling,C. Smalling,D,192,1660,M,,47741,EUR,627696000,D,6,6,False,25.0,24.0,1.0,,21.0,22.0,3.0,4.0,2.0,4.0,,,,,,90.0,35.0,7.2,2.0,0.0,0.0,0.394996,0,,5,1.0,1.0,1.0,4.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10411410,home,Roma,Diego Llorente,diego-llorente,D. Llorente,D,185,1146,M,,305278,EUR,745459200,D,14,14,False,48.0,40.0,5.0,2.0,35.0,38.0,5.0,10.0,1.0,2.0,,,,,,90.0,55.0,6.7,9.0,0.0,0.0,0.00353414,0,,3,,,3.0,1.0,,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
10411410,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,180,2880,M,,893008,EUR,856137600,M,19,19,False,24.0,18.0,2.0,,13.0,17.0,5.0,8.0,,4.0,,,,,,75.0,33.0,6.3,10.0,0.0,0.0,0.00541562,0,,19,1.0,,6.0,,,,,3.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10411410,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,186,2731,M,,186855,EUR,794188800,M,4,4,False,37.0,31.0,3.0,1.0,19.0,21.0,12.0,16.0,2.0,7.0,,,,,,90.0,56.0,6.9,7.0,0.9789,0.0,0.429602,2,,4,,2.0,6.0,9.0,,,,4.0,,1.0,7.0,5.0,,1.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
10411410,home,Roma,Georginio Wijnaldum,georginio-wijnaldum,G. Wijnaldum,M,175,8434,M,gwijnaldum,22126,EUR,658281600,M,25,25,False,17.0,13.0,,,4.0,5.0,10.0,14.0,,2.0,,,,,,60.0,23.0,6.9,6.0,0.0303,0.0579,0.512838,1,,8,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,,,,,,,,
10411410,home,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,178,5712,M,stewel92,45925,EUR,720144000,M,92,92,False,35.0,30.0,1.0,1.0,23.0,25.0,7.0,10.0,,4.0,,,,,,75.0,49.0,6.6,6.0,0.0244,0.0,0.0806035,2,,22,,,2.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,
10411410,home,Roma,Edoardo Bove,edoardo-bove,E. Bove,M,181,2073,M,,986352,EUR,1021507200,F,52,52,False,26.0,15.0,1.0,,9.0,12.0,6.0,15.0,,6.0,,,,,,90.0,36.0,7.5,13.0,0.2578,0.055,0.337149,1,,15,1.0,,7.0,4.0,1.0,,,3.0,,2.0,4.0,2.0,,3.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,
10411410,home,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,186,5687,M,lorepelle7,555540,EUR,835142400,F,7,7,False,20.0,15.0,3.0,3.0,4.0,5.0,14.0,24.0,2.0,3.0,,,,,,89.0,53.0,8.0,18.0,0.717,1.3139,0.191442,2,,7,9.0,,9.0,5.0,2.0,1.0,,3.0,2.0,1.0,1.0,,3.0,,,,1.0,2.0,,,,1.0,,3.0,1.0,,,4.0,,1.0,True,,
10411410,home,Roma,Andrea Belotti,andrea-belotti,A. Belotti,F,181,3521,M,gallobelotti,220223,EUR,756345600,F,11,11,False,12.0,7.0,2.0,,1.0,1.0,6.0,12.0,,1.0,,,,,,75.0,26.0,7.0,11.0,0.469,0.8996,0.193159,2,,19,1.0,3.0,7.0,5.0,1.0,,,,4.0,,,,2.0,,,,2.0,2.0,1.0,1.0,,3.0,,,,,1.0,1.0,1.0,,,1.0,
10411410,home,Roma,Nemanja Matić,nemanja-matic,N. Matić,M,194,3565,M,Mati,44241,EUR,586396800,M,8,8,True,14.0,13.0,2.0,2.0,9.0,10.0,4.0,4.0,1.0,4.0,,,,,,30.0,19.0,6.8,1.0,0.0,0.0,0.00164036,0,,18,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
10411410,home,Roma,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,185,3729,M,,148899,EUR,733017600,D,37,37,True,6.0,4.0,2.0,,3.0,4.0,2.0,4.0,,3.0,,,,,,15.0,12.0,6.7,5.0,0.0,0.0,0.106807,0,,37,2.0,,2.0,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,
10411410,home,Roma,Nicola Zalewski,nicola-zalewski,N. Zalewski,M,175,16244,M,nico_zale,984184,EUR,1011744000,M,59,59,True,5.0,3.0,,,2.0,3.0,1.0,2.0,1.0,2.0,,,,,,15.0,14.0,6.5,7.0,0.0,0.0,5.935e-05,0,,59,,,3.0,3.0,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,
10411410,home,Roma,Tammy Abraham,tammy-abraham,T. Abraham,F,195,19720,M,tammy_abraham,610766,EUR,875750400,F,9,9,True,5.0,2.0,1.0,,1.0,2.0,1.0,3.0,,3.0,,,,,,15.0,10.0,7.1,5.0,0.0632,0.1713,0.00013641,1,,18,,1.0,4.0,2.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,
