match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalCross,stat_aerialWon,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_penaltyConceded,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_shotOffTarget,player_sofascoreId,stat_goals,stat_bigChanceCreated,stat_outfielderBlock,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_penaltyMiss
14083310,home,Mallorca,Leo Román,,,leo-roman,L. Román,G,1,189,1557,M,1131909,EUR,962841600,G,1,1,False,31.0,23.0,18.0,10.0,0.0,15.0,16.0,8.0,15.0,3.0,8.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,90.0,47.0,9.4,8.0,0.00152246,1.3142,0,2.1691,0.06,-0.01,0.27,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083310,home,Mallorca,Mateu Morey,,,mateu-morey,M. Morey,D,2,171,594,M,879543,EUR,951955200,D,2,2,False,14.0,12.0,1.0,,0.0,6.0,8.0,6.0,6.0,3.0,4.0,,,,,,,,82.0,30.0,6.3,3.0,0.00205267,,0,,-0.04,0.04,-0.04,,1.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
14083310,home,Mallorca,Martin Valjent,,,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,39.0,37.0,1.0,1.0,0.0,21.0,22.0,16.0,17.0,10.0,1.0,,,,,,,,90.0,62.0,7.3,4.0,0.0113217,,1,,0.06,0.1,0.17,,,,7.0,,1.0,1.0,1.0,3.0,2.0,1.0,,,1.0,3.0,1.0,0.0167,0.0598,-0.07,,,,,,,,,,,,,,,
14083310,home,Mallorca,Antonio Raíllo,,,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,57.0,49.0,5.0,2.0,0.0,28.0,30.0,21.0,27.0,3.0,5.0,,,,,,,,90.0,66.0,6.4,9.0,0.0231156,,0,,0.12,0.13,-0.21,,2.0,2.0,4.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,True,1.0,1.0,,,,,,,,,,,,
14083310,home,Mallorca,Marash Kumbulla,,,marash-kumbulla,M. Kumbulla,D,4,191,1585,M,893642,EUR,949968000,D,4,4,False,20.0,16.0,3.0,1.0,0.0,10.0,13.0,6.0,7.0,1.0,,,,,,,,,36.0,23.0,6.9,5.0,0.00341089,,0,,0.04,0.0,0.25,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083310,home,Mallorca,Johan Mojica,,,johan-mojica,J. Mojica,D,22,185,3950,M,344847,EUR,714355200,D,22,22,False,36.0,28.0,8.0,4.0,0.0,9.0,11.0,19.0,25.0,2.0,8.0,,,,,,,,90.0,60.0,7.0,17.0,0.205733,,0,,0.38,0.04,-0.13,,,3.0,2.0,,,,,1.0,1.0,2.0,1.0,1.0,5.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,
14083310,home,Mallorca,Samú Costa,,,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,12,12,False,21.0,16.0,,,0.0,7.0,7.0,9.0,14.0,3.0,1.0,,,,,,,,67.0,31.0,6.7,6.0,0.00494943,,0,,0.07,-0.03,-0.01,,2.0,5.0,4.0,2.0,,,1.0,1.0,1.0,1.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,
14083310,home,Mallorca,Manu Morlanes,,,manu-morlanes,M. Morlanes,M,8,178,430,M,826004,EUR,916099200,M,8,8,False,33.0,29.0,3.0,1.0,0.0,15.0,16.0,14.0,17.0,2.0,7.0,,,,,,,,82.0,42.0,6.9,6.0,0.0118184,,0,,0.13,0.28,0.2,,1.0,3.0,5.0,2.0,,,1.0,3.0,3.0,2.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,
14083310,home,Mallorca,Sergi Darder,,,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,41.0,38.0,3.0,3.0,0.0,11.0,12.0,27.0,29.0,,4.0,,,,,,,,90.0,60.0,7.3,11.0,0.10548,,1,,0.27,0.27,0.13,,,1.0,2.0,,2.0,2.0,3.0,,,2.0,,,7.0,,,0.0189,,-0.07,,,1.0,2.0,1.0,1.0,,,,,,,,,
14083310,home,Mallorca,Takuma Asano,,,takuma-asano,T. Asano,M,11,173,2033,M,309546,EUR,784425600,F,11,11,False,6.0,5.0,,,0.0,4.0,5.0,1.0,1.0,,2.0,,,,,,,,68.0,13.0,6.1,5.0,0.00096071,,1,,-0.04,0.06,-0.01,,2.0,4.0,1.0,,1.0,,,,,2.0,,1.0,1.0,1.0,,0.1208,,-0.51,,,,,,,1.0,,,,,,,,
