match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,captain,stat_accurateCross,stat_fouls,stat_dispossessed,stat_blockedScoringAttempt,player_sofascoreId,stat_totalOffside,stat_challengeLost,stat_hitWoodwork,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
14065064,home,RB Leipzig,Péter Gulácsi,peter-gulacsi,P. Gulácsi,G,1,190,2361,M,37096,EUR,641952000,G,1,1,False,26.0,21.0,6.0,1.0,0.0,20.0,22.0,1.0,4.0,7.0,1.0,3.0,4.0,90.0,34.0,7.6,5.0,0.00026576,0.5299,0,0.5262,0.03,0.02,0.17,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065064,home,RB Leipzig,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,D,17,17,False,60.0,55.0,2.0,2.0,1.0,18.0,19.0,37.0,41.0,5.0,,,,89.0,86.0,8.8,10.0,0.812945,,1,,0.82,0.41,0.22,,,,1.0,1.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0914,0.33,3.0,-0.19,,,,,,,,,,,,,,,,,,,
14065064,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,63.0,60.0,3.0,1.0,0.0,31.0,31.0,29.0,32.0,,,,,90.0,83.0,7.9,5.0,0.024143,,0,,0.27,0.22,0.48,,,,,3.0,8.0,,,1.0,,,7.0,1.0,1.0,2.0,,,1.0,,3.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14065064,home,RB Leipzig,Castello Lukeba,castello-lukeba,C. Lukeba,D,23,184,2734,M,976421,EUR,1040083200,D,23,23,False,87.0,79.0,5.0,2.0,0.0,44.0,46.0,35.0,41.0,7.0,,,,90.0,104.0,7.9,10.0,0.0423558,,1,,0.32,0.26,0.54,,,,1.0,2.0,8.0,2.0,2.0,,,,5.0,1.0,1.0,1.0,0.2437,,,-0.56,2.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,
14065064,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,54.0,45.0,5.0,4.0,1.0,18.0,21.0,27.0,33.0,4.0,,,,90.0,84.0,8.2,16.0,0.517109,,0,,0.73,0.09,0.2,,,,9.0,1.0,2.0,1.0,1.0,,,,5.0,2.0,,1.0,,,5.0,,,,,,,,True,4.0,1.0,,,,,,,,,,
14065064,home,RB Leipzig,Ezechiel Banzuzi,ezechiel-banzuzi,E. Banzuzi,M,6,191,1087,M,1155383,EUR,1108512000,M,6,6,False,34.0,27.0,1.0,1.0,0.0,7.0,7.0,20.0,27.0,4.0,,,,67.0,45.0,6.7,10.0,0.0285164,,2,,0.03,0.07,0.19,,Ezechiel Banzuzi,,,2.0,3.0,1.0,1.0,,,1.0,3.0,,1.0,1.0,0.0641,0.1,,0.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,
14065064,home,RB Leipzig,Xaver Schlager,xaver-schlager,X. Schlager,M,24,174,1069,M,791079,EUR,875404800,M,24,24,False,63.0,61.0,,,0.0,20.0,20.0,41.0,43.0,7.0,,,,90.0,74.0,7.7,5.0,0.389127,,0,,0.53,0.26,0.19,,,,1.0,2.0,5.0,2.0,2.0,,,,1.0,1.0,2.0,,,,2.0,,1.0,1.0,,2.0,1.0,,,1.0,,1.0,,,,,,,,,
14065064,home,RB Leipzig,Johan Bakayoko,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,M,9,9,False,22.0,21.0,2.0,1.0,0.0,7.0,7.0,14.0,15.0,1.0,,,,67.0,36.0,6.7,8.0,0.0363475,,0,,-0.01,0.13,0.13,,Johan Bakayoko,,3.0,4.0,4.0,5.0,2.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,johanbakayoko,1.0,,,,,,
14065064,home,RB Leipzig,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2738,M,825956,EUR,933465600,M,14,14,False,27.0,16.0,1.0,,0.0,5.0,6.0,11.0,21.0,6.0,,,,85.0,44.0,7.7,14.0,0.0894939,,5,,0.0,0.35,-0.07,,,,,8.0,7.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,0.7084,0.375,2.0,0.47,2.0,3.0,,2.0,2.0,4.0,,,2.0,1.0,,,,3.0,1.0,1.0,,,
14065064,home,RB Leipzig,Antonio Nusa,nusa-antonio,A. Nusa,M,7,180,11508,M,1121923,EUR,1113696000,M,7,7,False,40.0,33.0,2.0,1.0,0.0,9.0,10.0,24.0,30.0,3.0,,,,90.0,68.0,6.9,18.0,0.0601825,,2,,0.07,0.48,0.13,,,,4.0,5.0,7.0,5.0,2.0,,,,,2.0,4.0,2.0,0.1317,,,-0.57,,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,nusaantonio,,,,,,,
