match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialWon,stat_dispossessed,stat_outfielderBlock,stat_lastManTackle,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wonContest,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_bigChanceCreated
11450122,home,Antalyaspor,Helton Leite,,,helton-leite,H. Leite,G,23,196,372,M,329081,EUR,657504000,G,1,1,False,33.0,27.0,15.0,9.0,24.0,25.0,3.0,8.0,1.0,6.0,1.0,2.0,5.0,90.0,43.0,7.2,6.0,0.00052182,0,-0.1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450122,home,Antalyaspor,Erdoğan Yeşilyurt,,,erdogan-yesilyurt,E. Yeşilyurt,D,17,178,77,M,142541,EUR,752544000,D,17,17,False,48.0,36.0,4.0,3.0,17.0,20.0,21.0,31.0,3.0,4.0,1.0,,,90.0,86.0,6.7,22.0,0.205242,1,,3.0,2.0,2.0,9.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0433,0.1087,2.0,,,,,,,,,,,,,,
11450122,home,Antalyaspor,Veysel Sarı,,,veysel-sari,V. Sarı,D,89,185,109,M,98276,EUR,585792000,D,89,89,False,67.0,56.0,9.0,2.0,38.0,41.0,18.0,26.0,4.0,8.0,,,,90.0,82.0,6.5,12.0,0.00539339,0,,,,4.0,8.0,2.0,,,5.0,6.0,1.0,1.0,,1.0,,,,True,3.0,1.0,,,,,,,,,,,
11450122,home,Antalyaspor,Bahadır Öztürk,,,bahadir-ozturk,B. Öztürk,D,5,185,36,M,790783,EUR,812505600,D,3,3,False,55.0,46.0,4.0,3.0,40.0,43.0,6.0,12.0,9.0,7.0,3.0,,,90.0,74.0,7.0,10.0,0.00206318,0,,,,1.0,4.0,,,,6.0,,3.0,1.0,,2.0,,,,,4.0,1.0,1.0,1.0,,,,,,,,,
11450122,home,Antalyaspor,Güray Vural,,,guray-vural,G. Vural,D,77,177,69,M,43559,EUR,581990400,D,11,11,False,39.0,32.0,3.0,1.0,20.0,22.0,12.0,19.0,2.0,3.0,,,,90.0,59.0,7.3,9.0,0.00831616,4,,2.0,,,,,,1.0,4.0,5.0,1.0,1.0,,,0.129,0.2282,2.0,,1.0,,,,2.0,1.0,,,,,,,
11450122,home,Antalyaspor,Jakub Kałuziński,,,jakub-kaluzinski,J. Kałuziński,M,18,185,896,M,1019026,EUR,1036022400,M,18,18,False,67.0,54.0,3.0,2.0,32.0,36.0,22.0,31.0,5.0,5.0,1.0,,,90.0,81.0,7.1,16.0,0.0209093,2,,,,1.0,4.0,2.0,,,1.0,1.0,2.0,1.0,3.0,1.0,0.0762,,,,2.0,,1.0,,2.0,,,,,,,,
11450122,home,Antalyaspor,Sam Larsson,,,sam-larsson,S. Larsson,M,23,179,231,M,229800,EUR,734400000,M,10,10,False,27.0,17.0,2.0,2.0,5.0,7.0,13.0,23.0,3.0,6.0,,,,90.0,49.0,7.0,16.0,0.0789187,4,,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0595,0.0636,1.0,,,,,,1.0,2.0,1.0,,,,,,
11450122,home,Antalyaspor,Ramzi Safuri,,,ramzi-safuri,R. Safuri,M,8,184,208,M,186949,EUR,814233600,M,16,16,False,25.0,20.0,1.0,1.0,4.0,7.0,16.0,23.0,7.0,4.0,3.0,,,80.0,46.0,6.8,14.0,0.0421968,1,,5.0,,1.0,7.0,2.0,4.0,,1.0,1.0,1.0,,2.0,2.0,0.0161,,1.0,,,1.0,,,1.0,,3.0,,,,,,
11450122,home,Antalyaspor,Dario Šarić,,,dario-saric,D. Šarić,M,88,180,555,M,848385,EUR,864950400,M,8,8,False,34.0,27.0,2.0,2.0,9.0,12.0,18.0,23.0,2.0,9.0,1.0,,,80.0,44.0,6.7,10.0,0.0182128,0,,1.0,,1.0,3.0,,2.0,,3.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,
11450122,home,Antalyaspor,Zymer Bytyqi,,,zymer-bytyqi,Z. Bytyqi,M,,176,255,M,226784,EUR,842400000,M,77,77,False,16.0,11.0,1.0,1.0,4.0,6.0,7.0,14.0,1.0,2.0,1.0,,,84.0,25.0,7.0,12.0,0.0208759,1,,4.0,,1.0,3.0,,,,,,,,2.0,1.0,0.0867,,2.0,,,1.0,,,1.0,,,,,,,,
