match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_accurateCross,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_fouls,stat_dispossessed,stat_outfielderBlock,stat_penaltyConceded,player_sofascoreId,captain,stat_bigChanceMissed,stat_errorLeadToAShot,stat_goals,stat_bigChanceCreated,stat_goalAssist,stat_penaltyWon
10433807,home,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,21.0,16.0,7.0,3.0,14.0,16.0,2.0,5.0,1.0,1.0,2.0,11.0,1.0,2.0,2.0,2.0,1.0,1.0,90.0,34.0,6.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433807,home,Hatayspor,Sadik Bas,sadik-bas,S. Bas,D,,180,4,M,859172,EUR,768614400,D,77,77,False,41.0,32.0,5.0,1.0,18.0,20.0,14.0,25.0,1.0,1.0,,8.0,,,,,,,63.0,55.0,6.6,14.0,0,4.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10433807,home,Hatayspor,Recep Burak Yılmaz,recep-burak-yilmaz,R. B. Yılmaz,D,15,185,31,M,904172,EUR,817430400,D,15,15,False,79.0,75.0,2.0,,46.0,47.0,29.0,33.0,1.0,1.0,4.0,4.0,,,,,,,90.0,95.0,6.3,6.0,0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10433807,home,Hatayspor,Burak Öksüz,burak-oksuz,B. Öksüz,D,53,185,10,M,816313,EUR,822528000,D,53,53,False,61.0,48.0,10.0,3.0,31.0,36.0,17.0,26.0,2.0,,3.0,4.0,,,,,,,90.0,75.0,6.4,15.0,1,1.0,3.0,4.0,,,1.0,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,
10433807,home,Hatayspor,Sam Adekugbe,sam-adekugbe,S. Adekugbe,D,3,175,285,M,362042,EUR,790214400,D,23,23,False,29.0,29.0,2.0,2.0,15.0,15.0,15.0,17.0,,,,2.0,,,,,,,45.0,38.0,6.3,3.0,0,3.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
10433807,home,Hatayspor,Mehdi Boudjemaa,mehdi-boudjemaa,M. Boudjemaa,M,4,182,595,M,960088,EUR,891907200,M,8,8,False,30.0,26.0,1.0,1.0,9.0,9.0,17.0,23.0,3.0,,,8.0,,,,,,,62.0,43.0,7.0,7.0,2,2.0,,6.0,1.0,1.0,2.0,2.0,1.0,,1.0,3.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,
10433807,home,Hatayspor,Rúben Ribeiro,ruben-ribeiro,R. Ribeiro,F,,175,56,M,44653,EUR,554774400,M,7,7,False,76.0,72.0,9.0,7.0,34.0,36.0,39.0,42.0,7.0,,2.0,10.0,,,,,,,90.0,98.0,7.0,10.0,1,2.0,,6.0,,,4.0,3.0,1.0,2.0,,2.0,1.0,,,,1.0,,1.0,,2.0,4.0,1.0,,,,,,,,,
10433807,home,Hatayspor,Onur Ergün,onur-ergun,O. Ergün,M,4,185,46,M,893009,EUR,721785600,M,4,4,False,31.0,30.0,1.0,1.0,12.0,13.0,19.0,19.0,2.0,,,4.0,,,,,,,45.0,40.0,6.8,3.0,1,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
10433807,home,Hatayspor,Saba Lobjanidze,saba-lobjanidze,S. Lobjanidze,M,9,175,887,M,286923,EUR,787708800,F,11,11,False,29.0,26.0,1.0,,5.0,5.0,21.0,32.0,4.0,1.0,,3.0,,,,,,,90.0,53.0,6.0,18.0,2,8.0,,2.0,4.0,1.0,1.0,1.0,,,4.0,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,
10433807,home,Hatayspor,Ayoub El Kaabi,ayoub-el-kaabi,A. E. Kaabi,F,9,182,28006,M,919793,EUR,740966400,F,25,25,False,13.0,9.0,,,4.0,4.0,5.0,9.0,6.0,,,1.0,,,,,,,90.0,18.0,6.4,5.0,3,,2.0,2.0,,,,,,,,,5.0,1.0,,,,1.0,1.0,1.0,,1.0,,,ayoub_elkaabii,True,1.0,,,,,
