match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,from,id,isHome,incidentClass,player_id,player_name,length,playerName,reason,rescinded,injury,confirmed
10433807,FT,0.0,4.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10433807,,0.0,4.0,,90,,,1,,,goal,penalty,165776757.0,False,penalty,49351.0,Mario Gavranović,,,,,,
10433807,,,,,90,0.0,,1,,,injuryTime,,,,,,,3.0,,,,,
10433807,,,,,89,,,2,,,card,,120460693.0,True,red,201918.0,Simon Falette,,Simon Falette,Professional foul last man,False,,
10433807,,0.0,3.0,,87,,,4,,,goal,,165776684.0,False,regular,47568.0,Andrea Bertolacci,,,,,,
10433807,,,,,84,,,7,,,substitution,,121314988.0,False,regular,,,,,,,False,
10433807,,,,,80,,,11,,,substitution,,121314970.0,False,regular,,,,,,,False,
10433807,,,,,79,,,12,,,substitution,,121314969.0,False,regular,,,,,,,False,
10433807,,,,,75,,,16,,,card,,120460638.0,False,yellow,825850.0,Bilal Bayazit,,Bilal Bayazit,Time wasting,False,,
10433807,,,,,64,,,27,,,substitution,,121314913.0,False,regular,,,,,,,False,
10433807,,,,,63,,,28,,,substitution,,121314912.0,True,regular,,,,,,,False,
10433807,,,,,63,,,28,,,substitution,,121314911.0,True,regular,,,,,,,False,
10433807,,,,,62,,,29,,,substitution,,121314910.0,True,regular,,,,,,,False,
10433807,,,,,46,,,45,,,substitution,,121314830.0,True,regular,,,,,,,False,
10433807,,,,,46,,,45,,,substitution,,121314829.0,True,regular,,,,,,,False,
10433807,,,,,46,,,45,,,substitution,,121314831.0,False,regular,,,,,,,False,
10433807,HT,0.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10433807,,0.0,2.0,,44,,,2,,,goal,,165774965.0,False,regular,344009.0,Miguel Cardoso,,,,,,
10433807,,0.0,1.0,,5,,,41,,,goal,penalty,165774102.0,False,penalty,546220.0,Bernard Mensah,,,,,,
10433807,,,,,3,,,43,,,varDecision,,13275.0,False,penaltyNotAwarded,781408.0,Ramazan Civelek,,,,,,False
