match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keyPass,stat_shotValueNormalized,stat_dribbleValueNormalized,stat_aerialWon,stat_challengeLost,stat_goals,stat_wasFouled,stat_dispossessed,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_outfielderBlock
14288984,home,Estoril Praia,Joel Robles,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,1,1,False,11.0,10.0,1.0,0.0,10.0,10.0,1.0,1.0,8.0,3.0,3.0,90.0,21.0,6.2,1.0,3.656e-05,0.0177,0,-0.385,-0.01,-0.09,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288984,home,Estoril Praia,Ricard Sánchez,ricard-sanchez,R. Sánchez,D,2,175,157,M,986726,EUR,951177600,D,2,2,False,43.0,38.0,2.0,0.0,13.0,14.0,29.0,3.0,5.0,,,90.0,73.0,6.7,9.0,0.0668794,,3,,0.4,-0.33,,,,2.0,25.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0705,0.1973,125.41970698772,19.0,30.163104709901,1.0,-0.18,0.12,,,,,,,,,,,,,,
14288984,home,Estoril Praia,Ferro,ferro,Ferro,D,4,193,693,M,357734,EUR,859334400,D,4,4,False,57.0,52.0,4.0,0.0,34.0,35.0,22.0,6.0,4.0,,,83.0,68.0,7.9,6.0,0.0103934,,1,,0.15,-0.31,,,,1.0,18.0,,,,1.0,4.0,,,,1.0,,,1.0,1.0,,,0.1859,0.611,82.461757776906,14.0,33.72236206721,,0.51,0.06,3.0,1.0,1.0,,,,,,,,,,,
14288984,home,Estoril Praia,Felix Bacher,felix-bacher,F. Bacher,D,25,190,92,M,943525,EUR,972432000,D,25,25,False,91.0,83.0,4.0,0.0,44.0,44.0,47.0,2.0,1.0,,,90.0,98.0,6.7,10.0,0.014464,,0,,0.26,-0.31,,,,1.0,39.0,,,2.0,3.0,5.0,,,,,,,,,2.0,1.0,,,287.43353754002,43.0,183.2428207519,,,0.19,3.0,,,2.0,,,,,,,,,,
14288984,home,Estoril Praia,Pedro Amaral,amaral-pedro,P. Amaral,D,24,178,86,M,834247,EUR,872467200,D,24,24,False,60.0,53.0,1.0,0.0,24.0,25.0,35.0,4.0,6.0,,,83.0,79.0,6.2,10.0,0.0241399,,1,,-0.04,-0.28,,,,,29.0,3.0,,,2.0,2.0,,,,1.0,,2.0,,,,2.0,0.0126,0.051,149.99086461447,23.0,27.386791305166,1.0,0.0,-0.09,1.0,,,2.0,,,,,,,,,,
14288984,home,Estoril Praia,Pizzi,pizzi,Pizzi,M,21,179,1284,M,77725,EUR,623635200,M,21,21,False,46.0,41.0,,2.0,15.0,17.0,29.0,,2.0,,,55.0,52.0,6.9,8.0,0.19904,,0,,0.26,-0.21,,,,,26.0,2.0,1.0,1.0,4.0,,1.0,,,,,,,,1.0,1.0,,,106.02914890291,14.0,56.536527944898,2.0,,0.05,,1.0,,,,,,,,,,,,
14288984,home,Estoril Praia,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,10,10,False,140.0,121.0,15.0,0.0,49.0,51.0,89.0,,5.0,,,90.0,158.0,7.8,26.0,0.0525859,,0,,0.38,-0.11,,,,11.0,72.0,4.0,,,2.0,6.0,1.0,1.0,,,,3.0,4.0,3.0,2.0,,,,392.14439657496,46.0,190.13241141234,2.0,,0.34,1.0,1.0,,,1.0,16.676346759171,19.009027434353,1.0,,,,,,
14288984,home,Estoril Praia,João Carvalho,joao-carvalho,J. Carvalho,F,12,170,372,M,548044,EUR,857865600,M,12,12,False,63.0,53.0,6.0,0.0,19.0,22.0,41.0,,6.0,,,90.0,79.0,7.8,16.0,0.0908583,,2,,0.18,-0.07,,,,2.0,34.0,,,,5.0,6.0,6.0,3.0,,1.0,1.0,,2.0,2.0,1.0,,0.0617,0.147,180.22939747649,22.0,131.22778392657,1.0,0.55,0.26,,,1.0,1.0,2.0,14.030117136896,51.789633326528,3.0,True,,,,,
14288984,home,Estoril Praia,Yanis Begraoui,yanis-begraoui,Y. Begraoui,F,14,175,1812,M,930246,EUR,994204800,F,14,14,False,31.0,26.0,1.0,0.0,9.0,9.0,22.0,,4.0,,,90.0,42.0,6.4,11.0,0.323399,,3,,0.18,-0.01,,,,,17.0,2.0,,2.0,6.0,3.0,3.0,1.0,3.0,,,,,,1.0,1.0,0.0863,,174.27654440197,21.0,63.218420953231,1.0,-0.55,0.2,1.0,,,1.0,1.0,13.877895400007,55.417567684092,5.0,,1.0,,,,
14288984,home,Estoril Praia,Rafik Guitane,rafik-guitane,R. Guitane,F,99,170,2125,M,826210,EUR,927676800,F,99,99,False,48.0,40.0,,0.0,8.0,8.0,40.0,,1.0,,,90.0,78.0,7.2,20.0,0.037696,,3,,-0.06,-0.09,,,,,32.0,1.0,,1.0,12.0,9.0,11.0,5.0,1.0,2.0,,,3.0,2.0,1.0,,0.1263,0.528,203.21163086732,28.0,99.348884663254,2.0,0.26,0.19,,2.0,,1.0,3.0,14.981948142697,77.883055020391,5.0,,,1.0,1.0,,
14288984,home,Estoril Praia,Alejandro Marqués,alejandro-marques,A. Marqués,F,9,189,759,M,929894,EUR,965347200,F,9,9,False,14.0,11.0,,0.0,3.0,3.0,11.0,1.0,1.0,,,74.0,22.0,6.4,6.0,0.0222441,,1,,-0.12,0.16,,,,,8.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,1.0,,0.0685,,38.740240179613,6.0,-3.5720581704857,1.0,-0.15,0.15,,,,,,,,,,,,,,
14288984,home,Estoril Praia,Jandro Orellana,jandro-orellana,J. Orellana,M,6,178,224,M,877920,EUR,965606400,M,6,6,True,38.0,29.0,1.0,0.0,14.0,16.0,22.0,,2.0,,,35.0,42.0,6.9,9.0,0.0137571,,0,,-0.19,0.18,,,,1.0,15.0,,,,,3.0,,,,,,1.0,3.0,2.0,,,,,85.140635423343,8.0,55.875922340459,,,0.23,,,,,,14.758591428856,33.426855501496,2.0,,,,,,
14288984,home,Estoril Praia,Peixinho,peixinho,Peixinho,F,70,185,27,M,1513647,EUR,1085270400,F,70,70,True,14.0,12.0,,0.0,5.0,5.0,9.0,,1.0,,,16.0,19.0,6.3,5.0,0.00361541,,1,,-0.08,0.0,,,,,7.0,,,,1.0,1.0,,,1.0,,,,,,3.0,1.0,0.1278,,65.42088698465,9.0,41.924772497422,,-0.54,0.05,,,,1.0,,,,,,,,,1.0,
14288984,home,Estoril Praia,Antef Tsoungui,tsoungui-antef,A. Tsoungui,D,5,185,223,M,994532,EUR,1041206400,D,5,5,True,4.0,4.0,,0.0,3.0,3.0,1.0,,,,,12.0,6.0,6.5,1.0,0.00017781,,0,,0.01,0.0,,,,,1.0,,,1.0,3.0,,,,,,,,,,,1.0,,,5.9656215937654,1.0,4.1154136670515,,,0.01,,,,,1.0,,,,,,,,,
14288984,home,Estoril Praia,Gonçalo Costa,goncalo-costa,G. Costa,D,20,170,81,M,1087354,EUR,950832000,D,20,20,True,9.0,7.0,,0.0,2.0,3.0,6.0,,,,,12.0,17.0,6.7,5.0,0.0113098,,0,,0.15,0.13,,,,,5.0,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,44.975966896718,5.0,24.82786835975,,,0.03,,,,,,,,,,,,,,
14288984,home,Estoril Praia,Martin Turk,martin-turk,M. Turk,G,16,190,240,M,1083104,EUR,1061424000,G,16,16,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288984,home,Estoril Praia,Pedro Carvalho,carvalho-pedro,P. Carvalho,D,22,169,64,M,1511977,EUR,1045180800,D,22,22,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288984,home,Estoril Praia,Nodar Lominadze,nodar-lominadze,N. Lominadze,M,7,194,295,M,1001313,EUR,1017878400,M,7,7,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288984,home,Estoril Praia,Xeka,xeka,Xeka,M,8,186,229,M,858705,EUR,784425600,M,8,8,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
