match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_dispossessed,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_accurateCross,player_sofascoreId,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_outfielderBlock,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalAssist,stat_bigChanceCreated
10382231,home,SC Heerenveen,Xavier Mous,,,xavier-mous,X. Mous,G,188,36,352328,EUR,807494400,G,1,1,False,17.0,11.0,9.0,3.0,9.0,11.0,2.0,6.0,3.0,1.0,1.0,90.0,18.0,5.3,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382231,home,SC Heerenveen,Milan van Ewijk,,,milan-van-ewijk,M. v. Ewijk,D,175,699,948723,EUR,968371200,D,27,27,False,63.0,49.0,7.0,4.0,17.0,20.0,32.0,46.0,9.0,,,90.0,84.0,6.7,20.0,2,27,M,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10382231,home,SC Heerenveen,Jeffrey Bruma,,,jeffrey-bruma,J. Bruma,D,190,56,87223,EUR,689990400,D,25,25,False,70.0,66.0,3.0,2.0,41.0,42.0,25.0,28.0,11.0,,,90.0,74.0,6.1,6.0,0,,M,,1.0,3.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10382231,home,SC Heerenveen,Paweł Bochniewicz,,,pawel-bochniewicz,P. Bochniewicz,D,194,794,286097,EUR,822960000,D,5,5,False,74.0,64.0,11.0,8.0,37.0,38.0,27.0,36.0,9.0,,,90.0,86.0,6.5,12.0,2,4,M,,6.0,4.0,9.0,,,1.0,,2.0,2.0,1.0,1.0,,1.0,,True,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
10382231,home,SC Heerenveen,Mats Köhlert,,,mats-kohlert,M. Köhlert,D,168,173,794998,EUR,894067200,D,7,7,False,50.0,48.0,2.0,2.0,17.0,18.0,32.0,36.0,4.0,,,81.0,66.0,6.7,7.0,1,27,M,4.0,2.0,2.0,5.0,2.0,2.0,1.0,,,,1.0,1.0,3.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,
10382231,home,SC Heerenveen,Thom Haye,,,thom-haye,T. Haye,M,187,10984,149666,EUR,792288000,M,33,33,False,74.0,68.0,8.0,7.0,32.0,33.0,37.0,47.0,10.0,,,90.0,99.0,7.6,11.0,4,33,M,6.0,,2.0,8.0,1.0,1.0,2.0,1.0,5.0,4.0,,1.0,,,,,1.0,1.0,,1.0,2.0,1.0,thomhaye,1.0,,,,,,,,
10382231,home,SC Heerenveen,Simon Olsson,,,simon-olsson,S. Olsson,M,185,159,850851,EUR,874195200,M,19,19,False,56.0,44.0,4.0,2.0,12.0,14.0,32.0,42.0,5.0,,,83.0,68.0,6.6,13.0,2,10,M,,,5.0,4.0,1.0,,,2.0,3.0,2.0,,1.0,,,,,3.0,,,,1.0,,,,,,,,,,,
10382231,home,SC Heerenveen,Ché Nunnely,Ché,Nunnely,che-nunnely,C. Nunnely,M,170,190,825841,EUR,918086400,M,24,24,False,39.0,32.0,1.0,,7.0,8.0,27.0,35.0,5.0,,,81.0,59.0,7.2,15.0,3,11,M,4.0,2.0,3.0,5.0,2.0,2.0,1.0,,,,5.0,1.0,4.0,,,,2.0,2.0,,1.0,1.0,2.0,,,2.0,,,,,,,
10382231,home,SC Heerenveen,Rami Al Hajj,,,rami-al-hajj,R. Al Hajj,M,180,219,978289,EUR,1000684800,M,22,22,False,45.0,37.0,1.0,,8.0,10.0,29.0,35.0,5.0,,,70.0,60.0,7.4,11.0,5,22,M,,,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,,2.0,,,,1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,
10382231,home,SC Heerenveen,Osame Sahraoui,,,osame-sahraoui,O. Sahraoui,M,170,7357,965357,EUR,992217600,M,20,20,False,35.0,32.0,,,5.0,5.0,27.0,32.0,5.0,,,70.0,62.0,7.1,15.0,1,11,M,2.0,2.0,8.0,14.0,10.0,7.0,,1.0,1.0,1.0,4.0,,2.0,1.0,3.0,,1.0,,,,4.0,,osamesahraoui,,,,,,,,,
10382231,home,SC Heerenveen,Sydney van Hooijdonk,Sydney,van Hooijdonk,sydney-van-hooijdonk,S. v. Hooijdonk,F,190,703,943595,EUR,949795200,F,17,17,False,16.0,12.0,1.0,1.0,6.0,7.0,6.0,9.0,,,,90.0,29.0,7.3,7.0,2,20,M,,1.0,5.0,4.0,1.0,,1.0,1.0,,,1.0,,1.0,2.0,1.0,,1.0,,1.0,,3.0,,,,,1.0,1.0,,,,,
10382231,home,SC Heerenveen,Antoine Colassin,,,antoine-colassin,A. Colassin,F,188,181,909965,EUR,983145600,F,29,29,True,11.0,8.0,1.0,,3.0,3.0,5.0,8.0,1.0,,,20.0,15.0,6.3,4.0,0,25,M,,,2.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,
10382231,home,SC Heerenveen,Pelle van Amersfoort,,,pelle-van-amersfoort,P. v. Amersfoort,F,193,129,318585,EUR,828316800,M,11,11,True,7.0,3.0,1.0,,,1.0,3.0,7.0,2.0,,,20.0,10.0,6.5,5.0,1,9,M,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10382231,home,SC Heerenveen,Alex Timossi Andersson,,,alex-timossi-andersson,A. T. Andersson,D,170,90,876303,EUR,979862400,F,8,8,True,1.0,,,,,,,2.0,,,,9.0,6.0,6.4,3.0,2,21,M,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,
10382231,home,SC Heerenveen,Rami Kaib,,,rami-kaib,R. Kaib,M,178,374,834724,EUR,863049600,D,13,13,True,5.0,3.0,,,1.0,2.0,2.0,5.0,2.0,,,9.0,13.0,6.4,5.0,1,24,M,2.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
