match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalTackle,stat_shotOffTarget,stat_goals,stat_wonTackle,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalOffside
11409196,home,Chaves,Hugo Souza,hugo-souza,H. Souza,G,1,199,25668,M,hugosouza,950454,EUR,917740800,G,1,1,False,34.0,31.0,6.0,3.0,30.0,30.0,1.0,4.0,7.0,1.0,90.0,39.0,6.1,3.0,0.0,0.0,0.00030788,0,-1.4306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409196,home,Chaves,João Correia,joao-correia,J. Correia,M,77,175,850,M,,804272,EUR,841881600,D,77,77,False,39.0,24.0,6.0,1.0,12.0,18.0,13.0,30.0,8.0,,90.0,81.0,6.7,32.0,0.0921,0.0438,0.00917452,1,,,,True,9.0,1.0,3.0,2.0,8.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,,,,,,,,,,,,
11409196,home,Chaves,Bruno Rodrigues,bruno-rodrigues,B. Rodrigues,D,4,192,51,M,,1021100,EUR,991958400,D,4,4,False,84.0,72.0,10.0,5.0,46.0,48.0,26.0,36.0,5.0,,90.0,95.0,6.7,13.0,0.0068,0.0377,0.00718503,1,,,,,,,1.0,3.0,2.0,5.0,,,,,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
11409196,home,Chaves,Ygor Nogueira,ygor-nogueira,Y. Nogueira,D,40,187,112,M,,757980,EUR,796262400,D,3,3,False,80.0,69.0,11.0,4.0,56.0,59.0,13.0,21.0,6.0,,90.0,88.0,6.7,11.0,0.0196,0.0,0.00480637,1,,,,,,,3.0,3.0,3.0,3.0,,,,,,5.0,1.0,1.0,,,,,1.0,,,,,,,,,,
11409196,home,Chaves,Bruno Langa,bruno-langa,B. Langa,D,24,178,2435,M,,987490,EUR,878256000,D,5,5,False,30.0,20.0,9.0,6.0,3.0,5.0,18.0,27.0,8.0,,86.0,52.0,7.7,14.0,0.0738,0.2538,0.0425821,2,,,,,2.0,1.0,1.0,2.0,3.0,6.0,1.0,,,,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
11409196,home,Chaves,Thibang Phete,thibang-phete,T. Phete,M,5,186,54,M,,806516,EUR,765417600,M,6,6,False,37.0,33.0,7.0,5.0,20.0,20.0,13.0,17.0,5.0,,68.0,43.0,6.8,5.0,0.0,0.0,0.00582824,0,,,,,,,1.0,1.0,4.0,1.0,,1.0,,,,,,1.0,,1.0,2.0,,,,,1.0,,,,,,,
11409196,home,Chaves,Kelechi Nwakali,kelechi-nwakali,K. Nwakali,M,50,181,305,M,,822472,EUR,897004800,M,28,28,False,74.0,65.0,18.0,14.0,33.0,34.0,33.0,43.0,7.0,,90.0,96.0,7.5,14.0,0.0,0.0,0.104456,0,,,,,3.0,1.0,,1.0,6.0,10.0,2.0,1.0,3.0,2.0,,1.0,,1.0,,4.0,2.0,3.0,,,2.0,3.0,,,,,,,
11409196,home,Chaves,Bernardo Sousa,bernardo-sousa,B. Sousa,F,77,178,72,M,,1087371,EUR,954115200,M,7,7,False,9.0,5.0,,,1.0,2.0,5.0,10.0,1.0,,45.0,15.0,6.4,9.0,0.0,0.0,0.0221584,0,,,,,3.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
11409196,home,Chaves,Rúben Lameiras,ruben-lameiras,R. Lameiras,M,22,175,78,M,,793154,EUR,788054400,M,22,22,False,17.0,14.0,2.0,1.0,5.0,6.0,9.0,11.0,6.0,,45.0,20.0,6.7,4.0,0.0962,0.1699,0.0428452,2,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,
11409196,home,Chaves,Issah Abass,abass-issah,I. Abass,M,8,173,216,M,,873419,EUR,906768000,M,11,11,False,17.0,12.0,2.0,,5.0,5.0,7.0,12.0,1.0,,68.0,29.0,6.3,10.0,0.3044,0.1331,0.00693886,2,,,,,,,2.0,,6.0,3.0,,2.0,,,1.0,,,,2.0,3.0,2.0,,1.0,,,,,1.0,,,,,
