match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_ownGoals,stat_wasFouled,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_aerialWon,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_unsuccessfulTouch,player_sofascoreId,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,stat_accurateCross,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_lastManTackle,stat_goals
12764229,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,589,M,253875,EUR,817948800,G,22,22,False,36.0,33.0,10.0,7.0,0.0,30.0,30.0,3.0,6.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,43.0,5.2,3.0,0.00221688,0,-2.0211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764229,home,Feyenoord,Jordan Lotomba,,,jordan-lotomba,J. Lotomba,D,30,177,516,M,796279,EUR,907027200,D,30,30,False,30.0,29.0,,,0.0,9.0,10.0,20.0,21.0,,,3.0,,,,,,,60.0,43.0,5.9,6.0,0.0178114,1,,1.0,3.0,2.0,1.0,1.0,0.0267,1.0,,,,,,,,,,,,,,,,,,,,,,,
12764229,home,Feyenoord,Gernot Trauner,,,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,82.0,75.0,4.0,1.0,0.0,32.0,33.0,43.0,49.0,2.0,,4.0,,,,,,,72.0,85.0,6.2,7.0,0.0330918,0,,,3.0,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12764229,home,Feyenoord,Thomas Beelen,,,thomas-beelen,T. Beelen,D,3,190,422,M,1127916,EUR,992217600,D,3,3,False,75.0,68.0,7.0,5.0,0.0,27.0,31.0,41.0,44.0,2.0,,3.0,,,,,,,90.0,80.0,6.4,7.0,0.0783953,0,,,5.0,,,,,1.0,,4.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
12764229,home,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,64.0,61.0,4.0,3.0,0.0,18.0,19.0,43.0,47.0,3.0,1.0,2.0,,,,,,,90.0,83.0,7.1,9.0,0.0319011,3,,2.0,1.0,,1.0,3.0,0.1813,,,1.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
12764229,home,Feyenoord,In-Beom Hwang,,,in-beom-hwang,I. Hwang,M,6,177,3391,M,889689,EUR,843177600,M,4,4,False,62.0,51.0,3.0,1.0,0.0,7.0,8.0,44.0,60.0,5.0,1.0,5.0,,,,,,,90.0,81.0,6.7,19.0,0.0418121,3,,6.0,4.0,1.0,,1.0,0.1024,,,2.0,,3.0,,1.0,,2.0,,,,1.0,Hwang,1.0,1.0,0.0872,,,,,,,
12764229,home,Feyenoord,Ramiz Zerrouki,,,ramiz-zerrouki,R. Zerrouki,M,6,183,8075,M,989882,EUR,896140800,M,6,6,False,28.0,24.0,1.0,1.0,0.0,9.0,9.0,15.0,19.0,,,,1.0,,,,,,45.0,35.0,5.8,6.0,0.0104253,1,,,1.0,1.0,,,0.0771,,,,,,,,1.0,,,,,1.0,rramizz_,1.0,,,,,,,,,
12764229,home,Feyenoord,Quinten Timber,,,quinten-timber,Q. Timber,M,27,177,8638,M,959805,EUR,992736000,M,8,8,False,45.0,40.0,2.0,,0.0,11.0,11.0,29.0,34.0,8.0,,1.0,,,1.0,,,,90.0,67.0,6.7,14.0,0.0584134,1,,,7.0,5.0,6.0,,0.057,1.0,,,,2.0,1.0,,,1.0,4.0,,,1.0,,,1.0,0.0757,True,,,,,,
12764229,home,Feyenoord,Antoni Milambo,Antoni,Milambo,antoni-milambo,A. Milambo,M,17,179,1578,M,1126692,EUR,1112486400,F,27,27,False,23.0,18.0,3.0,2.0,0.0,6.0,6.0,12.0,18.0,2.0,1.0,2.0,,,1.0,,,,74.0,37.0,7.0,11.0,0.133092,1,,1.0,3.0,1.0,2.0,,0.1307,1.0,1.0,,,,,,,,1.0,,,3.0,,1.0,,,,1.0,,,,,
12764229,home,Feyenoord,Santiago Giménez,,,santiago-gimenez,S. Giménez,F,7,182,32463,M,892141,EUR,987552000,F,29,29,False,12.0,8.0,1.0,,0.0,3.0,4.0,5.0,8.0,4.0,,4.0,,,1.0,,,,90.0,24.0,6.3,10.0,0.065718,0,,,5.0,2.0,4.0,,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,sant.gimenez,,,,,,,,,,
12764229,home,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,14,168,12533,M,981815,EUR,962150400,F,14,14,False,12.0,9.0,1.0,1.0,0.0,3.0,4.0,7.0,11.0,1.0,,,,,,,,,61.0,25.0,6.4,10.0,0.174487,2,,3.0,3.0,1.0,1.0,,0.2282,2.0,1.0,,,,,,,1.0,,,,3.0,,1.0,1.0,0.1796,,,1.0,1.0,,,
12764229,home,Feyenoord,Gijs Smal,,,gijs-smal,G. Smal,D,5,183,341,M,860160,EUR,872985600,D,5,5,True,21.0,18.0,1.0,,0.0,4.0,5.0,14.0,17.0,1.0,,2.0,,,,,,,45.0,30.0,6.5,6.0,0.00668978,0,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
