match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,player_id,player_name,length,confirmed,playerName,reason,rescinded,from
12451076,FT,3.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12451076,,,,,90,2.0,,1,,,substitution,123281779.0,True,False,injury,,,,,,,,
12451076,,,,,90,2.0,,1,,,substitution,123281778.0,False,False,regular,,,,,,,,
12451076,,3.0,2.0,,90,,,1,,,goal,190047231.0,,True,regular,231946.0,Adrien Thomasson,,,,,,
12451076,,,,,90,0.0,,1,,,injuryTime,,,,,,,5.0,,,,,
12451076,,2.0,2.0,,86,,,5,,,goal,190046860.0,,True,regular,1002447.0,Hamzat Ojediran,,,,,,
12451076,,,,,80,,,11,,,substitution,123281720.0,False,False,regular,,,,,,,,
12451076,,,,,76,,,15,,,substitution,123281712.0,False,True,regular,,,,,,,,
12451076,,,,,73,,,18,,,varDecision,29436.0,,False,goalNotAwarded,886286.0,Nicolas Cozza,,False,,,,
12451076,,1.0,2.0,,71,,,20,,,goal,190045683.0,,False,regular,886286.0,Nicolas Cozza,,,,,,
12451076,,,,,69,,,22,,,substitution,123281694.0,False,True,regular,,,,,,,,
12451076,,,,,69,,,22,,,substitution,123281693.0,False,True,regular,,,,,,,,
12451076,,,,,67,,,24,,,substitution,123281686.0,False,False,regular,,,,,,,,
12451076,,,,,66,,,25,,,substitution,123281685.0,False,False,regular,,,,,,,,
12451076,,,,,63,,,28,,,substitution,123281680.0,False,True,regular,,,,,,,,
12451076,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12451076,,,,,45,5.0,,1,,,card,121710285.0,,True,yellow,1401005.0,Remy Labeau Lascary,,,Remy Labeau Lascary,Foul,False,
12451076,,,,,45,0.0,,1,,,injuryTime,,,,,,,5.0,,,,,
12451076,,1.0,1.0,,36,,,10,,,goal,190040158.0,,False,penalty,330051.0,Moses Simon,,,,,,penalty
12451076,,,,,36,,,10,,,card,121710262.0,,True,yellow,860307.0,Facundo Medina,,,Facundo Medina,Foul,False,
12451076,,1.0,0.0,,21,,,25,,,goal,190038793.0,,True,penalty,286909.0,Przemysław Frankowski,,,,,,penalty
12451076,,,,,19,,,27,,,varDecision,29429.0,,True,penaltyNotAwarded,1023091.0,David Pereira da Costa,,False,,,,
