match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_challengeLost,stat_blockedScoringAttempt,stat_accurateCross,stat_shotOffTarget,stat_penaltyConceded,stat_wasFouled,captain,stat_dispossessed,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside,stat_bigChanceCreated,stat_errorLeadToAShot,stat_hitWoodwork
11369372,home,Rayo Vallecano,Raúl de Tomás,,,raul-de-tomas,R. de Tomás,F,9,181,959,M,138387,EUR,782352000,F,22,22,False,16.0,13.0,,,10.0,11.0,3.0,5.0,2.0,10.0,,2.0,,,,,,85.0,40.0,6.9,11.0,0.0146974,3,,,4.0,10.0,3.0,2.0,,,5.0,1.0,,,,1.0,1.0,0.1978,,,2.0,1.0,,2.0,,5.0,,2.0,,,,,,
11369372,home,Rayo Vallecano,Kike Pérez,,,kike-perez,K. Pérez,M,71,184,312,M,857178,EUR,855878400,M,14,14,True,15.0,14.0,4.0,4.0,6.0,7.0,8.0,8.0,,4.0,2.0,3.0,,,,,,20.0,25.0,7.2,1.0,0.29104,0,,,,1.0,,,,1.0,,1.0,,,,2.0,1.0,,,,,,,,,2.0,,,,,,,,
11369372,home,Rayo Vallecano,Sergio Camello,,,sergio-camello,S. Camello,F,10,177,1019,M,910024,EUR,981763200,F,34,34,True,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,20.0,9.0,6.2,4.0,8.16e-05,1,,,1.0,2.0,,,,,1.0,,,1.0,,,,0.4347,0.7945,,,,,,,,,1.0,1.0,,,,,
11369372,home,Rayo Vallecano,Jorge de Frutos,,,jorge-de-frutos,J. de Frutos,M,19,173,1878,M,900003,EUR,849312000,F,19,19,True,1.0,1.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,10.0,4.0,6.7,,0.110179,0,,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,
11369372,home,Rayo Vallecano,Radamel Falcao,,,radamel-falcao,R. Falcao,F,9,177,11646,M,25682,EUR,508377600,F,9,9,True,2.0,1.0,,,1.0,1.0,,1.0,4.0,6.0,1.0,2.0,,,,,,10.0,9.0,7.0,2.0,1.308e-05,1,,,2.0,3.0,2.0,1.0,,,,,,,,1.0,1.0,0.0951,,,,,,1.0,,1.0,,,,Falcao,2.0,,,
11369372,home,Rayo Vallecano,Bebé,,,bebe,Bebé,M,15,190,368,M,124950,EUR,647740800,F,10,10,True,1.0,,,,,,,1.0,,,,,,,,,,13.0,5.0,7.0,3.0,,2,,,,2.0,1.0,,,,,,,1.0,1.0,,,0.0433,0.2859,,,1.0,,,,,,1.0,,,,,,
11369372,home,Rayo Vallecano,Dani Cárdenas,,,dani-cardenas,D. Cárdenas,G,1,185,197,M,965832,EUR,859507200,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,home,Rayo Vallecano,Aridane Hernández,,,aridane-hernandez,A. Hernández,D,15,186,254,M,41013,EUR,606614400,D,5,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,home,Rayo Vallecano,Andrei Rațiu,,,andrei-ratiu,A. Rațiu,D,2,183,8158,M,965031,EUR,898300800,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonic,,,,
11369372,home,Rayo Vallecano,Josep Chavarría,,,josep-chavarria,J. Chavarría,D,3,174,630,M,1010421,EUR,892166400,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,home,Rayo Vallecano,Diego Mendez,Diego Méndez,,mendez-diego,D. Méndez,M,29,182,84,M,1392573,EUR,1062115200,M,29,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,home,Rayo Vallecano,José Pozo,,,jose-pozo,J. Pozo,M,14,170,128,M,608370,EUR,826848000,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,home,Rayo Vallecano,Randy Nteka,,,randy-nteka,R. Nteka,F,11,190,949,M,932764,EUR,881366400,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,away,Real Sociedad,Álex Remiro,,,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,31.0,19.0,13.0,2.0,17.0,20.0,2.0,11.0,,,,6.0,1.0,2.0,,5.0,,90.0,40.0,6.9,13.0,0.00499404,0,-0.0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,away,Real Sociedad,Hamari Traoré,,,hamari-traore,H. Traoré,D,14,175,4235,M,362014,EUR,696470400,D,18,18,False,41.0,32.0,4.0,4.0,16.0,18.0,17.0,24.0,2.0,8.0,1.0,13.0,,,,,,90.0,74.0,7.5,22.0,0.102123,0,,1.0,,2.0,,,,4.0,1.0,,1.0,,,3.0,3.0,,,,2.0,,1.0,,,3.0,,,,hamarintos27,,1.0,,
11369372,away,Real Sociedad,Igor Zubeldia,,,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,46.0,35.0,7.0,2.0,30.0,32.0,5.0,14.0,3.0,7.0,8.0,5.0,,,,,,90.0,65.0,6.6,12.0,0.0017452,0,,,4.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,1.0,
11369372,away,Real Sociedad,Jon Pacheco,,,jon-pacheco,J. Pacheco,D,5,184,537,M,934383,EUR,978912000,D,20,20,False,34.0,28.0,2.0,1.0,26.0,30.0,2.0,4.0,5.0,8.0,2.0,1.0,,,,,,90.0,44.0,7.1,6.0,0.0025535,1,,,3.0,4.0,,,2.0,,,1.0,,1.0,,2.0,2.0,0.1186,0.502,,1.0,,,,,1.0,,,,,,,,
11369372,away,Real Sociedad,Aihen Muñoz,,,aihen-munoz,A. Muñoz,D,3,175,419,M,966441,EUR,871689600,D,3,3,False,32.0,19.0,8.0,2.0,11.0,20.0,9.0,13.0,3.0,8.0,1.0,5.0,,,,,,90.0,54.0,6.2,17.0,0.0280867,1,,1.0,1.0,5.0,,,,,,2.0,2.0,,,5.0,1.0,0.0047,,,1.0,,1.0,1.0,,,,1.0,,,,,,
11369372,away,Real Sociedad,Martín Zubimendi,,,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,4,4,False,45.0,38.0,2.0,1.0,22.0,23.0,16.0,22.0,2.0,5.0,3.0,6.0,,,,,,90.0,57.0,7.0,8.0,0.0105824,0,,,2.0,5.0,1.0,1.0,,2.0,1.0,2.0,,,,2.0,2.0,,,,1.0,,,,,,,,,martin_zubimendi,,,,
11369372,away,Real Sociedad,Takefusa Kubo,,,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,M,14,14,False,13.0,11.0,1.0,1.0,2.0,2.0,11.0,17.0,,5.0,,4.0,,,,,,80.0,39.0,7.2,15.0,0.144076,2,,6.0,1.0,5.0,3.0,1.0,,1.0,5.0,1.0,2.0,,,,,0.1245,,,,1.0,2.0,1.0,,4.0,,1.0,,KuboTake,,,,
11369372,away,Real Sociedad,Brais Méndez,,,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,M,23,23,False,41.0,27.0,3.0,,12.0,14.0,15.0,29.0,3.0,9.0,2.0,7.0,,,,,,90.0,61.0,7.1,17.0,0.023761,4,,2.0,1.0,5.0,2.0,2.0,1.0,,,2.0,,,,1.0,1.0,0.1893,,,1.0,1.0,,3.0,,3.0,,1.0,,,,,,1.0
11369372,away,Real Sociedad,Beñat Turrientes,,,benat-turrientes,B. Turrientes,M,8,179,748,M,980410,EUR,1012435200,M,22,22,False,22.0,14.0,2.0,1.0,5.0,7.0,9.0,15.0,,4.0,,5.0,,,,,,80.0,33.0,6.5,11.0,0.0474125,0,,,2.0,6.0,3.0,3.0,,,2.0,3.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,
11369372,away,Real Sociedad,Ander Barrenetxea,,,ander-barrenetxea,A. Barrenetxea,F,7,174,1646,M,966862,EUR,1009411200,M,7,7,False,10.0,7.0,,,3.0,4.0,5.0,7.0,,5.0,,3.0,,,,,,58.0,24.0,7.1,8.0,0.185419,2,,1.0,,4.0,2.0,2.0,,,3.0,,1.0,,,1.0,,0.0407,,1.0,3.0,1.0,1.0,1.0,,2.0,,1.0,,,,1.0,,
11369372,away,Real Sociedad,Mikel Oyarzabal,,,mikel-oyarzabal,M. Oyarzabal,F,10,181,11730,M,823622,EUR,861580800,F,10,10,False,15.0,15.0,1.0,1.0,6.0,6.0,9.0,9.0,,2.0,,1.0,,,,,,89.0,26.0,8.5,3.0,0.0531064,3,,,3.0,3.0,,,,1.0,3.0,,4.0,2.0,2.0,1.0,,1.3975,1.7713,,,1.0,,,,1.0,True,,,mikel10oyar,3.0,,,
11369372,away,Real Sociedad,Mohamed-Ali Cho,,,mohamed-ali-cho,M. Cho,F,25,182,1757,M,1063235,EUR,1074470400,F,11,11,True,4.0,3.0,,,1.0,1.0,2.0,4.0,1.0,1.0,,1.0,,,,,,32.0,8.0,6.6,4.0,0.00670209,0,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369372,away,Real Sociedad,Jon Ander Olasagasti,,,jon-ander-olasagasti,J. A. Olasagasti,M,8,176,263,M,1010383,EUR,966384000,M,16,16,True,8.0,5.0,1.0,,2.0,2.0,3.0,6.0,,1.0,1.0,2.0,,,,,,10.0,13.0,6.6,4.0,0.0260803,0,,,1.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,
11369372,away,Real Sociedad,Umar Sadiq,,,umar-sadiq,U. Sadiq,F,6,192,2879,M,754710,EUR,854841600,F,19,19,True,2.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,10.0,7.0,6.2,4.0,3.072e-05,2,,,,2.0,,,,,2.0,1.0,,,,,,0.1524,,,,,,2.0,,,,1.0,1.0,,,,,
11369372,away,Real Sociedad,Arsen Zakharyan,Arsen Zakharyan,,arsen-zakharyan,A. Zakharyan,M,21,183,4558,M,1066045,EUR,1053907200,M,12,12,True,4.0,3.0,1.0,,1.0,1.0,2.0,5.0,,1.0,,1.0,,,,,,8.0,8.0,6.4,4.0,0.00329926,0,,2.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,zaha47,,,,
11369372,away,Real Sociedad,Unai Marrero,Unai Marrero,,unai-marrero,U. Marrero,G,13,187,278,M,1094782,EUR,1002585600,G,32,32,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,away,Real Sociedad,Aitor Fraga,,,aitor-fraga,A. Fraga,G,32,194,111,M,1000247,EUR,1047168000,G,37,37,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,away,Real Sociedad,Robin Le Normand,,,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,lenormand_r,,,,
11369372,away,Real Sociedad,Aritz Elustondo,,,aritz-elustondo,A. Elustondo,D,6,178,410,M,785468,EUR,764812800,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,away,Real Sociedad,Mikel Merino,,,mikel-merino,M. Merino,M,23,188,29240,M,592010,EUR,835401600,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,mikelmerino,,,,
11369372,away,Real Sociedad,Urko González,,,urko-gonzalez,U. González,M,4,189,462,M,1064009,EUR,985046400,D,26,26,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369372,away,Real Sociedad,Carlos Fernández,,,carlos-fernandez,C. Fernández,F,10,186,301,M,782396,EUR,832723200,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
