match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,captain,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,stat_outfielderBlock,stat_lastManTackle,stat_errorLeadToAGoal
12436536,home,Bournemouth,Kepa Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,188.0,26145,M,KepaA,232422,EUR,781142400,G,13,13,False,27.0,21.0,6.0,0.0,21.0,23.0,4.0,1.0,5.0,1.0,1.0,90.0,32.0,6.7,6.0,8.268e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436536,home,Bournemouth,Adam Smith,adam-smith,A. Smith,D,15,180.0,494,M,,44566,EUR,672883200,D,15,15,False,46.0,36.0,9.0,0.0,15.0,16.0,31.0,4.0,4.0,1.0,,90.0,64.0,7.4,12.0,0.312273,0,True,3.0,21.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12436536,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189.0,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,71.0,59.0,5.0,1.0,30.0,36.0,35.0,7.0,4.0,,,90.0,79.0,7.9,12.0,0.166317,1,,2.0,29.0,,1.0,5.0,2.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.1859,,,,,,,,,,,,,,,,,,
12436536,home,Bournemouth,Marcos Senesi,marcos-senesi,M. Senesi,D,5,184.0,5596,M,,830659,EUR,863222400,D,5,5,False,81.0,61.0,10.0,0.0,32.0,38.0,43.0,13.0,2.0,1.0,,78.0,95.0,7.2,22.0,0.0155713,0,,3.0,29.0,,1.0,8.0,5.0,2.0,3.0,3.0,,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
12436536,home,Bournemouth,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180.0,25853,M,miloskerkez,1097425,EUR,1068163200,D,3,3,False,51.0,44.0,3.0,0.0,14.0,16.0,39.0,3.0,5.0,1.0,,90.0,74.0,7.0,14.0,0.0681285,1,,,32.0,4.0,1.0,1.0,5.0,2.0,,,,1.0,1.0,,3.0,1.0,,,0.0407,1.0,2.0,Milos,Kerkez,2.0,1.0,1.0,,,,,,,,,,,
12436536,home,Bournemouth,Tyler Adams,tyler-adams,T. Adams,M,12,175.0,2918,M,,800419,EUR,918950400,M,12,12,False,52.0,47.0,6.0,0.0,25.0,27.0,25.0,6.0,4.0,1.0,,90.0,60.0,7.1,5.0,0.086557,1,,3.0,22.0,,,2.0,2.0,1.0,,2.0,1.0,2.0,1.0,,1.0,1.0,,,0.0418,,,,,,1.0,,,,,,,,,,,,
12436536,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178.0,1762,M,,895576,EUR,922060800,M,16,16,False,60.0,53.0,4.0,0.0,12.0,14.0,51.0,7.0,8.0,4.0,,89.0,81.0,8.4,14.0,0.69349,5,,2.0,44.0,5.0,,1.0,6.0,,,,,2.0,5.0,1.0,4.0,2.0,2.0,1.0,0.1482,1.0,1.0,,,3.0,2.0,,2.0,0.3772,,,,,,,,,
12436536,home,Bournemouth,David Brooks,david-brooks,D. Brooks,M,7,173.0,1281,M,,855731,EUR,868320000,M,7,7,False,25.0,19.0,,0.0,3.0,3.0,26.0,6.0,3.0,2.0,,63.0,44.0,7.2,14.0,0.186052,3,,,17.0,4.0,,,6.0,,,2.0,1.0,3.0,2.0,1.0,2.0,2.0,,1.0,0.3298,2.0,2.0,,,1.0,,,2.0,0.8768,1.0,,,,,,,,
12436536,home,Bournemouth,Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171.0,6976,M,justinkluivert,851596,EUR,925862400,M,19,19,False,30.0,23.0,1.0,0.0,4.0,5.0,29.0,5.0,4.0,2.0,,89.0,52.0,7.2,16.0,0.223492,1,,1.0,20.0,4.0,3.0,1.0,8.0,1.0,1.0,2.0,2.0,3.0,1.0,,1.0,,,1.0,0.027,1.0,4.0,,,1.0,,,,,,,,,,,,,
12436536,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185.0,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,29.0,26.0,3.0,0.0,7.0,9.0,22.0,2.0,1.0,,,90.0,51.0,8.4,9.0,0.104673,4,,2.0,19.0,2.0,3.0,,10.0,,,1.0,1.0,3.0,,1.0,3.0,1.0,,1.0,0.4543,1.0,,,,,1.0,1.0,2.0,0.7803,,2.0,,,,,,,
12436536,home,Bournemouth,Evanilson,evanilson,Evanilson,F,9,181.0,7635,M,evanilsonlima99,998490,EUR,939168000,F,9,9,False,12.0,10.0,,0.0,2.0,2.0,10.0,3.0,3.0,1.0,,89.0,18.0,6.7,4.0,0.0529882,2,,,8.0,,2.0,1.0,5.0,,,,,2.0,1.0,,1.0,1.0,,1.0,0.3103,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,
12436536,home,Bournemouth,Daniel Jebbison,daniel-jebbison,D. Jebbison,F,9,190.0,527,M,,1096136,EUR,1057881600,F,21,21,True,3.0,3.0,,0.0,,,5.0,4.0,1.0,2.0,,27.0,17.0,6.7,8.0,0.00196331,1,,,3.0,2.0,,1.0,3.0,,,2.0,1.0,,,,2.0,,,1.0,0.0374,1.0,2.0,Daniel Jebbison,,,,,,,,,,,,,,,
12436536,home,Bournemouth,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195.0,160912,M,deanhuijsen,1176744,EUR,1113436800,D,2,2,True,10.0,7.0,1.0,1.0,4.0,7.0,3.0,1.0,,,,12.0,12.0,6.9,3.0,0.00700475,0,,,3.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
