match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,player_sofascoreId,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_dispossessed,stat_lastManTackle,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_penaltyWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_penaltyMiss,stat_shotValueNormalized,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_bigChanceCreated,stat_penaltyConceded
14167911,home,Olympique Lyonnais,Dominik Greif,dominik-greif,D. Greif,G,1,197,925,M,791046,EUR,860284800,G,1,1,False,32.0,27.0,8.0,3.0,0.0,26.0,27.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,39.0,6.6,5.0,0.00174695,0.0246,0,-0.2216,0.02,-0.03,-0.04,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Ainsley Maitland-Niles,ainsley-maitland-niles,A. Maitland-Niles,D,98,178,1575,M,352768,EUR,872812800,D,98,98,False,34.0,28.0,,,0.0,14.0,16.0,14.0,18.0,2.0,2.0,4.0,1.0,,,,90.0,52.0,6.4,9.0,0.0106488,,0,,0.06,0.01,-0.2,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Clinton Mata,clinton-mata,C. Mata,D,22,180,1320,M,152813,EUR,721094400,D,22,22,False,51.0,41.0,7.0,1.0,0.0,34.0,39.0,7.0,12.0,2.0,3.0,2.0,,,,,90.0,60.0,6.2,12.0,0.00431823,,0,,-0.01,0.06,-0.13,,,,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,8301,M,758168,EUR,826243200,D,19,19,False,69.0,59.0,10.0,3.0,1.0,41.0,43.0,18.0,26.0,4.0,4.0,3.0,1.0,,,,90.0,86.0,6.9,13.0,0.00538813,,0,,0.17,0.06,-0.05,,,,,,3.0,,1.0,2.0,1.0,2.0,1.0,1.0,,niakhate,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Nicolás Tagliafico,nicolas-tagliafico,N. Tagliafico,D,3,172,10932,M,158243,EUR,715219200,D,3,3,False,27.0,22.0,2.0,,0.0,17.0,19.0,5.0,8.0,7.0,,3.0,6.0,,,,90.0,47.0,6.7,7.0,0.00578091,,0,,0.02,0.01,0.13,,,,,,7.0,2.0,2.0,1.0,3.0,1.0,1.0,,1.0,tagliafico3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Tyler Morton,tyler-morton,T. Morton,M,23,185,6667,M,979118,EUR,1036022400,M,23,23,False,38.0,30.0,2.0,1.0,0.0,13.0,16.0,17.0,22.0,5.0,,8.0,,,,,90.0,49.0,7.3,13.0,0.0973627,,0,,0.28,0.16,0.6,,,,3.0,,2.0,,1.0,1.0,1.0,,1.0,1.0,,,4.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Tanner Tessmann,tanner-tessmann,T. Tessmann,M,6,187,1230,M,1022084,EUR,1001289600,M,6,6,False,43.0,36.0,4.0,2.0,0.0,25.0,27.0,11.0,16.0,1.0,2.0,3.0,,,,,89.0,53.0,6.6,8.0,0.0042242,,0,,-0.13,0.08,-0.05,,,,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Corentin Tolisso,corentin-tolisso,C. Tolisso,M,8,181,3233,M,343067,EUR,775872000,M,8,8,False,30.0,23.0,6.0,5.0,0.0,10.0,14.0,13.0,16.0,7.0,,3.0,4.0,,,,90.0,45.0,6.5,10.0,0.0139106,,1,,-0.08,0.23,-0.16,,,,1.0,1.0,6.0,,1.0,,2.0,2.0,1.0,,,,2.0,1.0,2.0,1.0,,True,1.0,1.0,1.0,0.7884,0.6563,1.0,-0.89,,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Adam Karabec,adam-karabec,A. Karabec,M,7,186,1393,M,1000175,EUR,1057104000,F,7,7,False,14.0,11.0,1.0,,0.0,5.0,5.0,6.0,9.0,,,3.0,,,,,77.0,24.0,6.4,10.0,0.0322708,,0,,0.21,0.18,-0.07,,,,4.0,,4.0,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14167911,home,Olympique Lyonnais,Pavel Šulc,pavel-sulc,P. Šulc,M,10,177,3149,M,957604,EUR,978048000,F,10,10,False,8.0,6.0,,,0.0,4.0,5.0,2.0,3.0,2.0,,1.0,1.0,,,,77.0,20.0,6.7,8.0,0.00316265,,2,,-0.02,-0.03,-0.03,,,,,,3.0,,,5.0,3.0,,,,,,1.0,1.0,,,,,,1.0,,0.4121,0.2684,,0.02,,1.0,1.0,,,,,,,,,
