match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,captain,stat_accurateCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_goals,stat_dispossessed,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,stat_errorLeadToAGoal
11368678,home,Deportivo Alavés,Antonio Sivera,antonio-sivera,A. Sivera,G,1,184.0,563,M,369004,EUR,839721600,G,1,1,False,19.0,9.0,17.0,7.0,3.0,4.0,6.0,15.0,4.0,1.0,90.0,22.0,6.7,10.0,0.00681732,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368678,home,Deportivo Alavés,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174.0,530,M,866810,EUR,839116800,D,2,2,False,32.0,29.0,4.0,2.0,16.0,16.0,13.0,21.0,6.0,,90.0,64.0,7.7,12.0,0.255691,0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11368678,home,Deportivo Alavés,Nahuel Tenaglia,nahuel-tenaglia,N. Tenaglia,D,14,182.0,1025,M,896073,EUR,824860800,D,14,14,False,30.0,18.0,8.0,2.0,11.0,16.0,7.0,14.0,1.0,,90.0,42.0,7.1,13.0,0.00412225,2,,1.0,2.0,3.0,,,,5.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,0.1281,,,,,,,,,,,,,,,,,,,,
11368678,home,Deportivo Alavés,Rubén Duarte,ruben-duarte,R. Duarte,D,5,180.0,322,M,253415,EUR,813974400,D,3,3,False,22.0,16.0,8.0,2.0,10.0,11.0,6.0,11.0,2.0,,72.0,26.0,6.5,7.0,0.100263,0,,1.0,2.0,2.0,,,,1.0,,,,1.0,2.0,1.0,,,,1.0,,True,,,,,,,,,,,,,,,,,,,
11368678,home,Deportivo Alavés,Javi López,lopez-javi,J. López,D,25,183.0,401,M,945404,EUR,1009843200,D,27,27,False,20.0,12.0,6.0,,4.0,10.0,9.0,17.0,2.0,,90.0,49.0,6.8,17.0,0.0166066,1,7.0,,5.0,2.0,2.0,,,1.0,1.0,2.0,2.0,,1.0,,1.0,,,,0.0605,,1.0,1.0,1.0,1.0,0.0873,,,,,,,,,,,,,,
11368678,home,Deportivo Alavés,Carlos Benavídez,carlos-benavidez,C. Benavídez,M,23,185.0,382,M,873717,EUR,891216000,M,23,23,False,31.0,24.0,6.0,2.0,8.0,8.0,16.0,23.0,4.0,,90.0,48.0,8.3,8.0,0.173835,3,,1.0,3.0,7.0,,,,2.0,1.0,5.0,4.0,1.0,,,1.0,1.0,,1.0,0.2702,,,2.0,2.0,,0.078,,,1.0,,,,,,,,,,,
11368678,home,Deportivo Alavés,Antonio Blanco,antonio-blanco,A. Blanco,M,8,176.0,1655,M,855832,EUR,964310400,M,8,8,False,29.0,18.0,4.0,2.0,8.0,10.0,10.0,19.0,3.0,,90.0,38.0,6.2,15.0,0.00754013,1,,,7.0,,1.0,,,,2.0,,,,2.0,,,,1.0,,0.0458,,,1.0,,,,,,,3.0,,,,,,,,,,
11368678,home,Deportivo Alavés,Carlos Vicente,vicente-carlos,C. Vicente,M,23,179.0,1926,M,1084399,EUR,924825600,M,22,22,False,24.0,17.0,2.0,2.0,7.0,8.0,16.0,29.0,1.0,,82.0,51.0,8.2,18.0,0.477595,1,13.0,3.0,5.0,9.0,3.0,1.0,2.0,,,3.0,1.0,2.0,1.0,5.0,2.0,,,2.0,0.0836,,6.0,,1.0,,0.1431,,,,,1.0,,,,,,,,,
11368678,home,Deportivo Alavés,Jon Guridi,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,M,18,18,False,20.0,15.0,,,5.0,5.0,11.0,16.0,4.0,,89.0,32.0,7.7,7.0,0.250638,2,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,,1.0,,2.0,,1.0,,,0.6722,,1.0,,1.0,,0.4046,,,1.0,,,1.0,1.0,,,,,,,
11368678,home,Deportivo Alavés,Giuliano Simeone,giuliano-simeone,G. Simeone,M,20,178.0,16028,M,1099352,EUR,1040169600,M,20,20,False,17.0,13.0,,,3.0,4.0,10.0,14.0,3.0,,89.0,30.0,7.6,10.0,0.0589557,2,1.0,,4.0,2.0,,,,,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,0.5257,,,2.0,1.0,,0.8206,,,1.0,1.0,,,,giulisimeone,,,,,,
11368678,home,Deportivo Alavés,Kike García,kike-garcia,K. García,F,19,186.0,1005,M,84972,EUR,627955200,F,15,15,False,14.0,10.0,3.0,,2.0,2.0,8.0,13.0,6.0,,82.0,34.0,6.2,13.0,0.341281,3,1.0,1.0,9.0,4.0,7.0,2.0,1.0,,1.0,,,3.0,1.0,2.0,3.0,1.0,,1.0,0.5084,,,,2.0,,1.2877,,,,,,3.0,,,1.0,,,,,
