match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_wonContest,stat_totalOffside,stat_bigChanceMissed
12117072,home,Atlético Goianiense,Ronaldo,ronaldo,Ronaldo,G,96,193,1025,M,840106,EUR,840672000,G,1,1,False,True,37.0,23.0,20.0,7.0,0.0,19.0,20.0,4.0,17.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,4.0,5.0,1.0,90.0,47.0,7.5,14.0,0.00447221,0,0.4987,,,,,,,,,,,,,,,,,,,,,,,,
12117072,home,Atlético Goianiense,Maguinho,maguinho,Maguinho,D,26,175,81,M,871209,EUR,694656000,D,2,2,False,,51.0,41.0,9.0,4.0,0.0,18.0,19.0,24.0,35.0,4.0,6.0,11.0,7.0,4.0,1.0,,,,,90.0,82.0,7.0,20.0,0.0334084,1,,,,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0224,2.0,,,,,,,,,,
12117072,home,Atlético Goianiense,Luiz Gustavo,luiz-gustavo,L. Gustavo,D,22,193,30,M,1645851,EUR,1054252800,D,3,3,False,,23.0,15.0,11.0,5.0,0.0,10.0,13.0,5.0,10.0,2.0,3.0,2.0,3.0,,1.0,,,,,45.0,27.0,6.6,8.0,0.00694635,0,,Luiz Gustavo,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,
12117072,home,Atlético Goianiense,Pedro Henrique,pedro-henrique,Pedrão,D,14,190,46,M,364778,EUR,724636800,D,4,4,False,,46.0,42.0,6.0,4.0,0.0,32.0,32.0,10.0,14.0,4.0,8.0,6.0,1.0,,4.0,,,,,90.0,55.0,6.7,4.0,0.00564573,0,,,,,,4.0,,,,,2.0,,,,,,2.0,2.0,,,,,,,
12117072,home,Atlético Goianiense,Guilherme Romão,guilherme-romao,G. Romão,D,5,179,114,M,883908,EUR,876182400,D,6,6,False,,33.0,26.0,4.0,1.0,0.0,9.0,10.0,18.0,27.0,2.0,4.0,5.0,5.0,3.0,1.0,,,,,90.0,66.0,7.9,18.0,0.0573333,5,,,,4.0,1.0,1.0,2.0,,3.0,5.0,,,,0.2411,1.0,,1.0,,1.0,1.0,1.0,0.5303,,,
12117072,home,Atlético Goianiense,Rhaldney,rhaldney,Rhaldney,M,26,184,223,M,992024,EUR,911520000,M,7,7,False,,40.0,35.0,2.0,,0.0,13.0,15.0,22.0,26.0,,1.0,5.0,7.0,1.0,,,,,,83.0,55.0,7.2,8.0,0.0344946,0,,,,1.0,,,1.0,,,2.0,4.0,4.0,1.0,,,,,1.0,,,,,,,
12117072,home,Atlético Goianiense,Lucas Kal,lucas-kal,Lucas Kal,M,21,186,179,M,840118,EUR,826934400,M,5,5,False,,57.0,48.0,7.0,3.0,0.0,35.0,39.0,13.0,18.0,3.0,1.0,6.0,4.0,,,,,,,90.0,68.0,6.9,9.0,0.00799347,0,,,,,,1.0,,1.0,,,2.0,1.0,,,,,3.0,1.0,,,,,1.0,,
12117072,home,Atlético Goianiense,Gabriel Baralhas,gabriel-baralhas,G. Baralhas,M,44,178,849,M,922575,EUR,907977600,M,8,8,False,,28.0,23.0,2.0,1.0,0.0,7.0,7.0,16.0,22.0,,5.0,1.0,5.0,,1.0,,,,,66.0,38.0,7.0,7.0,0.165354,2,,,,1.0,,1.0,,2.0,1.0,,,,,0.0996,2.0,2.0,1.0,1.0,,1.0,,,1.0,,
12117072,home,Atlético Goianiense,Shaylon,shaylon,Shaylon,M,7,180,381,M,874723,EUR,862099200,F,10,10,False,,32.0,29.0,4.0,3.0,1.0,9.0,9.0,20.0,26.0,1.0,2.0,2.0,3.0,,,,,,,82.0,44.0,7.2,9.0,0.079593,2,,,,3.0,,,1.0,1.0,2.0,,,,2.0,0.0773,2.0,1.0,,,,,,,1.0,,
12117072,home,Atlético Goianiense,Emiliano Rodriguez,rodriguez-emiliano,E. Rodriguez,F,,190,298,M,1177548,EUR,1058313600,F,9,9,False,,14.0,10.0,,,0.0,1.0,1.0,9.0,14.0,1.0,5.0,2.0,3.0,,1.0,,,,,45.0,23.0,6.6,9.0,0.0103686,0,,,,1.0,,2.0,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,
