match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_goalAssist
11369911,home,KAS Eupen,Gabriel Słonina,gabriel-slonina,G. Słonina,G,44,193,5893,M,978787,EUR,1084579200,G,24,24,False,20.0,14.0,8.0,2.0,12.0,15.0,2.0,5.0,4.0,2.0,2.0,90.0,26.0,6.7,6.0,0.00021259,0,-0.3548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369911,home,KAS Eupen,Rune Paeshuyse,rune-paeshuyse,R. Paeshuyse,D,28,187,35,M,1020435,EUR,1017273600,D,28,28,False,49.0,40.0,6.0,3.0,20.0,22.0,21.0,29.0,4.0,,,90.0,67.0,7.0,12.0,0.0346862,0,,,,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
11369911,home,KAS Eupen,Victor Pálsson,victor-palsson,V. Pálsson,D,26,186,193,M,87507,EUR,672969600,D,4,4,False,76.0,65.0,7.0,1.0,45.0,47.0,20.0,29.0,4.0,,,90.0,85.0,7.7,11.0,0.00856454,2,,,,,,1.0,1.0,2.0,2.0,,,,3.0,1.0,1.0,1.0,,True,1.0,1.0,1.0,2.0,1.0,0.4273,,,,,,,,,,
11369911,home,KAS Eupen,Jan Král,jan-kral,J. Král,D,21,197,41,M,826043,EUR,923270400,D,21,21,False,75.0,66.0,11.0,6.0,42.0,44.0,24.0,31.0,4.0,,,90.0,88.0,6.9,11.0,0.019061,0,,,,,,1.0,4.0,4.0,4.0,1.0,,,7.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,
11369911,home,KAS Eupen,Gary Magnee,magnee-gary,G. Magnee,M,15,173,149,M,990265,EUR,939686400,M,15,15,False,41.0,33.0,4.0,2.0,13.0,15.0,22.0,39.0,5.0,,,90.0,81.0,7.6,26.0,0.432023,1,,,,13.0,2.0,,1.0,6.0,7.0,,2.0,1.0,,3.0,5.0,3.0,1.0,,1.0,,,,1.0,0.0162,4.0,1.0,1.0,4.0,,,,,,
11369911,home,KAS Eupen,Kevin Möhwald,kevin-mohwald,K. Möhwald,M,8,183,29,M,168833,EUR,741657600,M,8,8,False,27.0,24.0,,,10.0,10.0,14.0,18.0,1.0,,,59.0,40.0,6.8,8.0,0.260446,0,,,,1.0,,1.0,,5.0,2.0,,,,,1.0,1.0,1.0,3.0,,,,,,3.0,,1.0,,1.0,2.0,,,,,,
11369911,home,KAS Eupen,Brandon Baiye,baiye-brandon,B. Baiye,M,6,177,82,M,861975,EUR,977875200,M,6,6,False,34.0,26.0,3.0,1.0,16.0,20.0,10.0,14.0,5.0,,,59.0,46.0,6.6,9.0,0.00369471,2,,,,,,,1.0,5.0,3.0,3.0,,,1.0,3.0,1.0,1.0,,,1.0,,,,1.0,0.1066,1.0,,1.0,,1.0,,,,,
11369911,home,KAS Eupen,Amadou Keita,amadou-keita,A. Keita,M,18,170,120,M,1145139,EUR,1004227200,M,18,18,False,33.0,26.0,1.0,1.0,10.0,10.0,16.0,23.0,9.0,,,90.0,52.0,7.3,11.0,0.0164517,1,,Amadou Keita,,,,1.0,,8.0,8.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,,,,1.0,,,1.0,0.0375,3.0,,3.0,1.0,,,,,,
11369911,home,KAS Eupen,Jason Davidson,jason-davidson,J. Davidson,D,2,180,74,M,105350,EUR,678153600,M,3,3,False,47.0,35.0,5.0,2.0,23.0,28.0,12.0,25.0,7.0,,,90.0,83.0,7.0,20.0,0.0226106,1,,,,6.0,,1.0,3.0,6.0,6.0,3.0,1.0,,2.0,,2.0,2.0,,,1.0,,,,1.0,0.0602,,,1.0,,,,,,,
11369911,home,KAS Eupen,Isaac Nuhu,isaac-nuhu,I. Nuhu,M,7,171,193,M,1047318,EUR,1001808000,F,7,7,False,19.0,15.0,,,2.0,2.0,13.0,18.0,2.0,,,87.0,49.0,6.6,18.0,0.0405915,5,,,,1.0,,4.0,1.0,15.0,7.0,1.0,6.0,3.0,1.0,,2.0,,5.0,,3.0,1.0,,,3.0,0.3853,5.0,,1.0,,1.0,1.0,3.0,,,
