match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_ownGoals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_fouls,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_expectedGoals,stat_keyPass,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_wonTackle,stat_wasFouled,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,captain,stat_hitWoodwork,player_sofascoreId,stat_punches,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed
12504703,home,Udinese,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197,2162,M,891656,EUR,935798400,G,40,40,False,30.0,26.0,13.0,10.0,0.0,20.0,21.0,6.0,9.0,8.0,1.0,2.0,3.0,4.0,90.0,42.0,7.0,5.0,0.00189169,0,0.3988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504703,home,Udinese,Christian Kabasele,,,christian-kabasele,C. Kabasele,D,27,186,477,M,58351,EUR,667353600,D,27,27,False,14.0,14.0,2.0,2.0,0.0,11.0,11.0,3.0,3.0,,,,,,45.0,16.0,6.3,,0.00070133,0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504703,home,Udinese,Jaka Bijol,,,jaka-bijol,J. Bijol,D,15,192,2511,M,886930,EUR,918172800,D,29,29,False,37.0,32.0,4.0,1.0,0.0,19.0,22.0,13.0,15.0,1.0,,,,,90.0,43.0,6.3,5.0,0.204411,1,,6.0,1.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0525,1.0,,,,,,,,,,,,,,,,,,,,
12504703,home,Udinese,Lautaro Giannetti,,,lautaro-giannetti,L. Giannetti,D,30,184,387,M,233856,EUR,753148800,D,30,30,False,34.0,29.0,5.0,2.0,0.0,19.0,20.0,10.0,14.0,2.0,,,,,90.0,40.0,6.3,7.0,0.00439606,0,,1.0,,,,,1.0,2.0,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12504703,home,Udinese,Kingsley Ehizibue,,,kingsley-ehizibue,K. Ehizibue,M,19,189,682,M,609206,EUR,801360000,M,19,19,False,18.0,14.0,1.0,,0.0,5.0,6.0,10.0,13.0,3.0,,,,,87.0,32.0,6.5,7.0,0.00651347,0,,5.0,,,3.0,,2.0,7.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,
12504703,home,Udinese,Sandi Lovrić,,,sandi-lovric,S. Lovrić,M,4,180,807,M,575852,EUR,891043200,M,8,8,False,14.0,12.0,1.0,1.0,0.0,3.0,3.0,9.0,11.0,1.0,,,,,45.0,23.0,6.5,5.0,0.00438136,0,,3.0,,,,1.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
12504703,home,Udinese,Jesper Karlström,,,jesper-karlstrom,J. Karlström,M,8,179,729,M,227894,EUR,803692800,M,25,25,False,38.0,34.0,2.0,2.0,0.0,19.0,20.0,15.0,18.0,4.0,,,,,90.0,50.0,6.5,8.0,0.0104134,1,,6.0,2.0,,1.0,1.0,1.0,3.0,1.0,2.0,,0.0194,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,
12504703,home,Udinese,Martín Payero,,,martin-payero,M. Payero,M,32,182,791,M,895592,EUR,905472000,M,5,5,False,20.0,16.0,2.0,1.0,0.0,2.0,4.0,14.0,23.0,6.0,,,,,90.0,47.0,6.8,17.0,0.0310999,2,,6.0,1.0,,1.0,,1.0,7.0,,,,0.0283,2.0,4.0,1.0,2.0,7.0,,2.0,,3.0,2.0,2.0,,,,,,,,,,
12504703,home,Udinese,Jordan Zemura,,,jordan-zemura,J. Zemura,D,33,173,795,M,964119,EUR,942537600,M,33,33,False,11.0,7.0,1.0,,0.0,,2.0,7.0,9.0,2.0,,,,,67.0,22.0,6.2,6.0,0.0152862,0,,6.0,1.0,,,3.0,,3.0,,2.0,,,,2.0,3.0,,,,,,,,,,,,,,,,,,
12504703,home,Udinese,Keinan Davis,,,keinan-davis,K. Davis,F,9,189,1417,M,830858,EUR,887328000,F,9,9,False,27.0,19.0,,,0.0,8.0,9.0,11.0,18.0,4.0,,,,,90.0,43.0,6.8,17.0,0.0138575,3,,9.0,,,3.0,1.0,4.0,6.0,,2.0,,0.1698,,4.0,,3.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,0.4398,,,,,,,
12504703,home,Udinese,Florian Thauvin,,,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,10,10,False,18.0,17.0,,,0.0,6.0,6.0,13.0,18.0,2.0,,,,,68.0,34.0,6.7,10.0,0.492743,1,,3.0,1.0,,,,,2.0,,,,0.0746,1.0,2.0,,3.0,6.0,2.0,1.0,,1.0,1.0,1.0,,,,True,,,,,,
12504703,home,Udinese,Enzo Ebosse,,,enzo-ebosse,E. Ebosse,D,77,185,507,M,848279,EUR,921110400,D,23,23,True,25.0,19.0,4.0,2.0,0.0,12.0,15.0,7.0,10.0,1.0,,,,,45.0,28.0,6.9,7.0,0.00346649,0,,,,2.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
