match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_wasFouled,stat_hitWoodwork,stat_totalOffside,player_firstName,stat_blockedScoringAttempt,player_lastName,stat_errorLeadToAShot,stat_bigChanceCreated,stat_goals
13472876,home,Botafogo,John Victor,john-victor,John,G,12,197,3318,M,840103,EUR,824169600,G,12,12,False,31.0,27.0,6.0,2.0,0.0,27.0,29.0,2.0,1.0,10.0,1.0,1.0,2.0,1.0,90.0,40.0,6.5,5.0,0.00011008,0,-0.1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472876,home,Botafogo,Vitinho,vitinho,Vitinho,D,2,175,3615,M,914477,EUR,932688000,D,2,2,False,36.0,28.0,4.0,3.0,0.0,15.0,16.0,20.0,2.0,2.0,,,,,90.0,61.0,6.9,14.0,0.047557,0,,13.0,5.0,1.0,2.0,4.0,6.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13472876,home,Botafogo,Kaio Pantaleão,kaio,K. Pantaleão,D,31,186,788,M,990193,EUR,810518400,D,31,31,False,26.0,21.0,2.0,,0.0,20.0,22.0,4.0,,1.0,,,,,45.0,28.0,6.3,5.0,0.00025565,0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
13472876,home,Botafogo,Alexander Barboza,alexander-barboza,A. Barboza,D,20,193,2577,M,801044,EUR,795312000,D,20,20,False,65.0,54.0,9.0,4.0,0.0,43.0,48.0,17.0,2.0,5.0,,,,,90.0,74.0,6.3,12.0,0.0063165,2,,11.0,,,3.0,8.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,4.0,0.0905,0.048,,,,,,,,,,,
13472876,home,Botafogo,Alex Telles,alex-telles,A. Telles,D,13,181,7625,M,312110,EUR,724377600,D,13,13,False,36.0,35.0,3.0,2.0,0.0,23.0,23.0,13.0,2.0,3.0,,,,,58.0,50.0,6.9,3.0,0.124478,2,,12.0,4.0,2.0,,,1.0,,,,,1.0,,,,2.0,1.0,2.0,,,1.0,0.0487,,alextelles13,,,,,,,,,,
13472876,home,Botafogo,Allan,allan,Allan,M,25,175,3946,M,158277,EUR,663292800,M,25,25,False,42.0,37.0,3.0,2.0,0.0,19.0,20.0,22.0,,3.0,,,,,59.0,47.0,6.7,5.0,0.0541536,0,,18.0,,,,2.0,2.0,,,,,,2.0,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,
13472876,home,Botafogo,Marlon Freitas,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,56.0,49.0,7.0,5.0,0.0,27.0,27.0,29.0,2.0,3.0,,,,,70.0,66.0,6.9,8.0,0.022425,0,,22.0,,,,1.0,2.0,,,,,,,,,,1.0,,,2.0,1.0,,,,True,1.0,,,,,,,,
13472876,home,Botafogo,Artur,artur,Artur,M,7,168,3069,M,841128,EUR,887500800,M,7,7,False,18.0,13.0,1.0,1.0,0.0,1.0,4.0,14.0,1.0,3.0,,,,,59.0,28.0,7.1,8.0,0.0188525,3,,12.0,,,1.0,1.0,3.0,,,2.0,2.0,,1.0,,2.0,,,2.0,1.0,,,0.3547,0.4221,,,,,,,,,,,
13472876,home,Botafogo,Jefferson Savarino,jefferson-savarino,J. Savarino,M,10,169,6802,M,874739,EUR,847670400,M,10,10,False,34.0,30.0,4.0,3.0,0.0,9.0,9.0,25.0,,2.0,,,,,90.0,50.0,7.4,12.0,0.245673,2,,21.0,10.0,4.0,,2.0,2.0,2.0,,1.0,1.0,,1.0,1.0,2.0,3.0,,2.0,,,,0.1726,,savarino10,,,1.0,1.0,,,,,,
13472876,home,Botafogo,Álvaro Montoro,alvaro-montoro,Á. Montoro,M,10,169,4507,M,1650770,EUR,1176768000,M,8,8,False,38.0,34.0,,,0.0,12.0,12.0,26.0,,4.0,,,,,90.0,62.0,6.9,14.0,0.0475801,0,,22.0,,,,7.0,8.0,1.0,1.0,8.0,4.0,,2.0,2.0,5.0,1.0,,,,2.0,1.0,,,,,2.0,,,Álvaro Montoro,,,,,
